Período:Set/2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
210440 GONCALVES DIAS,98,98,"39406,06","31722,38",-,-,"7683,68",-,-,"402,1","402,1",226,"2,3",-,-
210450 GOVERNADOR ARCHER,56,56,"24023,27","18227,95",-,-,"5795,32",-,-,"428,99","428,99",139,"2,5",-,-
210455 GOVERNADOR EDISON LOBAO,44,44,"16601,02","14457,94",-,-,"2143,08",-,-,"377,3","377,3",102,"2,3",-,-
210460 GOVERNADOR EUGENIO BARROS,68,68,"28046,72","23028,19",-,-,"5018,53",-,-,"412,45","412,45",181,"2,7",-,-
210462 GOVERNADOR LUIZ ROCHA,47,47,"20188,16","16434,6",-,-,"3753,56",-,-,"429,54","429,54",221,"4,7",-,-
210467 GOVERNADOR NUNES FREIRE,441,441,"211147,52","156745,11",-,-,"54402,41",-,-,"478,79","478,79",1375,"3,1",4,"0,91"
210470 GRACA ARANHA,47,47,"13724,29","10998,33",-,-,"2725,96",-,-,"292,01","292,01",95,2,-,-
210480 GRAJAU,351,351,"203819,87","148412,59",-,-,"55407,28",-,-,"580,68","580,68",1011,"2,9",2,"0,57"
210490 GUIMARAES,96,96,"36868,36","27678,97",-,-,"9189,39",-,-,"384,05","384,05",249,"2,6",-,-
210500 HUMBERTO DE CAMPOS,90,90,"36765,01","26069,88",-,-,"10695,13",-,-,"408,5","408,5",151,"1,7",-,-
210510 ICATU,51,51,"16652,74","14786,06",-,-,"1866,68",-,-,"326,52","326,52",117,"2,3",1,"1,96"
210515 IGARAPE DO MEIO,34,34,"15342,74","11138,09",-,-,"4204,65",-,-,"451,26","451,26",154,"4,5",-,-
210520 IGARAPE GRANDE,47,47,"15529,71","12762,86",-,-,"2766,85",-,-,"330,42","330,42",125,"2,7",-,-
210530 IMPERATRIZ,1900,1996,"1477132,5","1196006,37",-,-,"281126,13",-,-,"740,05","777,44",12150,"6,4",72,"3,79"
210540 ITAPECURU MIRIM,286,286,"134023,36","97302,87",-,-,"36720,49",-,-,"468,61","468,61",725,"2,5",4,"1,4"
210542 ITINGA DO MARANHAO,108,108,"46447,91","38841,47",-,-,"7606,44",-,-,"430,07","430,07",270,"2,5",-,-
210550 JOAO LISBOA,106,106,"39496,02","33969,5",-,-,"5526,52",-,-,"372,6","372,6",259,"2,4",-,-
210560 JOSELANDIA,80,80,"26368,9","21313,24",-,-,"5055,66",-,-,"329,61","329,61",258,"3,2",-,-
210570 LAGO DA PEDRA,318,318,"156115,04","113310,5",-,-,"42804,54",-,-,"490,93","490,93",754,"2,4",3,"0,94"
210580 LAGO DO JUNCO,52,52,"19117,32","15660,01",-,-,"3457,31",-,-,"367,64","367,64",175,"3,4",-,-
210600 LIMA CAMPOS,42,42,"17177,04","13986,08",-,-,"3190,96",-,-,"408,98","408,98",121,"2,9",-,-
210630 MAGALHAES DE ALMEIDA,60,60,"20392,87","16218,45",-,-,"4174,42",-,-,"339,88","339,88",140,"2,3",-,-
210640 MATA ROMA,62,62,"24664,5","19899,31",-,-,"4765,19",-,-,"397,81","397,81",118,"1,9",-,-
210650 MATINHA,89,89,"34891,72","27047,76",-,-,"7843,96",-,-,"392,04","392,04",194,"2,2",-,-
210660 MATOES,106,106,"26691,17","22042,08",-,-,"4649,09",-,-,"251,8","251,8",275,"2,6",2,"1,89"
210670 MIRADOR,114,114,"41616,82","33466,04",-,-,"8150,78",-,-,"365,06","365,06",229,2,-,-
210675 MIRANDA DO NORTE,135,135,"53657,34","44879,78",-,-,"8777,56",-,-,"397,46","397,46",345,"2,6",-,-
210690 MONCAO,101,101,"38425,15","31442,55",-,-,"6982,6",-,-,"380,45","380,45",241,"2,4",-,-
210700 MONTES ALTOS,68,68,"27573,61","23286,73",-,-,"4286,88",-,-,"405,49","405,49",145,"2,1",-,-
210710 MORROS,87,87,"35823,89","27297,5",-,-,"8526,39",-,-,"411,77","411,77",185,"2,1",-,-
