Período:Jan/2009,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"70212,4","60600,11",-,-,"9612,29",-,-,"369,54","369,54",484,"2,5",-,-
110002 ARIQUEMES,475,475,"187367,55","136451,45",-,-,"50916,1",-,-,"394,46","394,46",1703,"3,6",5,"1,05"
110003 CABIXI,32,32,"10402,63","7835,77",-,-,"2566,86",-,-,"325,08","325,08",74,"2,3",-,-
110004 CACOAL,460,460,"169875,69","127396,22",-,-,"42479,47",-,-,"369,29","369,29",1549,"3,4",3,"0,65"
110005 CEREJEIRAS,150,150,"54020,95","44432,81",-,-,"9588,14",-,-,"360,14","360,14",379,"2,5",1,"0,67"
110006 COLORADO DO OESTE,133,133,"46145,86","39070,93",-,-,"7074,93",-,-,"346,96","346,96",345,"2,6",2,"1,5"
110009 ESPIGAO D'OESTE,155,155,"52783,17","42224,64",-,-,"10558,53",-,-,"340,54","340,54",443,"2,9",4,"2,58"
110011 JARU,221,221,"86064,9","64559,57",-,-,"21505,33",-,-,"389,43","389,43",531,"2,4",2,"0,9"
110012 JI-PARANA,765,765,"307387,79","240148,3",-,-,"67239,49",-,-,"401,81","401,81",2860,"3,7",14,"1,83"
110014 NOVA BRASILANDIA D'OESTE,129,129,"53367,7","42812,68",-,-,"10555,02",-,-,"413,7","413,7",323,"2,5",-,-
110015 OURO PRETO DO OESTE,205,205,"62758,96","52507,18",-,-,"10251,78",-,-,"306,14","306,14",396,"1,9",-,-
110018 PIMENTA BUENO,235,235,"74888,91","62246,1",-,-,"12642,81",-,-,"318,68","318,68",805,"3,4",2,"0,85"
110020 PORTO VELHO,1369,1369,"1008863,42","782524,41",-,-,"226339,01",-,-,"736,93","736,93",9600,7,50,"3,65"
110025 PRESIDENTE MEDICI,86,86,"25425,68","21342,71",-,-,"4082,97",-,-,"295,65","295,65",253,"2,9",1,"1,16"
110028 ROLIM DE MOURA,349,349,"138774,01","113691,82",-,-,"25082,19",-,-,"397,63","397,63",723,"2,1",4,"1,15"
110029 SANTA LUZIA D'OESTE,64,64,"23311,23","20485,44",-,-,"2825,79",-,-,"364,24","364,24",244,"3,8",-,-
110030 VILHENA,451,451,"201161,56","150629,02",-,-,"50532,54",-,-,"446,03","446,03",1616,"3,6",12,"2,66"
110032 SAO MIGUEL DO GUAPORE,86,86,"28947,38","23763,97",-,-,"5183,41",-,-,"336,6","336,6",161,"1,9",-,-
110033 NOVA MAMORE,50,50,"17485,41","14052,63",-,-,"3432,78",-,-,"349,71","349,71",133,"2,7",-,-
110034 ALVORADA D'OESTE,117,117,"35309,89","27864,93",-,-,"7444,96",-,-,"301,79","301,79",285,"2,4",-,-
110040 ALTO PARAISO,24,24,"5952,1","5043,71",-,-,"908,39",-,-,248,248,27,"1,1",-,-
110050 NOVO HORIZONTE DO OESTE,42,42,"14496,98","12453,38",-,-,"2043,6",-,-,"345,17","345,17",98,"2,3",-,-
110060 CACAULANDIA,27,27,"7552,15","6477,87",-,-,"1074,28",-,-,"279,71","279,71",58,"2,1",-,-
110070 CAMPO NOVO DE RONDONIA,74,74,"26294,53","22760,93",-,-,"3533,6",-,-,"355,33","355,33",160,"2,2",-,-
110120 MINISTRO ANDREAZZA,41,41,"14086,82","12195,12",-,-,"1891,7",-,-,"343,58","343,58",88,"2,1",-,-
110130 MIRANTE DA SERRA,85,85,"31104,78","26669,72",-,-,"4435,06",-,-,"365,94","365,94",184,"2,2",-,-
110140 MONTE NEGRO,258,258,"79271,72","67934,23",-,-,"11337,49",-,-,"307,25","307,25",536,"2,1",-,-
110143 NOVA UNIAO,38,38,"11969,12","10255,32",-,-,"1713,8",-,-,"314,98","314,98",78,"2,1",-,-
110150 SERINGUEIRAS,69,69,"22421,93","18028,92",-,-,"4393,01",-,-,"324,96","324,96",163,"2,4",-,-
110160 THEOBROMA,35,35,"10938,66","9544,12",-,-,"1394,54",-,-,"312,53","312,53",70,2,-,-
110175 VALE DO ANARI,11,11,"2690,13","2362,29",-,-,"327,84",-,-,"244,56","244,56",15,"1,4",-,-
110180 VALE DO PARAISO,15,15,"3935,06","3378,82",-,-,"556,24",-,-,"262,34","262,34",25,"1,7",-,-
120001 ACRELANDIA,27,27,"8745,15","7484,45",-,-,"1260,7",-,-,"323,89","323,89",101,"3,7",-,-
120010 BRASILEIA,208,208,"74783,43","53454,26",-,-,"21329,17",-,-,"359,54","359,54",603,"2,9",3,"1,44"
120020 CRUZEIRO DO SUL,585,585,"224297,35","172216,95",-,-,"52080,4",-,-,"383,41","383,41",1902,"3,3",9,"1,54"
120030 FEIJO,85,85,"32067,54","21840,04",-,-,"10227,5",-,-,"377,27","377,27",160,"1,9",3,"3,53"
120033 MANCIO LIMA,20,20,9140,5624,-,-,3516,-,-,457,457,34,"1,7",-,-
120034 MANOEL URBANO,36,36,"9766,24","7820,63",-,-,"1945,61",-,-,"271,28","271,28",76,"2,1",-,-
120038 PLACIDO DE CASTRO,54,54,"17299,47","14442,16",-,-,"2857,31",-,-,"320,36","320,36",142,"2,6",-,-
120040 RIO BRANCO,2846,2846,"1919974,84","1454016,95",-,-,"465957,89",-,-,"674,62","674,62",15956,"5,6",119,"4,18"
120045 SENADOR GUIOMARD,67,67,"23610,52","19919,15",-,-,"3691,37",-,-,"352,4","352,4",172,"2,6",-,-
120050 SENA MADUREIRA,266,266,"97578,17","71763,73",-,-,"25814,44",-,-,"366,84","366,84",713,"2,7",-,-
120060 TARAUACA,165,165,"60611,36","44205,76",-,-,"16405,6",-,-,"367,34","367,34",483,"2,9",1,"0,61"
120070 XAPURI,71,71,"19242,36","16682,84",-,-,"2559,52",-,-,"271,02","271,02",217,"3,1",1,"1,41"
130006 AMATURA,20,20,"12168,95","10847,86",-,-,"1321,09",-,-,"608,45","608,45",76,"3,8",-,-
130010 ANORI,7,7,"2507,1","1720,08",-,-,"787,02",-,-,"358,16","358,16",20,"2,9",-,-
130014 APUI,85,85,"37400,46","26938,53",-,-,"10461,93",-,-,"440,01","440,01",270,"3,2",-,-
130040 BARCELOS,51,51,"19476,34","14749,42",-,-,"4726,92",-,-,"381,89","381,89",147,"2,9",1,"1,96"
130050 BARREIRINHA,94,94,"37332,29","26205,84",-,-,"11126,45",-,-,"397,15","397,15",269,"2,9",-,-
130060 BENJAMIN CONSTANT,78,78,"32626,22","23019,3",-,-,"9606,92",-,-,"418,28","418,28",197,"2,5",-,-
130080 BORBA,33,33,"13680,78","12269,65",-,-,"1411,13",-,-,"414,57","414,57",109,"3,3",-,-
130090 CANUTAMA,31,31,"13448,18","10724,39",-,-,"2723,79",-,-,"433,81","433,81",113,"3,6",-,-
130100 CARAUARI,78,78,"29994,58","20371,68",-,-,"9622,9",-,-,"384,55","384,55",215,"2,8",-,-
130120 COARI,373,373,"152657,66","105178,79",-,-,"47478,87",-,-,"409,27","409,27",1184,"3,2",-,-
130130 CODAJAS,91,91,"43986,16","30582,93",-,-,"13403,23",-,-,"483,36","483,36",173,"1,9",-,-
130140 EIRUNEPE,121,121,"52907,66","36480,95",-,-,"16426,71",-,-,"437,25","437,25",365,3,-,-
130160 FONTE BOA,167,167,"53394,7","40312,78",-,-,"13081,92",-,-,"319,73","319,73",756,"4,5",-,-
130165 GUAJARA,29,29,"9663,03","7105,4",-,-,"2557,63",-,-,"333,21","333,21",92,"3,2",-,-
130170 HUMAITA,94,94,"37391,92","29004,71",-,-,"8387,21",-,-,"397,79","397,79",277,"2,9",-,-
130180 IPIXUNA,10,10,"2749,84","2375,52",-,-,"374,32",-,-,"274,98","274,98",44,"4,4",-,-
130185 IRANDUBA,118,118,"43600,44",30615,-,-,"12985,44",-,-,"369,5","369,5",256,"2,2",-,-
130190 ITACOATIARA,340,340,"157264,63","105065,66",-,-,"52198,97",-,-,"462,54","462,54",880,"2,6",1,"0,29"
130195 ITAMARATI,40,40,"14222,11","10898,5",-,-,"3323,61",-,-,"355,55","355,55",107,"2,7",-,-
130200 ITAPIRANGA,16,16,"5741,4","4043,76",-,-,"1697,64",-,-,"358,84","358,84",33,"2,1",-,-
130220 JURUA,18,18,"8288,19","5201,04",-,-,"3087,15",-,-,"460,46","460,46",23,"1,3",-,-
130240 LABREA,80,80,"27271,17","18248,53",-,-,"9022,64",-,-,"340,89","340,89",238,3,-,-
130250 MANACAPURU,348,348,"147333,22","104387,53",-,-,"42945,69",-,-,"423,37","423,37",1441,"4,1",-,-
130260 MANAUS,6704,6750,"5572416,51","4353721,23",-,-,"1218695,28",-,-,"825,54","831,21",40150,6,229,"3,42"
130270 MANICORE,177,177,"100385,94","84748,2",-,-,"15637,74",-,-,"567,15","567,15",641,"3,6",-,-
130280 MARAA,64,64,"23754,42","20115,63",-,-,"3638,79",-,-,"371,16","371,16",210,"3,3",-,-
130290 MAUES,180,180,"76014,91","51898,12",-,-,"24116,79",-,-,"422,31","422,31",502,"2,8",-,-
130300 NHAMUNDA,52,52,"17439,73","14151,88",-,-,"3287,85",-,-,"335,38","335,38",128,"2,5",-,-
130310 NOVA OLINDA DO NORTE,64,64,"30436,81","20132,46",-,-,"10304,35",-,-,"475,58","475,58",161,"2,5",-,-
130340 PARINTINS,445,445,"193567,54","136792,56",-,-,"56774,98",-,-,"434,98","434,98",1397,"3,1",-,-
130353 PRESIDENTE FIGUEIREDO,190,190,"81166,36","58776,02",-,-,"22390,34",-,-,"427,19","427,19",707,"3,7",-,-
130356 RIO PRETO DA EVA,32,32,"11878,01","8783,03",-,-,"3094,98",-,-,"371,19","371,19",66,"2,1",-,-
130360 SANTA ISABEL DO RIO NEGRO,26,26,"8527,05","7282,03",-,-,"1245,02",-,-,"327,96","327,96",93,"3,6",-,-
130370 SANTO ANTONIO DO ICA,68,68,"39064,06","32369,5",-,-,"6694,56",-,-,"574,47","574,47",237,"3,5",-,-
130380 SAO GABRIEL DA CACHOEIRA,95,95,"48040,73","35196,84",-,-,"12843,89",-,-,"505,69","505,69",374,"3,9",-,-
130390 SAO PAULO DE OLIVENCA,83,83,"26723,8","20721,1",-,-,"6002,7",-,-,"321,97","321,97",198,"2,4",-,-
130400 SILVES,30,30,"10529,2","9180,07",-,-,"1349,13",-,-,"350,97","350,97",121,4,-,-
130406 TABATINGA,116,116,"47871,1","32425,26",-,-,"15445,84",-,-,"412,68","412,68",370,"3,2",-,-
130410 TAPAUA,37,37,"16663,45","11100,84",-,-,"5562,61",-,-,"450,36","450,36",133,"3,6",-,-
130420 TEFE,246,246,"99587,44","69493,01",-,-,"30094,43",-,-,"404,83","404,83",861,"3,5",-,-
130423 TONANTINS,29,29,"13063,26","8016,56",-,-,"5046,7",-,-,"450,46","450,46",46,"1,6",-,-
130430 URUCARA,36,36,"15140,25","12272,09",-,-,"2868,16",-,-,"420,56","420,56",129,"3,6",-,-
130440 URUCURITUBA,38,38,"15690,76","11468,76",-,-,4222,-,-,"412,91","412,91",86,"2,3",-,-
140005 ALTO ALEGRE,34,34,"13149,08","11183,97",-,-,"1965,11",-,-,"386,74","386,74",67,2,-,-
140010 BOA VISTA,1896,1896,"987913,63","772529,27",-,-,"215384,36",-,-,"521,05","521,05",9769,"5,2",49,"2,58"
140015 BONFIM,17,17,"5895,4","4534,64",-,-,"1360,76",-,-,"346,79","346,79",33,"1,9",-,-
140020 CARACARAI,42,42,"12370,17","9927,32",-,-,"2442,85",-,-,"294,53","294,53",125,3,-,-
140023 CAROEBE,22,22,"4675,09","3731,93",-,-,"943,16",-,-,"212,5","212,5",61,"2,8",-,-
140030 MUCAJAI,26,26,"7046,15","5907,66",-,-,"1138,49",-,-,"271,01","271,01",71,"2,7",-,-
140040 NORMANDIA,25,25,"8321,08","6437,14",-,-,"1883,94",-,-,"332,84","332,84",84,"3,4",-,-
140045 PACARAIMA,32,32,"11659,68","9250,49",-,-,"2409,19",-,-,"364,36","364,36",130,"4,1",-,-
140047 RORAINOPOLIS,61,61,"21506,34","18563,66",-,-,"2942,68",-,-,"352,56","352,56",189,"3,1",-,-
140050 SAO JOAO DA BALIZA,11,11,"3108,28","2662,86",-,-,"445,42",-,-,"282,57","282,57",20,"1,8",-,-
140060 SAO LUIZ,24,24,"10034,35","8623,1",-,-,"1411,25",-,-,"418,1","418,1",64,"2,7",-,-
150010 ABAETETUBA,745,745,"338913,06","250783,12",-,-,"88129,94",-,-,"454,92","454,92",2109,"2,8",6,"0,81"
150013 ABEL FIGUEIREDO,38,38,"11536,69","10218,35",-,-,"1318,34",-,-,"303,6","303,6",123,"3,2",-,-
150020 ACARA,187,187,"70708,85","53117,58",-,-,"17591,27",-,-,"378,12","378,12",430,"2,3",-,-
150030 AFUA,28,28,"10126,8","7072,28",-,-,"3054,52",-,-,"361,67","361,67",56,2,-,-
150034 AGUA AZUL DO NORTE,159,159,"66157,23","56838,74",-,-,"9318,49",-,-,"416,08","416,08",420,"2,6",-,-
150040 ALENQUER,479,479,"209242,41",159152,-,-,"50090,41",-,-,"436,83","436,83",1383,"2,9",8,"1,67"
150050 ALMEIRIM,238,238,"83143,99","63773,21",-,-,"19370,78",-,-,"349,34","349,34",678,"2,8",-,-
150060 ALTAMIRA,939,939,447924,"348018,98",-,-,"99905,02",-,-,"477,02","477,02",3193,"3,4",3,"0,32"
150070 ANAJAS,14,14,"3777,69","3193,8",-,-,"583,89",-,-,"269,83","269,83",40,"2,9",-,-
150080 ANANINDEUA,3094,3094,"1975726,08","1556788,51",-,-,"418937,57",-,-,"638,57","638,57",13881,"4,5",43,"1,39"
150085 ANAPU,24,24,"10281,1","6743,4",-,-,"3537,7",-,-,"428,38","428,38",46,"1,9",-,-
150090 AUGUSTO CORREA,200,200,"89036,98","64242,02",-,-,"24794,96",-,-,"445,18","445,18",612,"3,1",-,-
150095 AURORA DO PARA,117,117,"51520,65","39332,47",-,-,"12188,18",-,-,"440,35","440,35",332,"2,8",1,"0,85"
150120 BAIAO,68,68,"34586,56","26924,65",-,-,"7661,91",-,-,"508,63","508,63",201,3,1,"1,47"
150125 BANNACH,13,13,"3609,37","3106,14",-,-,"503,23",-,-,"277,64","277,64",44,"3,4",-,-
150130 BARCARENA,366,366,"168006,1","118579,62",-,-,"49426,48",-,-,"459,03","459,03",937,"2,6",-,-
150140 BELEM,10393,10393,"9816365,13","7675951,49",-,-,"2140413,64",-,-,"944,52","944,52",53320,"5,1",407,"3,92"
150145 BELTERRA,61,61,"18251,92","15972,84",-,-,"2279,08",-,-,"299,21","299,21",138,"2,3",-,-
150150 BENEVIDES,38,79,"59680,99","55699,98",-,-,"3981,01",-,-,"755,46","1570,55",1277,"33,6",1,"2,63"
150157 BOM JESUS DO TOCANTINS,66,66,"25408,72","23110,23",-,-,"2298,49",-,-,"384,98","384,98",220,"3,3",-,-
150170 BRAGANCA,1662,1662,"880754,52","702386,69",-,-,"178367,83",-,-,"529,94","529,94",5628,"3,4",19,"1,14"
150172 BRASIL NOVO,220,220,"108947,75","87833,5",-,-,"21114,25",-,-,"495,22","495,22",652,3,-,-
150175 BREJO GRANDE DO ARAGUAIA,9,9,"3341,78","2577,55",-,-,"764,23",-,-,"371,31","371,31",20,"2,2",-,-
150178 BREU BRANCO,3,3,"1206,17","1088,25",-,-,"117,92",-,-,"402,06","402,06",9,3,-,-
150180 BREVES,326,326,"143763,99","101067,53",-,-,"42696,46",-,-,"440,99","440,99",1069,"3,3",11,"3,37"
150190 BUJARU,171,171,"68670,98","54135,05",-,-,"14535,93",-,-,"401,58","401,58",700,"4,1",2,"1,17"
150200 CACHOEIRA DO ARARI,61,61,"25606,24","19943,49",-,-,"5662,75",-,-,"419,77","419,77",138,"2,3",-,-
150210 CAMETA,508,508,"231732,93","164110,37",-,-,"67622,56",-,-,"456,17","456,17",1306,"2,6",12,"2,36"
150215 CANAA DOS CARAJAS,11,11,"3201,04","2673,8",-,-,"527,24",-,-,291,291,24,"2,2",-,-
150220 CAPANEMA,558,558,"350170,69","263356,91",-,-,"86813,78",-,-,"627,55","627,55",1507,"2,7",7,"1,25"
150230 CAPITAO POCO,391,391,"140866,01","115524,63",-,-,"25341,38",-,-,"360,27","360,27",1089,"2,8",-,-
150240 CASTANHAL,1490,1490,"785285,14","541740,4",-,-,"243544,74",-,-,"527,04","527,04",4851,"3,3",13,"0,87"
150270 CONCEICAO DO ARAGUAIA,336,336,"143485,69","110927,51",-,-,"32558,18",-,-,"427,04","427,04",917,"2,7",2,"0,6"
