Período:Dez/2009,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"64441,92","52531,51",-,-,"11910,41",-,-,"339,17","339,17",461,"2,4",-,-
110002 ARIQUEMES,467,467,"181672,42","134531,98",-,-,"47140,44",-,-,"389,02","389,02",1873,4,9,"1,93"
110003 CABIXI,26,26,"7412,69","6519,86",-,-,"892,83",-,-,"285,1","285,1",43,"1,7",-,-
110004 CACOAL,438,438,"162182,53","125994,19",-,-,"36188,34",-,-,"370,28","370,28",1394,"3,2",7,"1,6"
110005 CEREJEIRAS,150,150,"47690,38","39149,45",-,-,"8540,93",-,-,"317,94","317,94",429,"2,9",-,-
110006 COLORADO DO OESTE,106,106,"33927,06","28527,56",-,-,"5399,5",-,-,"320,07","320,07",596,"5,6",-,-
110007 CORUMBIARA,50,50,"13122,92","11287,24",-,-,"1835,68",-,-,"262,46","262,46",116,"2,3",-,-
110008 COSTA MARQUES,51,51,"22793,72","17198,33",-,-,"5595,39",-,-,"446,94","446,94",115,"2,3",-,-
110009 ESPIGAO D'OESTE,155,155,"25754,71","20615,88",-,-,"5138,83",-,-,"166,16","166,16",247,"1,6",3,"1,94"
110010 GUAJARA-MIRIM,280,280,"106836,95","82138,04",-,-,"24698,91",-,-,"381,56","381,56",769,"2,7",1,"0,36"
110011 JARU,232,232,"96728,13","70173,26",-,-,"26554,87",-,-,"416,93","416,93",558,"2,4",-,-
110012 JI-PARANA,899,899,"337118,9","265542,58",-,-,"71576,32",-,-,"374,99","374,99",2930,"3,3",2,"0,22"
110013 MACHADINHO D'OESTE,123,123,"43972,33","34111,76",-,-,"9860,57",-,-,"357,5","357,5",969,"7,9",-,-
110014 NOVA BRASILANDIA D'OESTE,146,146,"55704,9","43040,09",-,-,"12664,81",-,-,"381,54","381,54",331,"2,3",-,-
110015 OURO PRETO DO OESTE,428,428,"121871,36","95554,16",-,-,"26317,2",-,-,"284,75","284,75",735,"1,7",-,-
110018 PIMENTA BUENO,235,235,"70821,28","57836,01",-,-,"12985,27",-,-,"301,37","301,37",673,"2,9",1,"0,43"
110020 PORTO VELHO,2042,2042,"1563392,48","1206546,08",-,-,"356846,4",-,-,"765,62","765,62",13799,"6,8",52,"2,55"
110025 PRESIDENTE MEDICI,93,93,"30715,75","25770,22",-,-,"4945,53",-,-,"330,28","330,28",286,"3,1",3,"3,23"
110028 ROLIM DE MOURA,379,379,"152599,03","125128,88",-,-,"27470,15",-,-,"402,64","402,64",879,"2,3",6,"1,58"
110029 SANTA LUZIA D'OESTE,64,64,"24677,43","21066,76",-,-,"3610,67",-,-,"385,58","385,58",226,"3,5",-,-
110030 VILHENA,521,521,"288583,34","235074,07",-,-,"53509,27",-,-,"553,9","553,9",1925,"3,7",15,"2,88"
110032 SAO MIGUEL DO GUAPORE,123,123,"43242,13","35469,63",-,-,"7772,5",-,-,"351,56","351,56",279,"2,3",2,"1,63"
110033 NOVA MAMORE,76,76,"24465,2","19168,21",-,-,"5296,99",-,-,"321,91","321,91",194,"2,6",-,-
