Município,População_residente
IRAUCUBA,24450
ITAICABA,7904
ITAITINGA,38661
ITAPAGE,53448
ITAPIPOCA,131687
ITAPIUNA,20653
ITAREMA,42595
ITATIRA,22018
JAGUARETAMA,18133
JAGUARIBARA,11580
JAGUARIBE,34592
JAGUARUANA,33960
JARDIM-CE,27187
JATI,8150
JIJOCA DE JERICOACOARA,20351
JUAZEIRO DO NORTE,278264
JUCAS,24949
LAVRAS DA MANGABEIRA,31476
LIMOEIRO DO NORTE,60232
MADALENA,20031
MARACANAU,230986
MARANGUAPE,131677
MARCO,27822
MARTINOPOLE,11407
MASSAPE,39341
MAURITI,48370
MERUOCA,15309
MILAGRES-CE,27413
MILHA,13129
MIRAIMA,13965
MISSAO VELHA,35566
MOMBACA,43917
MONSENHOR TABOSA,17264
MORADA NOVA,61590
MORAUJO,8833
MORRINHOS-CE,22830
MUCAMBO,14561
MULUNGU-CE,11056
NOVA OLINDA-CE,15798
NOVA RUSSAS,32487
NOVO ORIENTE,28737
OCARA,25958
OROS,21342
PACAJUS,74145
PACATUBA-CE,85647
PACOTI,12313
PACUJA,6565
PALHANO,9458
PALMACIA,13553
PARACURU,35526
PARAIPABA,33232
PARAMBU,31391
PARAMOTI,12276
PEDRA BRANCA-CE,43359
PENAFORTE,9207
PENTECOSTE,38045
PEREIRO,16356
PINDORETAMA,20964
PIQUET CARNEIRO,17210
PIRES FERREIRA,11052
PORANGA,12358
PORTEIRAS,14920
POTENGI,11165
POTIRETAMA,6455
QUITERIANOPOLIS,21246
QUIXADA,88899
QUIXELO,16116
QUIXERAMOBIM,82455
QUIXERE,22432
REDENCAO-CE,29238
RERIUTABA,18279
RUSSAS,79550
SABOEIRO,15757
SALITRE,16714
SANTANA DO ACARAU,32851
SANTANA DO CARIRI,17726
SANTA QUITERIA,43719
SAO BENEDITO,48354
SAO GONCALO DO AMARANTE-CE,49306
SAO JOAO DO JAGUARIBE,7557
SAO LUIS DO CURU,13086
SENADOR POMPEU,25418
SENADOR SA,7758
SOBRAL,212437
SOLONOPOLE,18389
TABULEIRO DO NORTE,32079
TAMBORIL,26199
TARRAFAS,8555
TAUA,59259
TEJUCUOCA,19551
TIANGUA,77111
TRAIRI,56653
TURURU,16588
UBAJARA,35295
UMARI,7740
UMIRIM,19976
URUBURETAMA,22223
URUOCA,13988
VARJOTA,18520
VARZEA ALEGRE,41078
VICOSA DO CEARA,61916
ACARI,11106
ACU,58743
AFONSO BEZERRA,11024
AGUA NOVA,3293
ALEXANDRIA,13529
ALMINO AFONSO,4685
ALTO DO RODRIGUES,14923
ANGICOS,11695
ANTONIO MARTINS,7162
APODI,35904
AREIA BRANCA-RN,28156
ARES,14526
AUGUSTO SEVERO,9686
BAIA FORMOSA,9373
BARAUNA-RN,29112
BARCELONA,3989
BENTO FERNANDES,5552
BODO,2171
BOM JESUS-RN,10323
BREJINHO-RN,12873
CAICARA DO NORTE,6572
CAICARA DO RIO DO VENTO,3745
CAICO,68726
CAMPO REDONDO,11363
CANGUARETAMA,34814
CARAUBAS-RN,20588
CARNAUBA DOS DANTAS,8297
CARNAUBAIS,10972
CEARA-MIRIM,74268
CERRO CORA,11182
CORONEL EZEQUIEL,5501
CORONEL JOAO PESSOA,4918
CRUZETA,7968
CURRAIS NOVOS,45022
DOUTOR SEVERIANO,7068
PARNAMIRIM-RN,272490
ENCANTO,5697
EQUADOR,6064
ESPIRITO SANTO,10463
EXTREMOZ,29282
FELIPE GUERRA,6009
FERNANDO PEDROZA,3081
FLORANIA,9772
FRANCISCO DANTAS,2801
FRUTUOSO GOMES,4015
GALINHOS,2903
GOIANINHA,27004
GOVERNADOR DIX-SEPT ROSADO,13115
GROSSOS,10541
GUAMARE,16261
IELMO MARINHO,14033
IPANGUACU,15759
IPUEIRA,2264
ITAJA-RN,7641
ITAU,5916
JACANA,9341
JANDAIRA-RN,6907
JANDUIS,5228
JANUARIO CICCO,10367
JAPI,4935
JARDIM DE ANGICOS,2600
JARDIM DE PIRANHAS,15044
JARDIM DO SERIDO,12397
JOAO CAMARA,35360
JOAO DIAS,2653
JOSE DA PENHA,5941
JUCURUTU,18335
JUNDIA-RN,3945
LAGOA D'ANTA,6851
LAGOA DE PEDRAS,7624
LAGOA DE VELHOS,2732
LAGOA NOVA,15880
LAGOA SALGADA,8348
LAJES,11410
LAJES PINTADAS,4768
LUCRECIA,4053
LUIS GOMES,10175
MACAIBA,82828
MACAU,32260
MAJOR SALES,4102
MARCELINO VIEIRA,8325
MARTINS,8790
MAXARANGUAPE,12714
MESSIAS TARGINO,4665
MONTANHAS,11166
MONTE ALEGRE-RN,22698
MONTE DAS GAMELEIRAS,2063
MOSSORO,303792
NATAL,896708
NISIA FLORESTA,28266
NOVA CRUZ,37554
OLHO-D'AGUA DO BORGES,4231
OURO BRANCO-RN,4813
PARANA-RN,4298
PARAU,3732
PARAZINHO,5307
PARELHAS,21611
RIO DO FOGO,10961
PASSA E FICA,13667
PASSAGEM-RN,3114
PATU,12861
SANTA MARIA-RN,5689
PAU DOS FERROS,30802
PEDRA GRANDE,3163
PEDRA PRETA-RN,2419
PEDRO AVELINO,6591
PEDRO VELHO,14881
PENDENCIAS,15411
PILOES-RN,3900
POCO BRANCO,15646
PORTALEGRE,7944
PORTO DO MANGUE,6605
SERRA CAIADA,10646
PUREZA,9825
RAFAEL FERNANDES,5158
RAFAEL GODEIRO,3214
RIACHO DA CRUZ,3648
RIACHO DE SANTANA-RN,4194
RIACHUELO-RN,8310
RODOLFO FERNANDES,4457
TIBAU,4173
RUY BARBOSA-RN,3584
SANTA CRUZ-RN,40295
SANTANA DO MATOS,11808
SANTANA DO SERIDO,2699
SANTO ANTONIO,24422
SAO BENTO DO NORTE,2687
SAO BENTO DO TRAIRI,4541
SAO FERNANDO,3606
SAO FRANCISCO DO OESTE,4281
SAO GONCALO DO AMARANTE-RN,104919
SAO JOAO DO SABUGI,6221
SAO JOSE DE MIPIBU,44566
SAO JOSE DO CAMPESTRE,12901
SAO JOSE DO SERIDO,4696
SAO MIGUEL,23789
SAO MIGUEL DO GOSTOSO,10441
SAO PAULO DO POTENGI,17858
SAO PEDRO-RN,5889
SAO RAFAEL,8183
SAO TOME-RN,11051
SAO VICENTE-RN,6476
SENADOR ELOI DE SOUZA,6167
SENADOR GEORGINO AVELINO,4527
SERRA DE SAO BENTO,5739
SERRA DO MEL,12225
SERRA NEGRA DO NORTE,8105
SERRINHA-RN,6128
SERRINHA DOS PINTOS,4832
SEVERIANO MELO,1743
SITIO NOVO-RN,5600
TABOLEIRO GRANDE,2606
TAIPU,12314
TANGARA-RN,16008
TENENTE ANANIAS,10923
TENENTE LAURENTINO CRUZ,6085
TIBAU DO SUL,14694
TIMBAUBA DOS BATISTAS,2427
TOUROS,33716
TRIUNFO POTIGUAR,3195
UMARIZAL,10485
UPANEMA,14937
VARZEA-RN,5529
VENHA-VER,4232
VERA CRUZ-RN,12789
VICOSA-RN,1731
VILA FLOR,3217
AGUA BRANCA-PB,10375
AGUIAR,5622
ALAGOA GRANDE,28384
ALAGOA NOVA,20992
ALAGOINHA-PB,14629
ALCANTIL,5527
ALGODAO DE JANDAIRA,2588
ALHANDRA,19865
SAO JOAO DO RIO DO PEIXE,18020
AMPARO-PB,2264
APARECIDA-PB,8482
ARACAGI,16857
ARARA,13613
ARARUNA-PB,20610
AREIA,22493
AREIA DE BARAUNAS,2105
AREIAL,7054
AROEIRAS,19081
ASSUNCAO,4067
BAIA DA TRAICAO,9197
BANANEIRAS,21220
BARAUNA-PB,5033
BARRA DE SANTANA,8338
BARRA DE SANTA ROSA,15607
BARRA DE SAO MIGUEL-PB,6095
BAYEUX,97519
BELEM-PB,17733
BELEM DO BREJO DO CRUZ,7356
BERNARDINO BATISTA,3571
BOA VENTURA,5248
BOA VISTA-PB,7218
BOM JESUS-PB,2588
BOM SUCESSO-PB,4937
BONITO DE SANTA FE,12126
BOQUEIRAO,17934
IGARACY,6092
BORBOREMA-PB,5311
BREJO DO CRUZ,14287
BREJO DOS SANTOS,6479
CAAPORA,22079
CABACEIRAS,5710
CABEDELO,69773
CACHOEIRA DOS INDIOS,10364
CACIMBA DE AREIA,3708
CACIMBA DE DENTRO,17169
CACIMBAS,7225
CAICARA-PB,7182
CAJAZEIRAS,62576
CAJAZEIRINHAS,3217
CALDAS BRANDAO,6077
CAMALAU,6048
CAMPINA GRANDE,413830
CAPIM,6715
CARAUBAS-PB,4206
CARRAPATEIRA,2714
CASSERENGUE,7530
CATINGUEIRA,4938
CATOLE DO ROCHA,30819
CATURITE,4898
CONCEICAO,19030
CONDADO-PB,6662
CONDE-PB,25341
CONGO,4787
COREMAS,15438
COXIXOLA,1948
CRUZ DO ESPIRITO SANTO,17599
CUBATI,7866
CUITE,20331
CUITEGI,6748
CUITE DE MAMANGUAPE,6360
CURRAL DE CIMA,5209
CURRAL VELHO,2508
DAMIAO,5409
DESTERRO,8332
VISTA SERRANA,3850
DIAMANTE,6506
DONA INES,10375
DUAS ESTRADAS,3569
EMAS,3556
ESPERANCA,33386
FAGUNDES,11180
FREI MARTINHO,2989
GADO BRAVO,8292
GUARABIRA,59389
GURINHEM,14125
GURJAO,3477
IBIARA,5877
IMACULADA,11877
INGA,18184
ITABAIANA-PB,24363
ITAPORANGA-PB,24960
ITAPOROROCA,18978
ITATUBA,11069
JACARAU,14467
JERICO,7751
JOAO PESSOA,825796
JUAREZ TAVORA,8014
JUAZEIRINHO,18422
JUNCO DO SERIDO,7238
JURIPIRANGA,10830
JURU,9831
LAGOA,4640
LAGOA DE DENTRO,7754
LAGOA SECA,27728
LASTRO,2698
LIVRAMENTO,7274
LOGRADOURO,4406
LUCENA,13344
MAE D'AGUA,3988
MALTA,5745
MAMANGUAPE,45385
MANAIRA,10988
MARCACAO,8746
MARI,21895
MARIZOPOLIS,6689
MASSARANDUBA-PB,14077
MATARACA,8642
MATINHAS,4528
MATO GROSSO,2944
MATUREIA,6690
MOGEIRO,13238
MONTADAS,5806
MONTE HOREBE,4867
MONTEIRO,33638
MULUNGU-PB,9962
NATUBA,10449
NAZAREZINHO,7271
NOVA FLORESTA,10614
NOVA OLINDA-PB,5892
NOVA PALMEIRA,5011
OLHO D'AGUA,6399
OLIVEDOS,3989
OURO VELHO,3052
PARARI,1747
PASSAGEM-PB,2453
PATOS,108766
PAULISTA-PB,12411
PEDRA BRANCA-PB,3802
PEDRA LAVRADA,7954
PEDRAS DE FOGO,28607
PIANCO,16147
PICUI,18737
PILAR-PB,12036
PILOES-PB,6518
PILOEZINHOS,4937
PIRPIRITUBA,10590
PITIMBU,19478
POCINHOS,18848
POCO DANTAS,3877
POCO DE JOSE DE MOURA,4366
POMBAL,32803
PRATA-PB,4265
PRINCESA ISABEL,23749
PUXINANA,13801
QUEIMADAS-PB,44388
QUIXABA-PB,2009
REMIGIO,19973
PEDRO REGIS,6139
RIACHAO-PB,3650
RIACHAO DO BACAMARTE,4562
RIACHAO DO POCO,4571
RIACHO DE SANTO ANTONIO,1999
RIACHO DOS CAVALOS,8555
RIO TINTO,24258
SALGADINHO-PB,3975
SALGADO DE SAO FELIX,12123
SANTA CECILIA-PB,6526
SANTA CRUZ-PB,6579
SANTA HELENA-PB,5853
SANTA INES-PB,3591
SANTA LUZIA-PB,15470
SANTANA DE MANGUEIRA,5098
SANTANA DOS GARROTES,6942
JOCA CLAUDINO,2640
SANTA RITA-PB,138093
SANTA TERESINHA-PB,4550
SANTO ANDRE-PB,2496
SAO BENTO-PB,34650
SAO BENTINHO,4602
SAO DOMINGOS DO CARIRI,2645
SAO DOMINGOS-PB,3119
SAO FRANCISCO-PB,3377
SAO JOAO DO CARIRI,4170
SAO JOAO DO TIGRE,4408
SAO JOSE DA LAGOA TAPADA,7622
SAO JOSE DE CAIANA,6394
SAO JOSE DE ESPINHARAS,4631
SAO JOSE DOS RAMOS,6037
SAO JOSE DE PIRANHAS,20406
SAO JOSE DE PRINCESA,3898
SAO JOSE DO BONFIM,3619
SAO JOSE DO BREJO DO CRUZ,1821
SAO JOSE DO SABUGI,4153
SAO JOSE DOS CORDEIROS,3607
SAO MAMEDE,7682
SAO MIGUEL DE TAIPU,7450
SAO SEBASTIAO DE LAGOA DE ROCA,11793
SAO SEBASTIAO DO UMBUZEIRO,3534
SAPE,52977
SAO VICENTE DO SERIDO,10919
SERRA BRANCA,13807
SERRA DA RAIZ,3114
SERRA GRANDE,2921
SERRA REDONDA,7001
SERRARIA,6037
SERTAOZINHO-PB,5152
SOBRADO,7845
SOLANEA,26051
SOLEDADE-PB,15211
SOSSEGO,3631
SOUSA,69997
SUME,17096
TACIMA,11024
TAPEROA-PB,15505
TAVARES-PB,14791
TEIXEIRA,15333
TENORIO,3103
TRIUNFO-PB,9473
UIRAUNA,15356
UMBUZEIRO,9914
VARZEA-PB,2870
VIEIROPOLIS,5395
ZABELE,2269
ABREU E LIMA,100698
AFOGADOS DA INGAZEIRA,37546
AFRANIO,19981
AGRESTINA,25240
AGUA PRETA,37386
AGUAS BELAS,43923
ALAGOINHA-PE,14798
ALIANCA,38408
ALTINHO,22996
AMARAJI,22910
ANGELIM,11301
ARACOIABA-PE,20936
ARARIPINA,85301
ARCOVERDE,75295
BARRA DE GUABIRABA,14632
BARREIROS,42866
BELEM DE MARIA,12169
BELEM DE SAO FRANCISCO,20730
BELO JARDIM,76930
BETANIA,12811
BEZERROS,60960
BODOCO,38605
BOM CONSELHO,48975
BOM JARDIM-PE,40038
BONITO-PE,38101
BREJAO,8981
BREJINHO-PE,7489
BREJO DA MADRE DE DEUS,51696
BUENOS AIRES,13224
BUIQUE,59448
CABO DE SANTO AGOSTINHO,210796
CABROBO,34778
CACHOEIRINHA-PE,20618
CAETES,29065
CALCADO,10983
CALUMBI,5744
CAMARAGIBE,159945
CAMOCIM DE SAO FELIX,19032
CAMUTANGA,8592
CANHOTINHO,24743
CAPOEIRAS,20048
CARNAIBA,19666
CARNAUBEIRA DA PENHA,13117
CARPINA,85131
CARUARU,369343
CASINHAS,14395
CATENDE,43778
CEDRO-PE,11972
CHA DE ALEGRIA,13641
CHA GRANDE,21929
CONDADO-PE,26755
CORRENTES,18327
CORTES,12543
CUMARU,9494
CUPIRA,24237
CUSTODIA,37633
DORMENTES,19246
ESCADA,69701
EXU,31709
FEIRA NOVA-PE,22360
FERNANDO DE NORONHA,3140
FERREIROS,12216
FLORES,22612
FLORESTA-PE,33488
FREI MIGUELINHO,15633
GAMELEIRA,31578
GARANHUNS,141347
GLORIA DO GOITA,30847
GOIANA-PE,80345
GRANITO,7586
GRAVATA,85309
IATI,19284
IBIMIRIM,29585
IBIRAJUBA,7773
IGARASSU,119690
IGUARACY,12265
INAJA-PE,24034
INGAZEIRA,4537
IPOJUCA,99101
IPUBI,31515
ITACURUBA,5013
ITAIBA,26268
ILHA DE ITAMARACA,27076
ITAMBE-PE,36495
ITAPETIM,13492
ITAPISSUMA,27144
ITAQUITINGA,17056
JABOATAO DOS GUARARAPES,711330
JAQUEIRA,11632
JATAUBA,17305
JATOBA-PE,14904
JOAO ALFREDO,33570
JOAQUIM NABUCO,15999
JUCATI,11545
JUPI,15007
JUREMA-PE,15483
LAGOA DO CARRO,18429
LAGOA DE ITAENGA,21490
LAGOA DO OURO,13300
LAGOA DOS GATOS,16345
LAGOA GRANDE-PE,26090
LAJEDO,40883
LIMOEIRO,56149
MACAPARANA,25565
MACHADOS,16549
MANARI,22110
MARAIAL,11098
MIRANDIBA,15548
MORENO,63792
NAZARE DA MATA,32673
OLINDA,393734
OROBO,23985
OROCO,15309
OURICURI,70466
PALMARES,63745
PALMEIRINA,7509
PANELAS,26438
PARANATAMA,11608
PARNAMIRIM-PE,22198
PASSIRA,28856
PAUDALHO,57346
PAULISTA-PE,336919
PEDRA,22716
PESQUEIRA,68067
PETROLANDIA-PE,37246
PETROLINA,359372
POCAO,11308
POMBOS,27204
PRIMAVERA-PE,15231
QUIPAPA,26309
QUIXABA-PE,6796
RECIFE,1661017
RIACHO DAS ALMAS,20744
RIBEIRAO,47813
RIO FORMOSO,23719
SAIRE,9600
SALGADINHO-PE,11214
SALGUEIRO,61561
SALOA,15880
SANHARO,27308
SANTA CRUZ-PE,15713
SANTA CRUZ DA BAIXA VERDE,12708
SANTA CRUZ DO CAPIBARIBE,111812
SANTA FILOMENA-PE,14645
SANTA MARIA DA BOA VISTA,42266
SANTA MARIA DO CAMBUCA,14308
SANTA TEREZINHA-PE,11914
SAO BENEDITO DO SUL,16239
SAO BENTO DO UNA,60567
SAO CAITANO,37488
SAO JOAO-PE,23002
SAO JOAQUIM DO MONTE,21439
SAO JOSE DA COROA GRANDE,21868
SAO JOSE DO BELMONTE,34082
SAO JOSE DO EGITO,34210
SAO LOURENCO DA MATA,114910
SAO VICENTE FERRER-PE,18150
SERRA TALHADA,87467
SERRITA,19226
SERTANIA,36189
SIRINHAEM,46845
MOREILANDIA,11269
SOLIDAO,6034
SURUBIM,66192
TABIRA,28860
TACAIMBO,12843
TACARATU,26439
TAMANDARE,23852
TAQUARITINGA DO NORTE,29472
TEREZINHA,7227
TERRA NOVA-PE,10314
TIMBAUBA,52587
TORITAMA,47088
TRACUNHAEM,13856
TRINDADE-PE,31103
TRIUNFO-PE,15232
TUPANATINGA,27793
TUPARETAMA,8266
VENTUROSA,18835
VERDEJANTE,9572
VERTENTE DO LERIO,7526
VERTENTES,21172
VICENCIA,32897
VITORIA DE SANTO ANTAO,140389
XEXEU,14789
AGUA BRANCA-AL,20263
ANADIA,17507
ARAPIRACA,234309
ATALAIA-AL,47540
BARRA DE SANTO ANTONIO,16201
BARRA DE SAO MIGUEL-AL,8434
BATALHA-AL,18440
BELEM-AL,4226
BELO MONTE,6717
BOCA DA MATA,27429
BRANQUINHA,10426
CACIMBINHAS,10920
CAJUEIRO,21397
CAMPESTRE-AL,6972
CAMPO ALEGRE-AL,57997
CAMPO GRANDE-AL,9576
CANAPI,17715
CAPELA-AL,16907
CARNEIROS,9568
CHA PRETA,7311
COITE DO NOIA,10594
COLONIA LEOPOLDINA,21935
COQUEIRO SECO,5882
CORURIPE,57647
CRAIBAS,24396
DELMIRO GOUVEIA,52501
DOIS RIACHOS,11059
ESTRELA DE ALAGOAS,18304
FEIRA GRANDE,22192
FELIZ DESERTO,4803
FLEXEIRAS,12823
GIRAU DO PONCIANO,41549
IBATEGUARA,15637
IGACI,25596
IGREJA NOVA,24670
INHAPI,18398
JACARE DOS HOMENS,5185
JACUIPE,6992
JAPARATINGA,8444
JARAMATAIA,5751
JEQUIA DA PRAIA,11495
JOAQUIM GOMES,24167
JUNDIA-AL,4119
JUNQUEIRO,24716
LAGOA DA CANOA,17692
LIMOEIRO DE ANADIA,28904
MACEIO,1031597
MAJOR ISIDORO,19923
MARAGOGI,33351
MARAVILHA-AL,8850
MARECHAL DEODORO,52848
MARIBONDO,13123
MAR VERMELHO,3474
MATA GRANDE,25200
MATRIZ DE CAMARAGIBE,24627
MESSIAS,18201
MINADOR DO NEGRAO,5315
MONTEIROPOLIS,7171
MURICI,28428
NOVO LINO,12837
OLHO D'AGUA DAS FLORES,21690
OLHO D'AGUA DO CASADO,9507
OLHO D'AGUA GRANDE,5133
OLIVENCA,11681
OURO BRANCO-AL,11573
PALESTINA-AL,5061
PALMEIRA DOS INDIOS,73452
PAO DE ACUCAR,24307
PARICONHA,10546
PARIPUEIRA,13484
PASSO DE CAMARAGIBE,15270
PAULO JACINTO,7556
PENEDO,64005
PIACABUCU,17868
PILAR-AL,35310
PINDOBA,2903
PIRANHAS-AL,25324
POCO DAS TRINCHEIRAS,14447
PORTO CALVO,27331
PORTO DE PEDRAS,7618
PORTO REAL DO COLEGIO,20158
QUEBRANGULO,11202
RIO LARGO,75662
ROTEIRO,6634
SANTA LUZIA DO NORTE,7344
SANTANA DO IPANEMA,47910
SANTANA DO MUNDAU,10637
SAO BRAS,6977
SAO JOSE DA LAJE,24064
SAO JOSE DA TAPERA,32462
SAO LUIS DO QUITUNDE,34825
SAO MIGUEL DOS CAMPOS,62328
SAO MIGUEL DOS MILAGRES,8073
SAO SEBASTIAO-AL,34424
SATUBA,14042
SENADOR RUI PALMEIRA,13893
TANQUE D'ARCA,6115
TAQUARANA,20162
TEOTONIO VILELA,44570
TRAIPU,27934
UNIAO DOS PALMARES,65963
VICOSA-AL,25655
AMPARO DE SAO FRANCISCO,2386
AQUIDABA,21796
ARACAJU,672614
ARAUA,9840
AREIA BRANCA-SE,18825
BARRA DOS COQUEIROS,31439
BOQUIM,26980
BREJO GRANDE,8396
CAMPO DO BRITO,18325
CANHOBA,4003
CANINDE DE SAO FRANCISCO,30894
CAPELA-SE,34808
CARIRA,22393
CARMOPOLIS,17232
CEDRO DE SAO JOAO,5929
CRISTINAPOLIS,18181
CUMBE,4008
DIVINA PASTORA,5290
ESTANCIA,69919
FEIRA NOVA-SE,5617
FREI PAULO,15688
GARARU,11599
GENERAL MAYNARD,3421
GRACHO CARDOSO,5831
ILHA DAS FLORES,8522
INDIAROBA,18337
ITABAIANA-SE,96839
ITABAIANINHA,42399
ITABI,4869
ITAPORANGA D'AJUDA,35054
JAPARATUBA,19067
JAPOATA,13422
LAGARTO,106015
LARANJEIRAS,30327
MACAMBIRA,7002
MALHADA DOS BOIS,3715
MALHADOR,12689
MARUIM,17328
MOITA BONITA,11361
MONTE ALEGRE DE SERGIPE,15315
MURIBECA,7653
NEOPOLIS,18688
NOSSA SENHORA APARECIDA,8822
NOSSA SENHORA DA GLORIA,37715
NOSSA SENHORA DAS DORES,26957
NOSSA SENHORA DE LOURDES,6509
NOSSA SENHORA DO SOCORRO,187733
PACATUBA-SE,14650
PEDRA MOLE,3309
PEDRINHAS,9727
PINHAO-SE,6678
PIRAMBU,9436
POCO REDONDO,35461
POCO VERDE,24003
PORTO DA FOLHA,28788
PROPRIA,29756
RIACHAO DO DANTAS,19813
RIACHUELO-SE,10354
RIBEIROPOLIS,18891
ROSARIO DO CATETE,11158
SALGADO,20051
SANTA LUZIA DO ITANHY,14205
SANTANA DO SAO FRANCISCO,7906
SANTA ROSA DE LIMA-SE,3933
SANTO AMARO DAS BROTAS,12200
SAO CRISTOVAO,92090
SAO DOMINGOS-SE,11276
SAO FRANCISCO-SE,3837
SAO MIGUEL DO ALEIXO,3964
SIMAO DIAS,40724
SIRIRI,9046
TELHA,3271
TOBIAS BARRETO,52861
TOMAR DO GERU,13534
UMBAUBA,25800
ABAIRA,8681
ABARE,20594
ACAJUTIBA,15214
ADUSTINA,17209
AGUA FRIA,17096
ERICO CARDOSO,10513
AIQUARA,4387
ALAGOINHAS,153023
ALCOBACA,22509
ALMADINA,5273
AMARGOSA,37631
AMELIA RODRIGUES,24997
AMERICA DOURADA,16086
ANAGE,21229
ANDARAI,13122
ANDORINHA,14416
ANGICAL,13902
ANGUERA,11369
ANTAS,19659
ANTONIO CARDOSO,11670
ANTONIO GONCALVES,11955
APORA,17840
APUAREMA,7274
ARACATU,12960
ARACAS,12237
ARACI,54903
ARAMARI,11519
ARATACA,10904
ARATUIPE,8848
AURELINO LEAL,11079
BAIANOPOLIS,13979
BAIXA GRANDE,20431
BANZAE,13251
BARRA,54225
BARRA DA ESTIVA,20198
BARRA DO CHOCA,30831
BARRA DO MENDES,13128
BARRA DO ROCHA,5515
BARREIRAS,158432
BARRO ALTO-BA,15171
BARROCAS,16225
BARRO PRETO,5312
BELMONTE-BA,23540
BELO CAMPO,17013
BIRITINGA,15989
BOA NOVA,12039
BOA VISTA DO TUPIM,18491
BOM JESUS DA LAPA,70151
BOM JESUS DA SERRA,9768
BONINAL,14518
BONITO-BA,16999
BOQUIRA,21486
BOTUPORA,10050
BREJOES,14155
BREJOLANDIA,10675
BROTAS DE MACAUBAS,10705
BRUMADO,67468
BUERAREMA,18269
BURITIRAMA,21374
CAATIBA,6232
CABACEIRAS DO PARAGUACU,19010
CACHOEIRA,33659
CACULE,23407
CAEM,8912
CAETANOS,14671
CAETITE,51184
CAFARNAUM,18585
CAIRU,18666
CALDEIRAO GRANDE,13452
CAMACAN,32023
CAMACARI,309208
CAMAMU,35444
CAMPO ALEGRE DE LOURDES,28839
CAMPO FORMOSO,71754
CANAPOLIS-BA,9694
CANARANA-BA,26468
CANAVIEIRAS,30722
CANDEAL,8109
CANDEIAS-BA,87820
CANDIBA,14415
CANDIDO SALES,24921
CANSANCAO,34929
CANUDOS,16832
CAPELA DO ALTO ALEGRE,11597
CAPIM GROSSO,31055
CARAIBAS,8659
CARAVELAS,22166
CARDEAL DA SILVA,9395
CARINHANHA,29118
CASA NOVA,73092
CASTRO ALVES,26369
CATOLANDIA,3619
CATU,55222
CATURAMA,9303
CENTRAL,17293
CHORROCHO,11221
CICERO DANTAS,32636
CIPO,17402
COARACI,16128
COCOS,18835
CONCEICAO DA FEIRA,22933
CONCEICAO DO ALMEIDA,17087
CONCEICAO DO COITE,67394
CONCEICAO DO JACUIPE,33631
CONDE-BA,26223
CONDEUBA,17113
CONTENDAS DO SINCORA,4025
CORACAO DE MARIA,22391
CORDEIROS,8667
CORIBE,14108
CORONEL JOAO SA,15549
CORRENTINA,32243
COTEGIPE,13756
CRAVOLANDIA,5352
CRISOPOLIS,21219
CRISTOPOLIS,13981
CRUZ DAS ALMAS,63923
CURACA,35065
DARIO MEIRA,10347
DIAS D'AVILA,83705
DOM BASILIO,12281
DOM MACEDO COSTA,4072
ELISIO MEDRADO,8129
ENCRUZILHADA,15914
ENTRE RIOS-BA,42014
ESPLANADA,37902
EUCLIDES DA CUNHA,61112
EUNAPOLIS,115360
FATIMA-BA,17801
FEIRA DA MATA,5656
FEIRA DE SANTANA,624107
FILADELFIA-BA,16314
FIRMINO ALVES,5641
FLORESTA AZUL,10525
FORMOSA DO RIO PRETO,26111
GANDU,32778
GAVIAO,4417
GENTIO DO OURO,11284
GLORIA,15247
GONGOGI,6852
GOVERNADOR MANGABEIRA,20800
GUAJERU,6371
GUANAMBI,85353
GUARATINGA,20565
HELIOPOLIS,12946
IACU,23950
IBIASSUCE,8849
IBICARAI,21083
IBICOARA,19990
IBICUI,16262
IBIPEBA,18421
IBIPITANGA,14989
IBIQUERA,4047
IBIRAPITANGA,23433
IBIRAPUA,8740
IBIRATAIA,14476
IBITIARA,16463
IBITITA,17048
IBOTIRAMA,27076
ICHU,6232
IGAPORA,15661
IGRAPIUNA,12963
IGUAI,27006
ILHEUS,157639
INHAMBUPE,40720
IPECAETA,14229
IPIAU,45969
IPIRA-BA,59281
IPUPIARA,9954
IRAJUBA,7295
IRAMAIA,7874
IRAQUARA,25728
IRARA,29305
IRECE,74050
ITABELA,30901
ITABERABA,64795
ITABUNA,214123
ITACARE,29051
ITAETE,16164
ITAGI,12140
ITAGIBA,14331
ITAGIMIRIM,6784
ITAGUACU DA BAHIA,14650
ITAJU DO COLONIA,6515
ITAJUIPE,20309
ITAMARAJU,64423
ITAMARI,7971
ITAMBE-BA,22474
ITANAGRA,6433
ITANHEM,19231
ITAPARICA,22440
ITAPE,8300
ITAPEBI,10173
ITAPETINGA,77408
ITAPICURU,36173
ITAPITANGA,10284
ITAQUARA,8375
ITARANTIM,19937
ITATIM,14588
ITIRUCU,12482
ITIUBA,36140
ITORORO,20394
ITUACU,19095
ITUBERA,28870
IUIU,11038
JABORANDI-BA,8176
JACARACI,14855
JACOBINA,80749
JAGUAQUARA,54913
JAGUARARI,33915
JAGUARIPE,19162
JANDAIRA-BA,10742
JEQUIE,156277
JEREMOABO,40832
JIQUIRICA,14576
JITAUNA,10470
JOAO DOURADO,25606
JUAZEIRO,219544
JUCURUCU,8856
JUSSARA-BA,15241
JUSSARI,5706
JUSSIAPE,5777
LAFAIETE COUTINHO,3663
LAGOA REAL,15870
LAJE,24214
LAJEDAO,3993
LAJEDINHO,3735
