Município,População_residente
PICARRA,12976
PLACAS,32325
PONTA DE PEDRAS,32007
PORTEL,63831
PORTO DE MOZ,42456
PRAINHA,29827
PRIMAVERA-PA,10889
QUATIPURU,13794
REDENCAO-PA,86326
RIO MARIA,18208
RONDON DO PARA,53242
RUROPOLIS,52473
SALINOPOLIS,41164
SALVATERRA,24392
SANTA BARBARA DO PARA,21811
SANTA CRUZ DO ARARI,10496
SANTA IZABEL DO PARA,72856
SANTA LUZIA DO PARA,19839
SANTA MARIA DAS BARREIRAS,22244
SANTA MARIA DO PARA,25127
SANTANA DO ARAGUAIA,75995
SANTAREM,308339
SANTAREM NOVO,6796
SANTO ANTONIO DO TAUA,32346
SAO CAETANO DE ODIVELAS,18207
SAO DOMINGOS DO ARAGUAIA,25945
SAO DOMINGOS DO CAPIM,32285
SAO FELIX DO XINGU,135732
SAO FRANCISCO DO PARA,15978
SAO GERALDO DO ARAGUAIA,24566
SAO JOAO DA PONTA,6294
SAO JOAO DE PIRABAS,23440
SAO JOAO DO ARAGUAIA,14105
SAO MIGUEL DO GUAMA,60268
SAO SEBASTIAO DA BOA VISTA,27302
SAPUCAIA-PA,6088
SENADOR JOSE PORFIRIO,11305
SOURE,25752
TAILANDIA,111554
TERRA ALTA,11971
TERRA SANTA,19063
TOME-ACU,64604
TRACUATEUA,31549
TRAIRAO,19344
TUCUMA,40661
TUCURUI,116605
ULIANOPOLIS,62286
URUARA,45395
VIGIA,54650
VISEU,62093
VITORIA DO XINGU,15421
XINGUARA,45416
SERRA DO NAVIO,5577
AMAPA,9265
PEDRA BRANCA DO AMAPARI,17625
CALCOENE,11493
CUTIAS,6217
FERREIRA GOMES,8151
ITAUBAL,5730
LARANJAL DO JARI,52302
MACAPA,522357
MAZAGAO,22468
OIAPOQUE,28534
PORTO GRANDE,22927
PRACUUBA,5370
SANTANA-AP,124808
TARTARUGALZINHO,18217
VITORIA DO JARI,16572
ABREULANDIA,2609
AGUIARNOPOLIS,7049
ALIANCA DO TOCANTINS,5303
ALMAS,6905
ALVORADA-TO,8381
ANANAS,9435
ANGICO,3475
APARECIDA DO RIO NEGRO,4901
ARAGOMINAS,5705
ARAGUACEMA,7223
ARAGUACU,8418
ARAGUAINA,186245
ARAGUANA-TO,5856
ARAGUATINS,36573
ARAPOEMA,6590
ARRAIAS,10502
AUGUSTINOPOLIS,18870
AURORA DO TOCANTINS,3809
AXIXA DO TOCANTINS,9817
BABACULANDIA,10668
BANDEIRANTES DO TOCANTINS,3631
BARRA DO OURO,4673
BARROLANDIA,5669
BERNARDO SAYAO,4439
BOM JESUS DO TOCANTINS-TO,5120
BRASILANDIA DO TOCANTINS,2221
BREJINHO DE NAZARE,5540
BURITI DO TOCANTINS,11644
CACHOEIRINHA-TO,2293
CAMPOS LINDOS,10505
CARIRI DO TOCANTINS,4499
CARMOLANDIA,2627
CARRASCO BONITO,4165
CASEARA,5514
CENTENARIO-TO,2966
CHAPADA DE AREIA,1415
CHAPADA DA NATIVIDADE,3330
COLINAS DO TOCANTINS,36271
COMBINADO,4870
CONCEICAO DO TOCANTINS,4070
COUTO MAGALHAES,5690
CRISTALANDIA,7268
CRIXAS DO TOCANTINS,1749
DARCINOPOLIS,6250
DIANOPOLIS,22704
DIVINOPOLIS DO TOCANTINS,6986
DOIS IRMAOS DO TOCANTINS,7173
DUERE,4686
ESPERANTINA-TO,11280
FATIMA-TO,3824
FIGUEIROPOLIS,5222
FILADELFIA-TO,8892
FORMOSO DO ARAGUAIA,18358
FORTALEZA DO TABOCAO,2615
GOIANORTE,5136
GOIATINS,13169
GUARAI,26403
GURUPI,88428
IPUEIRAS-TO,2088
ITACAJA,7471
ITAGUATINS,5801
ITAPIRATINS,3814
ITAPORA DO TOCANTINS,2412
JAU DO TOCANTINS,3906
JUARINA,2174
LAGOA DA CONFUSAO,13989
LAGOA DO TOCANTINS,4470
LAJEADO-TO,3199
LAVANDEIRA,1984
LIZARDA,3727
LUZINOPOLIS,3200
MARIANOPOLIS DO TOCANTINS,5332
MATEIROS,2773
