Período:Jun/2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
211140 SAO LUIS GONZAGA DO MARANHAO,85,85,"29697,66","24395,63",-,-,"5302,03",-,-,"349,38","349,38",257,3,-,-
211150 SAO MATEUS DO MARANHAO,88,88,"37202,98","27625,01",-,-,"9577,97",-,-,"422,76","422,76",223,"2,5",-,-
211160 SAO RAIMUNDO DAS MANGABEIRAS,153,153,"70517,4","56496,2",-,-,"14021,2",-,-,"460,9","460,9",502,"3,3",-,-
211170 SAO VICENTE FERRER,232,232,"88498,7","69294,37",-,-,"19204,33",-,-,"381,46","381,46",625,"2,7",-,-
211172 SATUBINHA,67,67,"24302,51","19311,95",-,-,"4990,56",-,-,"362,72","362,72",200,3,-,-
211180 SITIO NOVO,98,98,"40518,79","34021,09",-,-,"6497,7",-,-,"413,46","413,46",217,"2,2",-,-
211190 SUCUPIRA DO NORTE,60,60,"19917,84","17723,9",-,-,"2193,94",-,-,"331,96","331,96",141,"2,4",-,-
211195 SUCUPIRA DO RIACHAO,72,72,20898,"17675,5",-,-,"3222,5",-,-,"290,25","290,25",134,"1,9",1,"1,39"
211220 TIMON,338,338,"169066,58","106350,72",-,-,"62715,86",-,-,"500,2","500,2",889,"2,6",1,"0,3"
211223 TRIZIDELA DO VALE,73,73,"25526,48","21108,63",-,-,"4417,85",-,-,"349,68","349,68",234,"3,2",4,"5,48"
211230 TUNTUM,156,156,"64001,1","46822,09",-,-,"17179,01",-,-,"410,26","410,26",270,"1,7",2,"1,28"
211240 TURIACU,210,210,"87002,36","69884,06",-,-,"17118,3",-,-,"414,3","414,3",554,"2,6",-,-
211250 TUTOIA,213,213,"89151,96","70029,47",-,-,"19122,49",-,-,"418,55","418,55",487,"2,3",-,-
211260 URBANO SANTOS,142,142,"59202,18","43237,29",-,-,"15964,89",-,-,"416,92","416,92",329,"2,3",-,-
211270 VARGEM GRANDE,181,181,"68102,57","51373,3",-,-,"16729,27",-,-,"376,26","376,26",478,"2,6",2,"1,1"
211280 VIANA,208,208,"98604,15","65623,88",-,-,"32980,27",-,-,"474,06","474,06",615,3,-,-
211285 VILA NOVA DOS MARTIRIOS,56,56,"23555,15","19792,07",-,-,"3763,08",-,-,"420,63","420,63",161,"2,9",-,-
211290 VITORIA DO MEARIM,48,48,"21650,02","14834,07",-,-,"6815,95",-,-,"451,04","451,04",105,"2,2",-,-
211300 VITORINO FREIRE,105,105,"44923,75","32633,24",-,-,"12290,51",-,-,"427,85","427,85",261,"2,5",1,"0,95"
211400 ZE DOCA,299,299,"141691,3","97337,81",-,-,"44353,49",-,-,"473,88","473,88",845,"2,8",5,"1,67"
220010 AGRICOLANDIA,9,9,"4313,82","3896,93",-,-,"416,89",-,-,"479,31","479,31",21,"2,3",-,-
220020 AGUA BRANCA,139,139,"49975,17","42427,85",-,-,"7547,32",-,-,"359,53","359,53",371,"2,7",-,-
220030 ALTO LONGA,25,25,"8074,97","6939,19",-,-,"1135,78",-,-,323,323,76,3,-,-
220040 ALTOS,116,116,"36703,17","31658,87",-,-,"5044,3",-,-,"316,41","316,41",357,"3,1",1,"0,86"
220050 AMARANTE,64,64,"22170,54","16909,58",-,-,"5260,96",-,-,"346,41","346,41",150,"2,3",-,-
220100 ARRAIAL,8,8,"891,25","694,05",-,-,"197,2",-,-,"111,41","111,41",8,1,-,-
220110 AVELINO LOPES,56,56,"19177,06","16300,22",-,-,"2876,84",-,-,"342,45","342,45",113,2,-,-
220120 BARRAS,336,336,"137282,3","104729,22",-,-,"32553,08",-,-,"408,58","408,58",1020,3,3,"0,89"
220150 BATALHA,96,96,"30430,6","25668,14",-,-,"4762,46",-,-,"316,99","316,99",404,"4,2",2,"2,08"
220180 BOCAINA,4,4,"1299,6","1141,6",-,-,158,-,-,"324,9","324,9",98,"24,5",-,-
220190 BOM JESUS,448,448,"200192,76","149513,84",-,-,"50678,92",-,-,"446,86","446,86",1393,"3,1",-,-
220220 CAMPO MAIOR,537,537,"224497,32","171580,67",-,-,"52916,65",-,-,"418,06","418,06",1303,"2,4",3,"0,56"
220230 CANTO DO BURITI,148,148,"66830,26","55574,46",-,-,"11255,8",-,-,"451,56","451,56",513,"3,5",-,-
220240 CAPITAO DE CAMPOS,11,11,"2894,5","2505,4",-,-,"389,1",-,-,"263,14","263,14",49,"4,5",-,-
220250 CARACOL,16,16,"4285,83","3680,09",-,-,"605,74",-,-,"267,86","267,86",32,2,-,-
220260 CASTELO DO PIAUI,160,160,"81214,09","64455,65",-,-,"16758,44",-,-,"507,59","507,59",495,"3,1",-,-
220270 COCAL,132,132,"51790,99","45336,2",-,-,"6454,79",-,-,"392,36","392,36",431,"3,3",-,-
220290 CORRENTE,96,96,"34030,35","27734,88",-,-,"6295,47",-,-,"354,48","354,48",217,"2,3",2,"2,08"
220310 CRISTINO CASTRO,55,55,"20964,62","19066,06",-,-,"1898,56",-,-,"381,17","381,17",155,"2,8",-,-
220320 CURIMATA,122,122,"46630,09","37278,06",-,-,"9352,03",-,-,"382,21","382,21",273,"2,2",-,-
220330 DEMERVAL LOBAO,80,80,"23068,22","19828,02",-,-,"3240,2",-,-,"288,35","288,35",192,"2,4",-,-
220350 ELESBAO VELOSO,84,84,"32975,57","25247,44",-,-,"7728,13",-,-,"392,57","392,57",248,3,-,-
220370 ESPERANTINA,344,344,"173834,27","140231,31",-,-,"33602,96",-,-,"505,33","505,33",748,"2,2",-,-
