Per�odo:Mai/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";140;140;42682,45;36774,70;-;-;5907,75;-;-;304,87;304,87;390;2,8;2;1,43
"110002 ARIQUEMES";640;640;520401,21;379535,78;26555,48;-;98021,48;16288,47;-;813,13;813,13;1764;2,8;10;1,56
"110003 CABIXI";12;12;4454,34;3828,24;-;-;626,10;-;-;371,19;371,19;36;3,0;1;8,33
"110004 CACOAL";931;931;615367,14;480098,79;-;-;135268,35;-;-;660,97;660,97;3871;4,2;26;2,79
"110005 CEREJEIRAS";85;85;34898,05;28742,32;-;-;6155,73;-;-;410,57;410,57;293;3,4;2;2,35
"110006 COLORADO DO OESTE";41;41;23416,41;21061,18;-;-;2355,23;-;-;571,13;571,13;187;4,6;1;2,44
"110008 COSTA MARQUES";33;33;7872,11;6805,29;-;-;1066,82;-;-;238,55;238,55;64;1,9;1;3,03
"110009 ESPIGAO D'OESTE";150;150;61308,84;50801,02;-;-;10507,82;-;-;408,73;408,73;353;2,4;2;1,33
"110010 GUAJARA-MIRIM";355;355;147615,48;114199,75;-;-;33415,73;-;-;415,82;415,82;1065;3,0;-;-
"110011 JARU";337;337;222285,17;172753,64;-;-;49531,53;-;-;659,60;659,60;1042;3,1;9;2,67
"110012 JI-PARANA";894;894;669145,39;556331,22;-;-;112814,17;-;-;748,48;748,48;4094;4,6;16;1,79
"110013 MACHADINHO D'OESTE";191;191;68795,82;53327,20;-;-;15468,62;-;-;360,19;360,19;529;2,8;1;0,52
"110014 NOVA BRASILANDIA D'OESTE";119;119;44884,11;34384,24;-;-;10499,87;-;-;377,18;377,18;297;2,5;1;0,84
"110015 OURO PRETO DO OESTE";267;267;146935,94;111565,19;-;-;35370,75;-;-;550,32;550,32;582;2,2;5;1,87
"110018 PIMENTA BUENO";315;315;124114,19;102448,55;-;-;21665,64;-;-;394,01;394,01;645;2,0;4;1,27
"110020 PORTO VELHO";4249;4249;6469209,75;5308500,50;-;-;1160709,25;-;-;1522,53;1522,53;27227;6,4;153;3,60
"110025 PRESIDENTE MEDICI";70;70;28656,03;22177,28;-;-;6478,75;-;-;409,37;409,37;227;3,2;-;-
"110028 ROLIM DE MOURA";320;320;134257,85;98371,01;-;-;35886,84;-;-;419,56;419,56;760;2,4;8;2,50
"110029 SANTA LUZIA D'OESTE";47;47;16044,36;13611,35;-;-;2433,01;-;-;341,37;341,37;172;3,7;2;4,26
"110030 VILHENA";615;615;500988,85;388719,67;-;-;112269,18;-;-;814,62;814,62;2916;4,7;15;2,44
"110032 SAO MIGUEL DO GUAPORE";149;149;72604,03;55279,14;-;-;17324,89;-;-;487,28;487,28;335;2,2;1;0,67
"110033 NOVA MAMORE";98;98;38840,45;30380,26;-;-;8460,19;-;-;396,33;396,33;381;3,9;1;1,02
"110034 ALVORADA D'OESTE";93;93;35918,86;29072,78;-;-;6846,08;-;-;386,22;386,22;288;3,1;-;-
"110037 ALTO ALEGRE DOS PARECIS";68;68;25081,43;21819,59;-;-;3261,84;-;-;368,84;368,84;202;3,0;-;-
"110040 ALTO PARAISO";36;36;12041,17;10114,40;-;-;1926,77;-;-;334,48;334,48;53;1,5;-;-
"110045 BURITIS";120;120;64273,01;51608,00;-;-;12665,01;-;-;535,61;535,61;332;2,8;3;2,50
"110050 NOVO HORIZONTE DO OESTE";39;39;15465,06;13391,85;-;-;2073,21;-;-;396,54;396,54;122;3,1;2;5,13
"110060 CACAULANDIA";4;4;1834,61;1668,22;-;-;166,39;-;-;458,65;458,65;12;3,0;-;-
"110070 CAMPO NOVO DE RONDONIA";9;9;3108,11;2744,41;-;-;363,70;-;-;345,35;345,35;29;3,2;-;-
"110080 CANDEIAS DO JAMARI";1;1;582,42;504,07;-;-;78,35;-;-;582,42;582,42;4;4,0;-;-
"110094 CUJUBIM";59;59;19093,37;16050,56;-;-;3042,81;-;-;323,62;323,62;-;-;2;3,39
"110110 ITAPUA DO OESTE";6;6;1610,77;1378,50;-;-;232,27;-;-;268,46;268,46;13;2,2;-;-
"110120 MINISTRO ANDREAZZA";7;7;3536,56;3132,14;-;-;404,42;-;-;505,22;505,22;23;3,3;-;-
"110130 MIRANTE DA SERRA";29;29;13268,73;11533,17;-;-;1735,56;-;-;457,54;457,54;99;3,4;2;6,90
"110140 MONTE NEGRO";18;18;9019,55;7616,77;-;-;1402,78;-;-;501,09;501,09;72;4,0;-;-
"110143 NOVA UNIAO";19;19;7595,42;6567,69;-;-;1027,73;-;-;399,76;399,76;56;2,9;-;-
"110145 PARECIS";18;18;4600,07;4048,13;-;-;551,94;-;-;255,56;255,56;18;1,0;-;-
"110149 SAO FRANCISCO DO GUAPORE";119;119;60578,16;45240,67;-;-;15337,49;-;-;509,06;509,06;279;2,3;2;1,68
"110150 SERINGUEIRAS";83;83;36637,87;27345,30;-;-;9292,57;-;-;441,42;441,42;190;2,3;-;-
"110155 TEIXEIROPOLIS";1;1;488,87;459,47;-;-;29,40;-;-;488,87;488,87;2;2,0;-;-
"110160 THEOBROMA";9;9;3473,58;3033,25;-;-;440,33;-;-;385,95;385,95;25;2,8;-;-
"110170 URUPA";41;41;20651,69;15927,95;-;-;4723,74;-;-;503,70;503,70;100;2,4;1;2,44
"110175 VALE DO ANARI";12;12;4245,09;3689,02;-;-;556,07;-;-;353,76;353,76;48;4,0;-;-
"110180 VALE DO PARAISO";24;24;9992,62;8686,68;-;-;1305,94;-;-;416,36;416,36;60;2,5;-;-
"120001 ACRELANDIA";18;18;9523,09;8121,00;-;-;1402,09;-;-;529,06;529,06;63;3,5;-;-
"120005 ASSIS BRASIL";51;51;21879,40;17727,37;-;-;4152,03;-;-;429,01;429,01;161;3,2;-;-
"120010 BRASILEIA";434;434;195892,39;137051,27;-;-;58841,12;-;-;451,36;451,36;1108;2,6;6;1,38
"120020 CRUZEIRO DO SUL";946;946;438455,91;321783,59;-;-;116672,32;-;-;463,48;463,48;3506;3,7;23;2,43
"120030 FEIJO";139;139;59525,30;43066,25;-;-;16459,05;-;-;428,24;428,24;381;2,7;3;2,16
"120033 MANCIO LIMA";53;53;17590,56;14556,97;-;-;3033,59;-;-;331,90;331,90;106;2,0;-;-
