Per�odo:Ago/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210350 COLINAS";619;619;315339,47;213897,45;-;-;101442,02;-;-;509,43;509,43;1522;2,5;8;1,29
"210355 CONCEICAO DO LAGO-ACU";77;77;17099,91;13765,27;-;-;3334,64;-;-;222,08;222,08;385;5,0;-;-
"210360 COROATA";557;557;797818,51;634187,57;-;-;163630,94;-;-;1432,35;1432,35;2534;4,5;24;4,31
"210370 CURURUPU";455;455;206138,41;159625,73;-;-;46512,68;-;-;453,05;453,05;1284;2,8;14;3,08
"210400 ESPERANTINOPOLIS";118;118;58160,07;49986,48;-;-;8173,59;-;-;492,88;492,88;299;2,5;-;-
"210405 ESTREITO";132;132;64072,09;49198,76;-;-;14873,33;-;-;485,39;485,39;310;2,3;-;-
"210407 FEIRA NOVA DO MARANHAO";56;56;17535,88;15153,80;-;-;2382,08;-;-;313,14;313,14;155;2,8;-;-
"210408 FERNANDO FALCAO";15;15;5421,12;4666,63;-;-;754,49;-;-;361,41;361,41;10;0,7;-;-
"210409 FORMOSA DA SERRA NEGRA";59;59;20440,89;17948,95;-;-;2491,94;-;-;346,46;346,46;139;2,4;-;-
"210410 FORTALEZA DOS NOGUEIRAS";60;60;18332,69;15823,37;-;-;2509,32;-;-;305,54;305,54;298;5,0;-;-
"210420 FORTUNA";68;68;21066,90;17803,24;-;-;3263,66;-;-;309,81;309,81;153;2,3;-;-
"210455 GOVERNADOR EDISON LOBAO";27;27;8495,62;7198,02;-;-;1297,60;-;-;314,65;314,65;34;1,3;-;-
"210460 GOVERNADOR EUGENIO BARROS";103;103;29093,96;22799,54;-;-;6294,42;-;-;282,47;282,47;393;3,8;-;-
"210462 GOVERNADOR LUIZ ROCHA";48;48;17602,54;15105,46;-;-;2497,08;-;-;366,72;366,72;142;3,0;-;-
"210465 GOVERNADOR NEWTON BELLO";57;57;17133,07;14763,33;-;-;2369,74;-;-;300,58;300,58;132;2,3;-;-
"210467 GOVERNADOR NUNES FREIRE";515;515;197690,06;157795,08;-;-;39894,98;-;-;383,86;383,86;1148;2,2;3;0,58
"210480 GRAJAU";557;557;557566,04;443863,39;-;-;113702,65;-;-;1001,02;1001,02;2003;3,6;28;5,03
"210490 GUIMARAES";77;77;17117,17;14443,12;-;-;2674,05;-;-;222,30;222,30;399;5,2;-;-
"210500 HUMBERTO DE CAMPOS";126;126;43657,95;36273,82;-;-;7384,13;-;-;346,49;346,49;315;2,5;-;-
"210510 ICATU";33;33;13202,84;9128,76;-;-;4074,08;-;-;400,09;400,09;65;2,0;-;-
"210515 IGARAPE DO MEIO";43;43;20136,14;16054,33;-;-;4081,81;-;-;468,28;468,28;198;4,6;-;-
"210520 IGARAPE GRANDE";45;45;20505,90;15427,93;-;-;5077,97;-;-;455,69;455,69;130;2,9;-;-
"210530 IMPERATRIZ";2076;2076;2882694,98;2283654,04;-;-;599040,94;-;-;1388,58;1388,58;13390;6,4;99;4,77
"210535 ITAIPAVA DO GRAJAU";61;61;31960,10;22934,23;-;-;9025,87;-;-;523,94;523,94;106;1,7;1;1,64
"210540 ITAPECURU MIRIM";285;285;166817,29;116099,84;-;-;50717,45;-;-;585,32;585,32;1137;4,0;1;0,35
"210542 ITINGA DO MARANHAO";86;86;32597,48;25388,80;-;-;7208,68;-;-;379,04;379,04;192;2,2;-;-
"210545 JATOBA";70;70;23079,72;20185,91;-;-;2893,81;-;-;329,71;329,71;141;2,0;-;-
"210547 JENIPAPO DOS VIEIRAS";39;39;17961,37;13118,29;-;-;4843,08;-;-;460,55;460,55;89;2,3;-;-
"210550 JOAO LISBOA";93;93;34912,21;29689,10;-;-;5223,11;-;-;375,40;375,40;261;2,8;-;-
"210560 JOSELANDIA";74;74;27932,62;22463,73;-;-;5468,89;-;-;377,47;377,47;149;2,0;-;-
"210570 LAGO DA PEDRA";709;709;303295,58;232834,36;-;-;70461,22;-;-;427,78;427,78;1632;2,3;10;1,41
"210580 LAGO DO JUNCO";100;100;35196,04;29449,03;-;-;5747,01;-;-;351,96;351,96;220;2,2;1;1,00
"210596 LAGOA GRANDE DO MARANHAO";39;39;21864,38;15700,07;-;-;6164,31;-;-;560,63;560,63;162;4,2;-;-
"210600 LIMA CAMPOS";74;74;35980,98;27396,40;-;-;8584,58;-;-;486,23;486,23;175;2,4;-;-
"210610 LORETO";21;21;8508,69;7429,84;-;-;1078,85;-;-;405,18;405,18;68;3,2;-;-
"210630 MAGALHAES DE ALMEIDA";57;57;22726,13;19532,72;-;-;3193,41;-;-;398,70;398,70;188;3,3;1;1,75
"210637 MARANHAOZINHO";82;82;23400,71;20024,00;-;-;3376,71;-;-;285,37;285,37;220;2,7;-;-
"210650 MATINHA";65;65;26316,23;19865,74;-;-;6450,49;-;-;404,87;404,87;213;3,3;-;-
"210660 MATOES";84;84;33455,95;24562,39;-;-;8893,56;-;-;398,29;398,29;167;2,0;3;3,57
"210667 MILAGRES DO MARANHAO";26;26;10500,19;9099,55;-;-;1400,64;-;-;403,85;403,85;64;2,5;-;-
"210670 MIRADOR";95;95;41703,19;32919,60;-;-;8783,59;-;-;438,98;438,98;231;2,4;1;1,05
"210675 MIRANDA DO NORTE";70;70;31270,15;23030,02;-;-;8240,13;-;-;446,72;446,72;191;2,7;1;1,43
"210680 MIRINZAL";81;81;26522,71;22120,70;-;-;4402,01;-;-;327,44;327,44;163;2,0;-;-
"210690 MONCAO";190;190;84068,04;62644,84;-;-;21423,20;-;-;442,46;442,46;631;3,3;1;0,53
"210700 MONTES ALTOS";15;15;7043,01;6054,90;-;-;988,11;-;-;469,53;469,53;30;2,0;-;-
"210710 MORROS";103;103;43018,26;31164,31;-;-;11853,95;-;-;417,65;417,65;286;2,8;1;0,97
"210720 NINA RODRIGUES";38;38;11185,20;9288,40;-;-;1896,80;-;-;294,35;294,35;128;3,4;-;-
