Per�odo:Out/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210500 HUMBERTO DE CAMPOS";93;93;31693,10;25289,86;-;-;6403,24;-;-;340,79;340,79;222;2,4;-;-
"210510 ICATU";39;39;13487,64;11103,98;-;-;2383,66;-;-;345,84;345,84;78;2,0;-;-
"210515 IGARAPE DO MEIO";45;45;20001,67;15914,09;-;-;4087,58;-;-;444,48;444,48;184;4,1;-;-
"210520 IGARAPE GRANDE";44;44;24604,92;17854,86;-;-;6750,06;-;-;559,20;559,20;91;2,1;-;-
"210530 IMPERATRIZ";2117;2117;3544412,29;2823651,60;-;-;720760,69;-;-;1674,26;1674,26;13828;6,5;122;5,76
"210535 ITAIPAVA DO GRAJAU";21;21;9705,49;7817,48;-;-;1888,01;-;-;462,17;462,17;57;2,7;-;-
"210540 ITAPECURU MIRIM";254;254;134759,55;95438,04;-;-;39321,51;-;-;530,55;530,55;1011;4,0;1;0,39
"210542 ITINGA DO MARANHAO";75;75;30822,51;23925,41;-;-;6897,10;-;-;410,97;410,97;164;2,2;-;-
"210545 JATOBA";13;13;5172,15;4496,97;-;-;675,18;-;-;397,86;397,86;26;2,0;-;-
"210547 JENIPAPO DOS VIEIRAS";69;69;29919,69;23085,80;-;-;6833,89;-;-;433,62;433,62;154;2,2;-;-
"210550 JOAO LISBOA";94;94;36975,76;30655,51;-;-;6320,25;-;-;393,36;393,36;252;2,7;-;-
"210560 JOSELANDIA";110;110;38971,67;32322,56;-;-;6649,11;-;-;354,29;354,29;252;2,3;-;-
"210570 LAGO DA PEDRA";628;628;299893,24;235193,47;-;-;64699,77;-;-;477,54;477,54;2088;3,3;14;2,23
"210580 LAGO DO JUNCO";100;100;33481,98;28341,84;-;-;5140,14;-;-;334,82;334,82;114;1,1;-;-
"210590 LAGO VERDE";72;72;29324,40;25379,42;-;-;3944,98;-;-;407,28;407,28;212;2,9;-;-
"210596 LAGOA GRANDE DO MARANHAO";91;91;35014,88;24467,92;-;-;10546,96;-;-;384,78;384,78;109;1,2;2;2,20
"210600 LIMA CAMPOS";74;74;34729,05;25493,67;-;-;9235,38;-;-;469,31;469,31;159;2,1;-;-
"210610 LORETO";32;32;11983,60;10534,60;-;-;1449,00;-;-;374,49;374,49;84;2,6;-;-
"210630 MAGALHAES DE ALMEIDA";41;41;17429,13;13622,57;-;-;3806,56;-;-;425,10;425,10;121;3,0;-;-
"210637 MARANHAOZINHO";91;91;26978,53;23028,59;-;-;3949,94;-;-;296,47;296,47;239;2,6;-;-
"210640 MATA ROMA";56;56;19880,00;15536,01;-;-;4343,99;-;-;355,00;355,00;101;1,8;-;-
"210650 MATINHA";62;62;23979,47;17930,64;-;-;6048,83;-;-;386,77;386,77;196;3,2;-;-
"210660 MATOES";83;83;29300,10;23292,91;-;-;6007,19;-;-;353,01;353,01;191;2,3;1;1,20
"210667 MILAGRES DO MARANHAO";28;28;8620,68;7311,86;-;-;1308,82;-;-;307,88;307,88;56;2,0;-;-
"210670 MIRADOR";77;77;36175,66;30514,53;-;-;5661,13;-;-;469,81;469,81;226;2,9;-;-
"210675 MIRANDA DO NORTE";63;63;23798,95;18528,81;-;-;5270,14;-;-;377,76;377,76;159;2,5;-;-
"210680 MIRINZAL";26;26;7834,08;6554,74;-;-;1279,34;-;-;301,31;301,31;52;2,0;-;-
"210690 MONCAO";336;336;156424,77;120411,84;-;-;36012,93;-;-;465,55;465,55;1310;3,9;2;0,60
"210710 MORROS";90;90;41014,11;30904,67;-;-;10109,44;-;-;455,71;455,71;254;2,8;-;-
"210720 NINA RODRIGUES";27;27;10524,98;8693,24;-;-;1831,74;-;-;389,81;389,81;92;3,4;-;-
"210725 NOVA COLINAS";32;32;7978,00;6757,34;-;-;1220,66;-;-;249,31;249,31;96;3,0;-;-
"210735 NOVA OLINDA DO MARANHAO";141;141;50869,17;42257,20;-;-;8611,97;-;-;360,77;360,77;282;2,0;-;-
"210740 OLHO D'AGUA DAS CUNHAS";111;111;34945,99;29170,79;-;-;5775,20;-;-;314,83;314,83;333;3,0;-;-
"210745 OLINDA NOVA DO MARANHAO";21;21;10734,60;7205,16;-;-;3529,44;-;-;511,17;511,17;47;2,2;-;-
"210750 PACO DO LUMIAR";186;186;106195,05;65587,95;-;-;40607,10;-;-;570,94;570,94;430;2,3;-;-
