Per�odo:Mar/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";125;125;43401,06;36985,84;-;-;6415,22;-;-;347,21;347,21;341;2,7;-;-
"110002 ARIQUEMES";640;640;704134,91;551121,26;20380,86;-;120774,21;11858,58;-;1100,21;1100,21;1878;2,9;11;1,72
"110003 CABIXI";23;23;7923,93;6648,38;-;-;1275,55;-;-;344,52;344,52;64;2,8;-;-
"110004 CACOAL";1388;1388;1460872,63;1208934,46;-;-;251938,17;-;-;1052,50;1052,50;6918;5,0;79;5,69
"110005 CEREJEIRAS";87;87;35680,65;28678,02;-;-;7002,63;-;-;410,12;410,12;232;2,7;-;-
"110006 COLORADO DO OESTE";31;31;19451,38;17256,53;-;-;2194,85;-;-;627,46;627,46;136;4,4;1;3,23
"110008 COSTA MARQUES";22;22;6081,56;5030,69;-;-;1050,87;-;-;276,43;276,43;92;4,2;1;4,55
"110009 ESPIGAO D'OESTE";145;145;60973,90;50897,97;-;-;10075,93;-;-;420,51;420,51;406;2,8;3;2,07
"110010 GUAJARA-MIRIM";289;289;129080,46;94901,77;-;-;34178,69;-;-;446,65;446,65;830;2,9;1;0,35
"110011 JARU";308;308;142477,92;106404,13;-;-;36073,79;-;-;462,59;462,59;908;2,9;12;3,90
"110012 JI-PARANA";410;410;533820,27;449343,35;-;-;84476,92;-;-;1302,00;1302,00;2313;5,6;29;7,07
"110013 MACHADINHO D'OESTE";121;121;46731,83;34739,96;-;-;11991,87;-;-;386,21;386,21;275;2,3;1;0,83
"110014 NOVA BRASILANDIA D'OESTE";50;50;21318,56;17021,11;-;-;4297,45;-;-;426,37;426,37;160;3,2;1;2,00
"110015 OURO PRETO DO OESTE";190;190;105045,15;80816,99;-;-;24228,16;-;-;552,87;552,87;451;2,4;1;0,53
"110018 PIMENTA BUENO";290;290;105176,56;88021,67;-;-;17154,89;-;-;362,68;362,68;542;1,9;6;2,07
"110020 PORTO VELHO";5036;5036;7411166,22;6059317,04;-;-;1351849,18;-;-;1471,64;1471,64;32172;6,4;159;3,16
"110025 PRESIDENTE MEDICI";27;27;15386,88;10247,17;-;-;5139,71;-;-;569,88;569,88;66;2,4;2;7,41
"110028 ROLIM DE MOURA";265;265;119077,09;83143,76;-;-;35933,33;-;-;449,35;449,35;594;2,2;4;1,51
"110029 SANTA LUZIA D'OESTE";50;50;20955,34;17594,64;-;-;3360,70;-;-;419,11;419,11;188;3,8;1;2,00
"110030 VILHENA";533;533;725056,09;592176,95;-;-;132879,14;-;-;1360,33;1360,33;2294;4,3;24;4,50
"110032 SAO MIGUEL DO GUAPORE";126;126;57577,78;44672,01;-;-;12905,77;-;-;456,97;456,97;244;1,9;3;2,38
"110033 NOVA MAMORE";74;74;25062,23;19532,37;-;-;5529,86;-;-;338,68;338,68;234;3,2;-;-
"110034 ALVORADA D'OESTE";55;55;17135,27;13013,10;-;-;4122,17;-;-;311,55;311,55;133;2,4;-;-
"110037 ALTO ALEGRE DOS PARECIS";46;46;18931,82;16433,59;-;-;2498,23;-;-;411,56;411,56;143;3,1;-;-
"110040 ALTO PARAISO";24;24;9836,85;8365,91;-;-;1470,94;-;-;409,87;409,87;76;3,2;-;-
"110045 BURITIS";135;135;88277,67;69543,47;-;-;18734,20;-;-;653,91;653,91;431;3,2;7;5,19
"110050 NOVO HORIZONTE DO OESTE";43;43;21669,22;18271,84;-;-;3397,38;-;-;503,94;503,94;130;3,0;-;-
"110060 CACAULANDIA";6;6;3218,57;2594,26;-;-;624,31;-;-;536,43;536,43;25;4,2;-;-
"110070 CAMPO NOVO DE RONDONIA";3;3;1242,48;1058,03;-;-;184,45;-;-;414,16;414,16;7;2,3;-;-
"110094 CUJUBIM";59;59;23115,85;19106,11;-;-;4009,74;-;-;391,79;391,79;-;-;2;3,39
"110110 ITAPUA DO OESTE";7;7;2874,24;2350,06;-;-;524,18;-;-;410,61;410,61;23;3,3;-;-
"110120 MINISTRO ANDREAZZA";8;8;2702,62;2331,36;-;-;371,26;-;-;337,83;337,83;40;5,0;-;-
"110130 MIRANTE DA SERRA";20;20;9759,50;8618,93;-;-;1140,57;-;-;487,98;487,98;102;5,1;1;5,00
"110140 MONTE NEGRO";19;19;12213,40;10389,99;-;-;1823,41;-;-;642,81;642,81;78;4,1;1;5,26
"110143 NOVA UNIAO";7;7;3647,63;3028,26;-;-;619,37;-;-;521,09;521,09;18;2,6;-;-
"110145 PARECIS";10;10;448,30;338,02;-;-;110,28;-;-;44,83;44,83;10;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";1;1;606,42;528,07;-;-;78,35;-;-;606,42;606,42;3;3,0;-;-
"110149 SAO FRANCISCO DO GUAPORE";141;141;87578,86;66549,90;-;-;21028,96;-;-;621,13;621,13;326;2,3;8;5,67
"110150 SERINGUEIRAS";96;96;34866,11;25817,72;-;-;9048,39;-;-;363,19;363,19;238;2,5;-;-
"110155 TEIXEIROPOLIS";8;8;5727,89;4743,20;-;-;984,69;-;-;715,99;715,99;17;2,1;-;-
"110160 THEOBROMA";6;6;2817,04;2519,51;-;-;297,53;-;-;469,51;469,51;16;2,7;-;-
"110170 URUPA";26;26;12769,57;9444,88;-;-;3324,69;-;-;491,14;491,14;80;3,1;-;-
"110175 VALE DO ANARI";19;19;9746,97;8130,65;-;-;1616,32;-;-;513,00;513,00;79;4,2;-;-
"110180 VALE DO PARAISO";16;16;8738,55;7579,96;-;-;1158,59;-;-;546,16;546,16;62;3,9;-;-
"120005 ASSIS BRASIL";26;26;9075,99;7545,07;-;-;1530,92;-;-;349,08;349,08;79;3,0;1;3,85
"120010 BRASILEIA";218;218;80169,33;60073,78;-;-;20095,55;-;-;367,75;367,75;812;3,7;2;0,92
"120020 CRUZEIRO DO SUL";892;892;518442,94;386767,48;-;-;131675,46;-;-;581,21;581,21;3084;3,5;26;2,91
"120030 FEIJO";80;80;34940,20;24237,29;-;-;10702,91;-;-;436,75;436,75;237;3,0;-;-
"120033 MANCIO LIMA";28;28;10070,69;8762,44;-;-;1308,25;-;-;359,67;359,67;86;3,1;-;-
