Per�odo:Abr/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";134;134;43426,50;37641,29;-;-;5785,21;-;-;324,08;324,08;345;2,6;1;0,75
"110002 ARIQUEMES";603;603;518379,37;388201,19;23170,41;-;93961,05;13046,72;-;859,67;859,67;1564;2,6;11;1,82
"110003 CABIXI";10;10;3326,04;2836,75;-;-;489,29;-;-;332,60;332,60;37;3,7;-;-
"110004 CACOAL";1101;1101;1201314,54;978947,82;-;-;222366,72;-;-;1091,11;1091,11;6344;5,8;49;4,45
"110005 CEREJEIRAS";78;78;31546,00;26383,60;-;-;5162,40;-;-;404,44;404,44;263;3,4;-;-
"110006 COLORADO DO OESTE";31;31;18225,71;16423,02;-;-;1802,69;-;-;587,93;587,93;127;4,1;1;3,23
"110008 COSTA MARQUES";35;35;10724,87;9251,81;-;-;1473,06;-;-;306,42;306,42;72;2,1;-;-
"110009 ESPIGAO D'OESTE";153;153;57388,58;47844,43;-;-;9544,15;-;-;375,09;375,09;401;2,6;5;3,27
"110010 GUAJARA-MIRIM";363;363;146813,09;113956,40;-;-;32856,69;-;-;404,44;404,44;1188;3,3;2;0,55
"110011 JARU";258;258;162680,39;124053,85;-;-;38626,54;-;-;630,54;630,54;851;3,3;6;2,33
"110012 JI-PARANA";793;793;637373,76;507819,92;-;-;129553,84;-;-;803,75;803,75;2978;3,8;5;0,63
"110013 MACHADINHO D'OESTE";172;172;63714,64;48795,31;-;-;14919,33;-;-;370,43;370,43;413;2,4;-;-
"110014 NOVA BRASILANDIA D'OESTE";91;91;35467,51;27587,90;-;-;7879,61;-;-;389,75;389,75;277;3,0;1;1,10
"110015 OURO PRETO DO OESTE";256;256;135987,46;104770,24;-;-;31217,22;-;-;531,20;531,20;748;2,9;4;1,56
