Per�odo:Dez/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211023 SANTANA DO MARANHAO";38;38;16973,36;12674,72;-;-;4298,64;-;-;446,67;446,67;115;3,0;-;-
"211027 SANTO AMARO DO MARANHAO";21;21;7419,66;5576,02;-;-;1843,64;-;-;353,32;353,32;36;1,7;-;-
"211030 SANTO ANTONIO DOS LOPES";59;59;21567,33;18850,31;-;-;2717,02;-;-;365,55;365,55;295;5,0;-;-
"211040 SAO BENEDITO DO RIO PRETO";59;59;23523,78;16426,44;-;-;7097,34;-;-;398,71;398,71;227;3,8;-;-
"211050 SAO BENTO";164;164;58283,49;44728,54;-;-;13554,95;-;-;355,39;355,39;550;3,4;1;0,61
"211060 SAO BERNARDO";162;162;51017,52;41838,89;-;-;9178,63;-;-;314,92;314,92;450;2,8;-;-
"211065 SAO DOMINGOS DO AZEITAO";15;15;5042,31;4402,69;-;-;639,62;-;-;336,15;336,15;67;4,5;-;-
"211070 SAO DOMINGOS DO MARANHAO";120;120;66545,79;49893,57;-;-;16652,22;-;-;554,55;554,55;357;3,0;-;-
"211080 SAO FELIX DE BALSAS";10;10;3471,75;2959,11;-;-;512,64;-;-;347,18;347,18;26;2,6;-;-
"211085 SAO FRANCISCO DO BREJAO";44;44;14431,39;12663,69;-;-;1767,70;-;-;327,99;327,99;87;2,0;-;-
"211090 SAO FRANCISCO DO MARANHAO";54;54;24838,35;22077,91;-;-;2760,44;-;-;459,97;459,97;190;3,5;2;3,70
"211100 SAO JOAO BATISTA";120;120;39381,55;31472,66;-;-;7908,89;-;-;328,18;328,18;232;1,9;1;0,83
"211102 SAO JOAO DO CARU";27;27;9493,37;7024,17;-;-;2469,20;-;-;351,61;351,61;57;2,1;-;-
"211107 SAO JOAO DO SOTER";98;98;31816,71;27516,80;-;-;4299,91;-;-;324,66;324,66;317;3,2;-;-
"211110 SAO JOAO DOS PATOS";121;121;41982,16;36390,59;-;-;5591,57;-;-;346,96;346,96;344;2,8;3;2,48
"211120 SAO JOSE DE RIBAMAR";240;240;130314,60;79775,94;-;-;50538,66;-;-;542,98;542,98;450;1,9;-;-
"211125 SAO JOSE DOS BASILIOS";36;36;10214,78;8977,79;-;-;1236,99;-;-;283,74;283,74;107;3,0;-;-
"211130 SAO LUIS";10472;10087;18626777,86;14940644,08;-;-;3686133,78;-;-;1778,72;1846,61;93928;9,3;599;5,94
"211140 SAO LUIS GONZAGA DO MARANHAO";145;145;47254,82;40532,25;-;-;6722,57;-;-;325,90;325,90;435;3,0;-;-
"211150 SAO MATEUS DO MARANHAO";112;112;33457,62;23967,23;-;-;9490,39;-;-;298,73;298,73;230;2,1;3;2,68
"211153 SAO PEDRO DA AGUA BRANCA";81;81;30493,54;26113,21;-;-;4380,33;-;-;376,46;376,46;165;2,0;-;-
"211157 SAO PEDRO DOS CRENTES";94;94;19449,29;16550,06;-;-;2899,23;-;-;206,91;206,91;470;5,0;-;-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";56;56;27136,64;24012,43;-;-;3124,21;-;-;484,58;484,58;152;2,7;-;-
"211163 SAO RAIMUNDO DO DOCA BEZERRA";25;25;1419,73;1110,97;-;-;308,76;-;-;56,79;56,79;8;0,3;-;-
"211170 SAO VICENTE FERRER";160;160;51701,92;41280,46;-;-;10421,46;-;-;323,14;323,14;375;2,3;-;-
"211172 SATUBINHA";20;20;11971,42;10002,86;-;-;1968,56;-;-;598,57;598,57;47;2,4;-;-
"211174 SENADOR ALEXANDRE COSTA";59;59;18074,93;14986,92;-;-;3088,01;-;-;306,35;306,35;161;2,7;-;-
"211180 SITIO NOVO";117;117;40504,14;32628,53;-;-;7875,61;-;-;346,19;346,19;307;2,6;1;0,85
"211190 SUCUPIRA DO NORTE";11;11;4579,59;4120,56;-;-;459,03;-;-;416,33;416,33;23;2,1;-;-
"211195 SUCUPIRA DO RIACHAO";23;23;9166,15;8059,10;-;-;1107,05;-;-;398,53;398,53;64;2,8;-;-
"211200 TASSO FRAGOSO";12;12;4647,44;4116,05;-;-;531,39;-;-;387,29;387,29;40;3,3;-;-
"211210 TIMBIRAS";207;207;111956,27;81493,10;-;-;30463,17;-;-;540,85;540,85;574;2,8;1;0,48
"211220 TIMON";823;823;638055,29;485080,06;-;-;152975,23;-;-;775,28;775,28;3651;4,4;25;3,04
"211223 TRIZIDELA DO VALE";118;118;42204,53;31864,18;-;-;10340,35;-;-;357,67;357,67;292;2,5;4;3,39
"211227 TUFILANDIA";9;9;2992,52;2578,94;-;-;413,58;-;-;332,50;332,50;18;2,0;-;-
"211230 TUNTUM";152;152;55811,25;41654,97;-;-;14156,28;-;-;367,18;367,18;349;2,3;-;-
"211240 TURIACU";109;109;52273,81;37900,55;-;-;14373,26;-;-;479,58;479,58;293;2,7;-;-
"211250 TUTOIA";129;129;66820,79;44166,11;-;-;22654,68;-;-;517,99;517,99;389;3,0;-;-
"211260 URBANO SANTOS";143;143;55081,60;41858,55;-;-;13223,05;-;-;385,19;385,19;355;2,5;-;-
"211270 VARGEM GRANDE";198;198;74096,93;55070,45;-;-;19026,48;-;-;374,23;374,23;425;2,1;4;2,02
"211280 VIANA";325;325;168855,93;126586,44;-;-;42269,49;-;-;519,56;519,56;1252;3,9;9;2,77
"211285 VILA NOVA DOS MARTIRIOS";55;55;20023,38;16759,58;-;-;3263,80;-;-;364,06;364,06;146;2,7;-;-
"211290 VITORIA DO MEARIM";64;64;28706,41;20543,23;-;-;8163,18;-;-;448,54;448,54;158;2,5;2;3,13
"211300 VITORINO FREIRE";174;174;67789,09;53383,59;-;-;14405,50;-;-;389,59;389,59;407;2,3;-;-
"211400 ZE DOCA";236;236;99869,64;74502,05;-;-;25367,59;-;-;423,18;423,18;768;3,3;5;2,12
"220010 AGRICOLANDIA";9;9;2177,06;1846,98;-;-;330,08;-;-;241,90;241,90;9;1,0;-;-
"220020 AGUA BRANCA";66;66;33225,96;26457,73;-;-;6768,23;-;-;503,42;503,42;243;3,7;3;4,55
"220025 ALAGOINHA DO PIAUI";15;15;3911,10;3327,98;-;-;583,12;-;-;260,74;260,74;54;3,6;-;-
"220040 ALTOS";90;90;46650,23;38308,50;-;-;8341,73;-;-;518,34;518,34;323;3,6;2;2,22
"220050 AMARANTE";121;121;40780,59;32515,19;-;-;8265,40;-;-;337,03;337,03;234;1,9;7;5,79
"220100 ARRAIAL";7;7;4006,04;3622,06;-;-;383,98;-;-;572,29;572,29;27;3,9;-;-
"220120 BARRAS";251;251;137741,92;99342,08;-;-;38399,84;-;-;548,77;548,77;633;2,5;3;1,20
"220150 BATALHA";93;93;39720,98;34503,26;-;-;5217,72;-;-;427,11;427,11;297;3,2;1;1,08
"220160 BENEDITINOS";7;7;2994,07;2297,82;-;-;696,25;-;-;427,72;427,72;28;4,0;-;-
"220190 BOM JESUS";424;424;229957,04;176417,31;-;-;53539,73;-;-;542,35;542,35;1568;3,7;16;3,77
"220220 CAMPO MAIOR";457;457;231258,53;168525,03;-;-;62733,50;-;-;506,04;506,04;1843;4,0;19;4,16
"220230 CANTO DO BURITI";144;144;60496,79;50454,44;-;-;10042,35;-;-;420,12;420,12;360;2,5;-;-
"220260 CASTELO DO PIAUI";22;22;11139,43;9901,15;-;-;1238,28;-;-;506,34;506,34;109;5,0;-;-
"220270 COCAL";47;47;12141,92;9288,41;-;-;2853,51;-;-;258,34;258,34;83;1,8;-;-
"220290 CORRENTE";101;101;50207,21;34940,89;-;-;15266,32;-;-;497,10;497,10;269;2,7;-;-
"220310 CRISTINO CASTRO";55;55;37418,17;33757,65;-;-;3660,52;-;-;680,33;680,33;165;3,0;-;-
"220320 CURIMATA";92;92;42711,83;34787,99;-;-;7923,84;-;-;464,26;464,26;262;2,8;-;-
"220330 DEMERVAL LOBAO";100;100;58505,06;42223,74;-;-;16281,32;-;-;585,05;585,05;317;3,2;-;-
"220350 ELESBAO VELOSO";30;30;10836,70;9193,43;-;-;1643,27;-;-;361,22;361,22;103;3,4;-;-
"220370 ESPERANTINA";345;345;162795,67;114811,85;-;-;47983,82;-;-;471,87;471,87;711;2,1;6;1,74
"220390 FLORIANO";1005;1005;1098091,49;859077,00;-;-;239014,49;-;-;1092,63;1092,63;6092;6,1;44;4,38
"220430 FRONTEIRAS";189;189;124722,10;110960,68;-;-;13761,42;-;-;659,91;659,91;615;3,3;-;-
"220450 GUADALUPE";60;60;19592,66;16258,61;-;-;3334,05;-;-;326,54;326,54;180;3,0;1;1,67
"220470 INHUMA";11;11;4707,37;4087,36;-;-;620,01;-;-;427,94;427,94;52;4,7;1;9,09
"220480 IPIRANGA DO PIAUI";3;3;1419,78;1104,94;-;-;314,84;-;-;473,26;473,26;8;2,7;-;-
"220510 ITAUEIRA";30;30;14958,80;11773,15;-;-;3185,65;-;-;498,63;498,63;147;4,9;-;-
"220520 JAICOS";122;122;58244,55;48730,75;-;-;9513,80;-;-;477,41;477,41;259;2,1;-;-
"220550 JOSE DE FREITAS";100;100;45276,08;37252,00;-;-;8024,08;-;-;452,76;452,76;414;4,1;-;-
"220570 LUIS CORREIA";13;13;4032,45;3501,08;-;-;531,37;-;-;310,19;310,19;57;4,4;-;-
