Per�odo:Nov/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210455 GOVERNADOR EDISON LOBAO";36;36;13141,17;11352,48;-;-;1788,69;-;-;365,03;365,03;36;1,0;-;-
"210460 GOVERNADOR EUGENIO BARROS";103;103;29885,12;24154,26;-;-;5730,86;-;-;290,15;290,15;273;2,7;-;-
"210462 GOVERNADOR LUIZ ROCHA";48;48;15967,62;13345,96;-;-;2621,66;-;-;332,66;332,66;143;3,0;-;-
"210465 GOVERNADOR NEWTON BELLO";65;65;24714,70;21603,84;-;-;3110,86;-;-;380,23;380,23;137;2,1;-;-
"210467 GOVERNADOR NUNES FREIRE";515;515;177485,97;143843,42;-;-;33642,55;-;-;344,63;344,63;1037;2,0;1;0,19
"210480 GRAJAU";549;549;409698,48;319746,23;-;-;89952,25;-;-;746,26;746,26;1791;3,3;17;3,10
"210490 GUIMARAES";70;70;18377,80;15560,20;-;-;2817,60;-;-;262,54;262,54;140;2,0;-;-
"210500 HUMBERTO DE CAMPOS";122;122;43624,67;36201,61;-;-;7423,06;-;-;357,58;357,58;262;2,1;-;-
"210510 ICATU";41;41;15224,19;11780,84;-;-;3443,35;-;-;371,32;371,32;82;2,0;-;-
"210515 IGARAPE DO MEIO";41;41;16839,37;13851,85;-;-;2987,52;-;-;410,72;410,72;123;3,0;-;-
"210520 IGARAPE GRANDE";71;71;21380,02;15868,26;-;-;5511,76;-;-;301,13;301,13;93;1,3;-;-
"210530 IMPERATRIZ";2263;2263;3419326,24;2686731,40;-;-;732594,84;-;-;1510,97;1510,97;13638;6,0;91;4,02
"210535 ITAIPAVA DO GRAJAU";16;16;8695,06;6033,31;-;-;2661,75;-;-;543,44;543,44;22;1,4;-;-
"210540 ITAPECURU MIRIM";215;215;122463,48;86017,40;-;-;36446,08;-;-;569,60;569,60;969;4,5;4;1,86
"210542 ITINGA DO MARANHAO";72;72;24015,37;19336,68;-;-;4678,69;-;-;333,55;333,55;165;2,3;-;-
"210545 JATOBA";113;113;36766,01;31983,72;-;-;4782,29;-;-;325,36;325,36;235;2,1;-;-
"210547 JENIPAPO DOS VIEIRAS";32;32;10494,91;8994,51;-;-;1500,40;-;-;327,97;327,97;36;1,1;-;-
"210550 JOAO LISBOA";117;117;37793,03;30869,35;-;-;6923,68;-;-;323,02;323,02;291;2,5;-;-
"210570 LAGO DA PEDRA";604;604;265659,14;205637,49;-;-;60021,65;-;-;439,83;439,83;1457;2,4;8;1,32
"210580 LAGO DO JUNCO";100;100;33443,65;27980,37;-;-;5463,28;-;-;334,44;334,44;117;1,2;-;-
"210590 LAGO VERDE";72;72;29324,40;25379,42;-;-;3944,98;-;-;407,28;407,28;212;2,9;-;-
"210596 LAGOA GRANDE DO MARANHAO";121;121;51864,92;35892,87;-;-;15972,05;-;-;428,64;428,64;169;1,4;2;1,65
"210600 LIMA CAMPOS";74;74;35378,19;26061,95;-;-;9316,24;-;-;478,08;478,08;162;2,2;1;1,35
"210610 LORETO";24;24;7299,48;6259,90;-;-;1039,58;-;-;304,15;304,15;71;3,0;-;-
"210630 MAGALHAES DE ALMEIDA";46;46;15466,62;12102,08;-;-;3364,54;-;-;336,23;336,23;139;3,0;-;-
"210637 MARANHAOZINHO";87;87;24893,08;21353,15;-;-;3539,93;-;-;286,13;286,13;257;3,0;-;-
"210640 MATA ROMA";52;52;19474,60;15170,64;-;-;4303,96;-;-;374,51;374,51;97;1,9;-;-
"210650 MATINHA";62;62;23515,73;17135,02;-;-;6380,71;-;-;379,29;379,29;148;2,4;-;-
"210660 MATOES";73;73;24942,95;20396,94;-;-;4546,01;-;-;341,68;341,68;217;3,0;2;2,74
"210667 MILAGRES DO MARANHAO";29;29;10130,94;8839,92;-;-;1291,02;-;-;349,34;349,34;61;2,1;-;-
"210675 MIRANDA DO NORTE";73;73;31772,27;23803,02;-;-;7969,25;-;-;435,24;435,24;206;2,8;2;2,74
"210680 MIRINZAL";22;22;8124,44;6509,14;-;-;1615,30;-;-;369,29;369,29;44;2,0;-;-
"210690 MONCAO";223;223;97564,90;71961,17;-;-;25603,73;-;-;437,51;437,51;803;3,6;1;0,45
"210710 MORROS";71;71;29810,19;21722,31;-;-;8087,88;-;-;419,86;419,86;161;2,3;-;-
"210720 NINA RODRIGUES";33;33;12344,72;10089,90;-;-;2254,82;-;-;374,08;374,08;105;3,2;-;-
"210725 NOVA COLINAS";32;32;8090,93;6869,29;-;-;1221,64;-;-;252,84;252,84;95;3,0;-;-
"210735 NOVA OLINDA DO MARANHAO";118;118;42960,65;34933,65;-;-;8027,00;-;-;364,07;364,07;236;2,0;-;-
"210740 OLHO D'AGUA DAS CUNHAS";98;98;30345,16;25479,95;-;-;4865,21;-;-;309,64;309,64;295;3,0;-;-
"210745 OLINDA NOVA DO MARANHAO";20;20;10514,97;6990,41;-;-;3524,56;-;-;525,75;525,75;42;2,1;-;-
"210750 PACO DO LUMIAR";186;186;100922,39;62837,76;-;-;38084,63;-;-;542,59;542,59;450;2,4;-;-
"210760 PALMEIRANDIA";51;51;16900,92;12527,59;-;-;4373,33;-;-;331,39;331,39;97;1,9;-;-
"210770 PARAIBANO";74;74;32865,40;28749,60;-;-;4115,80;-;-;444,13;444,13;367;5,0;4;5,41
"210780 PARNARAMA";170;170;71062,21;60700,88;-;-;10361,33;-;-;418,01;418,01;584;3,4;6;3,53
"210790 PASSAGEM FRANCA";170;170;53478,46;45412,09;-;-;8066,37;-;-;314,58;314,58;589;3,5;-;-
"210800 PASTOS BONS";134;134;46050,66;41168,59;-;-;4882,07;-;-;343,66;343,66;422;3,1;-;-
"210805 PAULINO NEVES";106;106;69433,63;50747,13;-;-;18686,50;-;-;655,03;655,03;251;2,4;-;-
"210810 PAULO RAMOS";212;212;74271,26;61699,21;-;-;12572,05;-;-;350,34;350,34;601;2,8;-;-
"210820 PEDREIRAS";476;476;261852,44;199266,85;-;-;62585,59;-;-;550,11;550,11;2051;4,3;16;3,36
"210825 PEDRO DO ROSARIO";21;21;6842,57;5516,73;-;-;1325,84;-;-;325,84;325,84;49;2,3;-;-
"210830 PENALVA";100;100;39813,35;29064,66;-;-;10748,69;-;-;398,13;398,13;229;2,3;-;-
"210845 PERITORO";208;208;139337,11;109415,91;-;-;29921,20;-;-;669,89;669,89;1118;5,4;6;2,88
"210850 PINDARE-MIRIM";68;68;27993,66;21479,88;-;-;6513,78;-;-;411,67;411,67;270;4,0;-;-
"210860 PINHEIRO";849;849;683241,45;530237,82;-;-;153003,63;-;-;804,76;804,76;3402;4,0;34;4,00
"210870 PIO XII";107;107;37774,50;30848,46;-;-;6926,04;-;-;353,03;353,03;248;2,3;-;-
"210880 PIRAPEMAS";30;30;12556,93;10043,27;-;-;2513,66;-;-;418,56;418,56;143;4,8;-;-
"210890 POCAO DE PEDRAS";83;83;26720,61;22841,99;-;-;3878,62;-;-;321,94;321,94;237;2,9;1;1,20
"210900 PORTO FRANCO";219;219;189238,01;150041,42;-;-;39196,59;-;-;864,10;864,10;897;4,1;5;2,28
"210910 PRESIDENTE DUTRA";623;623;727953,48;592436,41;-;-;135517,07;-;-;1168,46;1168,46;3544;5,7;13;2,09
"210920 PRESIDENTE JUSCELINO";39;39;12692,94;10488,09;-;-;2204,85;-;-;325,46;325,46;108;2,8;-;-
"210923 PRESIDENTE MEDICI";100;100;38055,44;33777,90;-;-;4277,54;-;-;380,55;380,55;281;2,8;1;1,00
"210927 PRESIDENTE SARNEY";58;58;16581,22;13830,11;-;-;2751,11;-;-;285,88;285,88;119;2,1;-;-
"210930 PRESIDENTE VARGAS";20;20;7331,09;5811,24;-;-;1519,85;-;-;366,55;366,55;53;2,6;-;-
"210940 PRIMEIRA CRUZ";79;79;20916,77;18024,11;-;-;2892,66;-;-;264,77;264,77;395;5,0;-;-
"210945 RAPOSA";30;30;20019,56;18148,65;-;-;1870,91;-;-;667,32;667,32;123;4,1;-;-
"210950 RIACHAO";171;171;47303,52;40186,89;-;-;7116,63;-;-;276,63;276,63;515;3,0;-;-
"210960 ROSARIO";181;181;54181,98;45969,48;-;-;8212,50;-;-;299,35;299,35;492;2,7;-;-
"210970 SAMBAIBA";28;28;8834,15;7514,67;-;-;1319,48;-;-;315,51;315,51;113;4,0;-;-
"210980 SANTA HELENA";150;150;58689,97;42266,77;-;-;16423,20;-;-;391,27;391,27;379;2,5;-;-
"210990 SANTA INES";1136;1136;854311,40;653061,92;-;-;201249,48;-;-;752,03;752,03;4438;3,9;38;3,35
"211000 SANTA LUZIA";256;256;138470,96;95755,65;-;-;42715,31;-;-;540,90;540,90;806;3,1;-;-
"211003 SANTA LUZIA DO PARUA";285;285;219633,57;167943,15;-;-;51690,42;-;-;770,64;770,64;1116;3,9;10;3,51
"211010 SANTA QUITERIA DO MARANHAO";83;83;43768,22;28219,65;-;-;15548,57;-;-;527,33;527,33;191;2,3;-;-
"211020 SANTA RITA";204;204;80527,21;60977,88;-;-;19549,33;-;-;394,74;394,74;440;2,2;-;-
"211023 SANTANA DO MARANHAO";49;49;22573,86;16305,88;-;-;6267,98;-;-;460,69;460,69;122;2,5;-;-
"211027 SANTO AMARO DO MARANHAO";28;28;10794,24;8792,62;-;-;2001,62;-;-;385,51;385,51;61;2,2;-;-
"211030 SANTO ANTONIO DOS LOPES";59;59;21567,33;18850,31;-;-;2717,02;-;-;365,55;365,55;295;5,0;-;-
"211040 SAO BENEDITO DO RIO PRETO";74;74;27326,51;20242,04;-;-;7084,47;-;-;369,28;369,28;142;1,9;-;-
"211050 SAO BENTO";145;145;51988,79;39622,42;-;-;12366,37;-;-;358,54;358,54;495;3,4;-;-
"211060 SAO BERNARDO";166;166;51969,36;41606,87;-;-;10362,49;-;-;313,07;313,07;469;2,8;-;-
"211065 SAO DOMINGOS DO AZEITAO";50;50;16810,69;14189,25;-;-;2621,44;-;-;336,21;336,21;136;2,7;-;-
