Per�odo:Set/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";123;123;35484,65;30386,33;-;-;5098,32;-;-;288,49;288,49;337;2,7;5;4,07
"110002 ARIQUEMES";594;594;498239,43;400803,56;-;-;97435,87;-;-;838,79;838,79;1840;3,1;29;4,88
"110003 CABIXI";14;14;5521,07;4798,72;-;-;722,35;-;-;394,36;394,36;45;3,2;-;-
"110004 CACOAL";1090;1090;739106,68;581009,67;-;-;158097,01;-;-;678,08;678,08;5203;4,8;43;3,94
"110005 CEREJEIRAS";96;96;41989,53;33207,40;-;-;8782,13;-;-;437,39;437,39;310;3,2;-;-
"110006 COLORADO DO OESTE";35;35;13566,47;12022,42;-;-;1544,05;-;-;387,61;387,61;134;3,8;-;-
"110008 COSTA MARQUES";37;37;12706,74;10570,01;-;-;2136,73;-;-;343,43;343,43;98;2,6;1;2,70
"110009 ESPIGAO D'OESTE";146;146;47849,69;40781,25;-;-;7068,44;-;-;327,74;327,74;334;2,3;1;0,68
"110010 GUAJARA-MIRIM";299;299;122225,92;94856,24;-;-;27369,68;-;-;408,78;408,78;819;2,7;1;0,33
"110011 JARU";297;297;152329,80;106889,25;-;-;45440,55;-;-;512,89;512,89;749;2,5;1;0,34
"110012 JI-PARANA";720;720;544086,89;452877,90;-;-;91208,99;-;-;755,68;755,68;2239;3,1;20;2,78
"110013 MACHADINHO D'OESTE";138;138;61843,15;45680,27;-;-;16162,88;-;-;448,14;448,14;413;3,0;2;1,45
"110014 NOVA BRASILANDIA D'OESTE";102;102;39636,06;30799,75;-;-;8836,31;-;-;388,59;388,59;296;2,9;3;2,94
"110015 OURO PRETO DO OESTE";224;224;147515,38;101629,00;-;-;45886,38;-;-;658,55;658,55;388;1,7;-;-
"110018 PIMENTA BUENO";327;327;162559,07;126129,53;-;-;36429,54;-;-;497,12;497,12;608;1,9;4;1,22
"110020 PORTO VELHO";4470;4470;6450720,03;5350748,28;-;-;1099971,75;-;-;1443,11;1443,11;28048;6,3;169;3,78
"110025 PRESIDENTE MEDICI";64;64;33677,23;23731,08;-;-;9946,15;-;-;526,21;526,21;190;3,0;2;3,13
"110028 ROLIM DE MOURA";260;260;108017,35;74096,54;-;-;33920,81;-;-;415,45;415,45;663;2,5;2;0,77
"110029 SANTA LUZIA D'OESTE";60;60;21182,55;18370,59;-;-;2811,96;-;-;353,04;353,04;249;4,2;1;1,67
"110030 VILHENA";735;735;641561,60;498750,14;-;-;142811,46;-;-;872,87;872,87;3027;4,1;19;2,59
"110032 SAO MIGUEL DO GUAPORE";122;122;53730,44;41658,24;-;-;12072,20;-;-;440,41;440,41;257;2,1;1;0,82
"110033 NOVA MAMORE";108;108;40274,15;31054,63;-;-;9219,52;-;-;372,91;372,91;321;3,0;1;0,93
"110034 ALVORADA D'OESTE";63;63;20697,13;15663,50;-;-;5033,63;-;-;328,53;328,53;172;2,7;-;-
"110037 ALTO ALEGRE DOS PARECIS";44;44;14316,04;12250,72;-;-;2065,32;-;-;325,36;325,36;137;3,1;-;-
"110040 ALTO PARAISO";25;25;7504,24;6424,34;-;-;1079,90;-;-;300,17;300,17;71;2,8;1;4,00
"110045 BURITIS";140;140;60794,17;48355,08;-;-;12439,09;-;-;434,24;434,24;411;2,9;6;4,29
"110050 NOVO HORIZONTE DO OESTE";41;41;12737,51;11134,12;-;-;1603,39;-;-;310,67;310,67;146;3,6;-;-
"110060 CACAULANDIA";6;6;2986,15;2638,50;-;-;347,65;-;-;497,69;497,69;27;4,5;-;-
"110070 CAMPO NOVO DE RONDONIA";23;23;8134,62;7008,89;-;-;1125,73;-;-;353,68;353,68;47;2,0;-;-
"110094 CUJUBIM";27;27;9924,91;8381,24;-;-;1543,67;-;-;367,59;367,59;-;-;2;7,41
"110100 GOVERNADOR JORGE TEIXEIRA";10;10;3698,72;3215,00;-;-;483,72;-;-;369,87;369,87;27;2,7;-;-
"110120 MINISTRO ANDREAZZA";20;20;8215,26;7362,35;-;-;852,91;-;-;410,76;410,76;54;2,7;1;5,00
"110130 MIRANTE DA SERRA";60;60;30433,86;26856,65;-;-;3577,21;-;-;507,23;507,23;216;3,6;-;-
"110140 MONTE NEGRO";46;46;24686,05;18823,02;-;-;5863,03;-;-;536,65;536,65;168;3,7;2;4,35
"110143 NOVA UNIAO";6;6;1342,11;1105,85;-;-;236,26;-;-;223,68;223,68;28;4,7;-;-
"110145 PARECIS";18;18;6714,90;5812,92;-;-;901,98;-;-;373,05;373,05;26;1,4;1;5,56
"110146 PIMENTEIRAS DO OESTE";4;4;824,77;540,59;-;-;284,18;-;-;206,19;206,19;3;0,8;-;-
"110149 SAO FRANCISCO DO GUAPORE";49;49;27406,72;20081,57;-;-;7325,15;-;-;559,32;559,32;103;2,1;-;-
"110150 SERINGUEIRAS";93;93;47532,07;34720,52;-;-;12811,55;-;-;511,10;511,10;273;2,9;-;-
"110155 TEIXEIROPOLIS";1;1;75,31;61,10;-;-;14,21;-;-;75,31;75,31;1;1,0;-;-
"110160 THEOBROMA";3;3;765,33;639,43;-;-;125,90;-;-;255,11;255,11;13;4,3;-;-
"110170 URUPA";39;39;24985,69;18907,88;-;-;6077,81;-;-;640,66;640,66;60;1,5;-;-
"110175 VALE DO ANARI";7;7;2907,12;2492,10;-;-;415,02;-;-;415,30;415,30;25;3,6;-;-
"110180 VALE DO PARAISO";7;7;2451,83;2087,24;-;-;364,59;-;-;350,26;350,26;44;6,3;-;-
"120001 ACRELANDIA";9;9;2698,13;1939,89;-;-;758,24;-;-;299,79;299,79;16;1,8;-;-
"120010 BRASILEIA";211;211;82441,64;61991,60;-;-;20450,04;-;-;390,72;390,72;948;4,5;4;1,90
"120020 CRUZEIRO DO SUL";440;440;207044,67;162321,02;-;-;44723,65;-;-;470,56;470,56;1861;4,2;23;5,23
"120030 FEIJO";40;40;16848,38;11595,09;-;-;5253,29;-;-;421,21;421,21;156;3,9;-;-
"120033 MANCIO LIMA";45;45;15413,74;13244,97;-;-;2168,77;-;-;342,53;342,53;147;3,3;-;-
"120034 MANOEL URBANO";20;20;5017,91;3825,56;-;-;1192,35;-;-;250,90;250,90;45;2,3;1;5,00
"120035 MARECHAL THAUMATURGO";46;46;8837,62;6851,94;-;-;1985,68;-;-;192,12;192,12;61;1,3;-;-
"120038 PLACIDO DE CASTRO";18;18;5034,62;4285,73;-;-;748,89;-;-;279,70;279,70;52;2,9;-;-
"120040 RIO BRANCO";2352;2352;2820387,44;2099024,25;-;-;721363,19;-;-;1199,14;1199,14;13382;5,7;77;3,27
"120042 RODRIGUES ALVES";73;73;21104,97;18131,03;-;-;2973,94;-;-;289,11;289,11;321;4,4;-;-
"120043 SANTA ROSA DO PURUS";7;7;2323,96;1546,39;-;-;777,57;-;-;331,99;331,99;9;1,3;-;-
"120045 SENADOR GUIOMARD";39;39;14814,37;12688,84;-;-;2125,53;-;-;379,86;379,86;170;4,4;-;-
"120050 SENA MADUREIRA";103;103;33425,19;26622,88;-;-;6802,31;-;-;324,52;324,52;267;2,6;2;1,94
"120060 TARAUACA";142;142;58793,17;44343,50;-;-;14449,67;-;-;414,04;414,04;319;2,2;2;1,41
"120070 XAPURI";52;52;16107,49;14012,96;-;-;2094,53;-;-;309,76;309,76;166;3,2;1;1,92
"130002 ALVARAES";54;54;20360,11;15418,68;-;-;4941,43;-;-;377,04;377,04;177;3,3;-;-
"130006 AMATURA";32;32;17742,12;12503,97;-;-;5238,15;-;-;554,44;554,44;83;2,6;1;3,13
"130008 ANAMA";57;57;16938,11;13860,03;-;-;3078,08;-;-;297,16;297,16;165;2,9;-;-
"130010 ANORI";26;26;9981,01;7250,09;-;-;2730,92;-;-;383,88;383,88;67;2,6;-;-
"130014 APUI";94;94;43538,22;32228,58;-;-;11309,64;-;-;463,17;463,17;422;4,5;-;-
"130020 ATALAIA DO NORTE";30;30;9756,63;7575,89;-;-;2180,74;-;-;325,22;325,22;44;1,5;-;-
"130030 AUTAZES";82;82;41816,26;24751,18;-;-;17065,08;-;-;509,95;509,95;148;1,8;-;-
"130040 BARCELOS";100;100;37172,12;27949,30;-;-;9222,82;-;-;371,72;371,72;323;3,2;3;3,00
"130050 BARREIRINHA";118;118;54275,37;37893,98;-;-;16381,39;-;-;459,96;459,96;319;2,7;1;0,85
"130060 BENJAMIN CONSTANT";97;97;35291,02;25517,46;-;-;9773,56;-;-;363,82;363,82;259;2,7;2;2,06
"130063 BERURI";65;65;25475,49;17466,74;-;-;8008,75;-;-;391,93;391,93;175;2,7;2;3,08
"130068 BOA VISTA DO RAMOS";53;53;19411,43;15300,28;-;-;4111,15;-;-;366,25;366,25;141;2,7;-;-
"130070 BOCA DO ACRE";117;117;50830,20;36689,26;-;-;14140,94;-;-;434,45;434,45;365;3,1;-;-
"130080 BORBA";236;236;107021,18;78327,23;-;-;28693,95;-;-;453,48;453,48;513;2,2;-;-
"130083 CAAPIRANGA";39;39;14246,28;11005,71;-;-;3240,57;-;-;365,29;365,29;140;3,6;-;-
"130090 CANUTAMA";29;29;11072,26;8584,96;-;-;2487,30;-;-;381,80;381,80;82;2,8;-;-
"130100 CARAUARI";96;96;60457,99;44415,54;-;-;16042,45;-;-;629,77;629,77;314;3,3;2;2,08
"130110 CAREIRO";78;78;32509,33;22739,30;-;-;9770,03;-;-;416,79;416,79;175;2,2;-;-
"130115 CAREIRO DA VARZEA";7;7;1646,84;1418,11;-;-;228,73;-;-;235,26;235,26;19;2,7;-;-
"130120 COARI";254;254;144987,49;99609,89;-;-;45377,60;-;-;570,82;570,82;718;2,8;4;1,57
"130130 CODAJAS";142;142;54929,45;40003,60;-;-;14925,85;-;-;386,83;386,83;329;2,3;2;1,41
"130140 EIRUNEPE";20;20;6225,02;5464,30;-;-;760,72;-;-;311,25;311,25;107;5,3;1;5,00
"130150 ENVIRA";64;64;29817,33;22530,44;-;-;7286,89;-;-;465,90;465,90;159;2,5;1;1,56
"130160 FONTE BOA";102;102;48087,74;34856,29;-;-;13231,45;-;-;471,45;471,45;229;2,2;3;2,94
"130165 GUAJARA";41;41;13943,82;12066,33;-;-;1877,49;-;-;340,09;340,09;249;6,1;-;-
"130170 HUMAITA";237;237;125574,95;88736,31;-;-;36838,64;-;-;529,85;529,85;742;3,1;6;2,53
"130180 IPIXUNA";106;106;50880,32;38836,88;-;-;12043,44;-;-;480,00;480,00;239;2,3;-;-
"130185 IRANDUBA";14;14;6120,27;5442,07;-;-;678,20;-;-;437,16;437,16;145;10,4;1;7,14
"130190 ITACOATIARA";447;447;253306,36;169291,09;-;-;84015,27;-;-;566,68;566,68;1354;3,0;8;1,79
"130195 ITAMARATI";57;57;17360,61;12607,22;-;-;4753,39;-;-;304,57;304,57;151;2,6;-;-
"130200 ITAPIRANGA";26;26;13669,11;10650,90;-;-;3018,21;-;-;525,74;525,74;68;2,6;-;-
"130210 JAPURA";22;22;7228,74;5129,70;-;-;2099,04;-;-;328,58;328,58;46;2,1;-;-
"130230 JUTAI";129;129;47189,17;35326,17;-;-;11863,00;-;-;365,81;365,81;232;1,8;-;-
"130240 LABREA";147;147;74005,07;51322,74;-;-;22682,33;-;-;503,44;503,44;495;3,4;3;2,04
"130250 MANACAPURU";495;495;264633,67;193133,72;-;-;71499,95;-;-;534,61;534,61;1194;2,4;9;1,82
"130255 MANAQUIRI";64;64;27653,09;21775,38;-;-;5877,71;-;-;432,08;432,08;180;2,8;-;-
"130260 MANAUS";12155;12155;19909797,47;15938467,41;-;-;3971330,06;-;-;1637,99;1637,99;77336;6,4;588;4,84
"130270 MANICORE";128;128;70809,73;46419,71;-;-;24390,02;-;-;553,20;553,20;279;2,2;5;3,91
"130280 MARAA";143;143;57057,07;41201,65;-;-;15855,42;-;-;399,00;399,00;374;2,6;1;0,70
"130290 MAUES";295;295;164781,68;113459,88;-;-;51321,80;-;-;558,58;558,58;835;2,8;9;3,05
"130310 NOVA OLINDA DO NORTE";153;153;77719,67;53795,25;-;-;23924,42;-;-;507,97;507,97;367;2,4;-;-
"130320 NOVO AIRAO";82;82;41277,88;31361,28;-;-;9916,60;-;-;503,39;503,39;157;1,9;-;-
