Per�odo:Jul/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";169;169;51620,61;44276,46;-;-;7344,15;-;-;305,45;305,45;432;2,6;1;0,59
"110002 ARIQUEMES";590;590;517816,60;418187,01;-;-;99629,59;-;-;877,66;877,66;1993;3,4;22;3,73
"110003 CABIXI";15;15;6247,00;5276,17;-;-;970,83;-;-;416,47;416,47;40;2,7;-;-
"110004 CACOAL";732;732;685349,44;549498,11;-;-;135851,33;-;-;936,27;936,27;3412;4,7;32;4,37
"110005 CEREJEIRAS";97;97;38674,95;32317,43;-;-;6357,52;-;-;398,71;398,71;291;3,0;1;1,03
"110006 COLORADO DO OESTE";40;40;24211,42;21646,12;-;-;2565,30;-;-;605,29;605,29;215;5,4;4;10,00
"110008 COSTA MARQUES";26;26;9499,47;8318,54;-;-;1180,93;-;-;365,36;365,36;67;2,6;-;-
"110009 ESPIGAO D'OESTE";157;157;54426,23;46081,66;-;-;8344,57;-;-;346,66;346,66;309;2,0;1;0,64
"110010 GUAJARA-MIRIM";300;300;126709,73;97608,91;-;-;29100,82;-;-;422,37;422,37;949;3,2;1;0,33
"110011 JARU";278;278;120957,37;87676,51;-;-;33280,86;-;-;435,10;435,10;855;3,1;7;2,52
"110012 JI-PARANA";910;910;994865,74;847972,79;-;-;146892,95;-;-;1093,26;1093,26;3363;3,7;46;5,05
"110013 MACHADINHO D'OESTE";172;172;69943,21;52545,62;-;-;17397,59;-;-;406,65;406,65;493;2,9;2;1,16
"110014 NOVA BRASILANDIA D'OESTE";109;109;41454,75;33294,23;-;-;8160,52;-;-;380,32;380,32;402;3,7;1;0,92
"110015 OURO PRETO DO OESTE";252;252;135876,71;100236,58;-;-;35640,13;-;-;539,19;539,19;599;2,4;7;2,78
"110018 PIMENTA BUENO";369;369;143787,13;114863,84;-;-;28923,29;-;-;389,67;389,67;629;1,7;2;0,54
"110020 PORTO VELHO";3429;3429;5744592,02;4728308,22;-;-;1016283,80;-;-;1675,30;1675,30;23188;6,8;173;5,05
