Per�odo:Fev/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";110;110;57976,15;48093,92;-;-;9882,23;-;-;527,06;527,06;272;2,5;1;0,91
"110002 ARIQUEMES";458;458;859525,47;696886,75;14000,70;-;141016,59;7621,43;-;1876,69;1876,69;1399;3,1;25;5,46
"110003 CABIXI";9;9;6233,24;5229,90;-;-;1003,34;-;-;692,58;692,58;36;4,0;1;11,11
"110004 CACOAL";1416;1416;1709647,84;1409694,39;-;-;299953,45;-;-;1207,38;1207,38;8563;6,0;81;5,72
"110005 CEREJEIRAS";58;58;28147,23;23165,48;-;-;4981,75;-;-;485,30;485,30;190;3,3;2;3,45
"110006 COLORADO DO OESTE";33;33;26436,77;23609,73;-;-;2827,04;-;-;801,11;801,11;153;4,6;-;-
"110008 COSTA MARQUES";30;30;11794,11;10378,44;-;-;1415,67;-;-;393,14;393,14;59;2,0;-;-
"110009 ESPIGAO D'OESTE";129;129;63474,38;51832,23;-;-;11642,15;-;-;492,05;492,05;305;2,4;4;3,10
"110010 GUAJARA-MIRIM";244;244;120008,58;90363,08;-;-;29645,50;-;-;491,84;491,84;768;3,1;6;2,46
"110011 JARU";220;220;236214,92;188911,14;-;-;47303,78;-;-;1073,70;1073,70;738;3,4;6;2,73
"110012 JI-PARANA";739;739;1271379,70;1083698,23;-;-;187681,47;-;-;1720,41;1720,41;5744;7,8;62;8,39
"110013 MACHADINHO D'OESTE";99;99;55639,25;42281,33;-;-;13357,92;-;-;562,01;562,01;257;2,6;4;4,04
"110014 NOVA BRASILANDIA D'OESTE";52;52;29532,70;23253,29;-;-;6279,41;-;-;567,94;567,94;165;3,2;1;1,92
"110015 OURO PRETO DO OESTE";201;201;129143,47;100855,52;-;-;28287,95;-;-;642,50;642,50;493;2,5;6;2,99
"110018 PIMENTA BUENO";237;237;122240,70;100202,51;-;-;22038,19;-;-;515,78;515,78;489;2,1;7;2,95
"110020 PORTO VELHO";3792;3792;6051957,61;5056256,24;-;-;995701,37;-;-;1595,98;1595,98;23559;6,2;163;4,30
"110025 PRESIDENTE MEDICI";21;21;12310,56;9732,87;-;-;2577,69;-;-;586,22;586,22;74;3,5;-;-
"110028 ROLIM DE MOURA";240;240;129072,61;91762,46;-;-;37310,15;-;-;537,80;537,80;482;2,0;9;3,75
"110029 SANTA LUZIA D'OESTE";35;35;22298,82;18380,68;-;-;3918,14;-;-;637,11;637,11;131;3,7;1;2,86
"110030 VILHENA";656;656;1064915,86;862679,78;-;-;202236,08;-;-;1623,35;1623,35;2914;4,4;52;7,93
"110032 SAO MIGUEL DO GUAPORE";145;145;82543,38;65043,66;-;-;17499,72;-;-;569,26;569,26;344;2,4;4;2,76
"110033 NOVA MAMORE";85;85;57813,94;44797,15;-;-;13016,79;-;-;680,16;680,16;286;3,4;2;2,35
"110034 ALVORADA D'OESTE";47;47;13662,98;10873,89;-;-;2789,09;-;-;290,70;290,70;139;3,0;-;-
"110037 ALTO ALEGRE DOS PARECIS";53;53;27602,92;23088,53;-;-;4514,39;-;-;520,81;520,81;160;3,0;-;-
"110040 ALTO PARAISO";16;16;11707,01;9678,09;-;-;2028,92;-;-;731,69;731,69;31;1,9;-;-
"110045 BURITIS";80;80;43599,23;35380,03;-;-;8219,20;-;-;544,99;544,99;233;2,9;6;7,50
"110050 NOVO HORIZONTE DO OESTE";39;39;31179,24;25521,74;-;-;5657,50;-;-;799,47;799,47;128;3,3;-;-
"110060 CACAULANDIA";7;7;4535,59;3702,06;-;-;833,53;-;-;647,94;647,94;18;2,6;-;-
"110070 CAMPO NOVO DE RONDONIA";2;2;506,86;418,22;-;-;88,64;-;-;253,43;253,43;2;1,0;1;50,00
"110094 CUJUBIM";50;50;30729,09;25307,01;-;-;5422,08;-;-;614,58;614,58;-;-;3;6,00
"110110 ITAPUA DO OESTE";4;4;1104,22;934,33;-;-;169,89;-;-;276,05;276,05;6;1,5;-;-
"110120 MINISTRO ANDREAZZA";3;3;936,32;769,67;-;-;166,65;-;-;312,11;312,11;8;2,7;-;-
"110130 MIRANTE DA SERRA";25;25;10565,47;9099,64;-;-;1465,83;-;-;422,62;422,62;119;4,8;-;-
"110140 MONTE NEGRO";17;17;12188,57;10254,88;-;-;1933,69;-;-;716,97;716,97;82;4,8;3;17,65
"110143 NOVA UNIAO";8;8;3382,21;2897,84;-;-;484,37;-;-;422,78;422,78;23;2,9;-;-
"110145 PARECIS";5;5;221,10;166,70;-;-;54,40;-;-;44,22;44,22;3;0,6;-;-
"110146 PIMENTEIRAS DO OESTE";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"110149 SAO FRANCISCO DO GUAPORE";63;63;32406,04;23746,36;-;-;8659,68;-;-;514,38;514,38;130;2,1;1;1,59
"110150 SERINGUEIRAS";79;79;30826,40;22416,02;-;-;8410,38;-;-;390,21;390,21;189;2,4;1;1,27
"110155 TEIXEIROPOLIS";4;4;2163,65;1868,90;-;-;294,75;-;-;540,91;540,91;11;2,8;-;-
"110160 THEOBROMA";6;6;2972,43;2626,05;-;-;346,38;-;-;495,40;495,40;24;4,0;-;-
"110170 URUPA";38;38;17923,94;14091,35;-;-;3832,59;-;-;471,68;471,68;97;2,6;-;-
"110175 VALE DO ANARI";7;7;1736,16;1511,01;-;-;225,15;-;-;248,02;248,02;29;4,1;-;-
"110180 VALE DO PARAISO";9;9;2084,93;1792,20;-;-;292,73;-;-;231,66;231,66;49;5,4;-;-
"120005 ASSIS BRASIL";29;29;9835,74;7607,17;-;-;2228,57;-;-;339,16;339,16;68;2,3;-;-
"120010 BRASILEIA";177;177;75157,20;56368,83;-;-;18788,37;-;-;424,62;424,62;674;3,8;4;2,26
"120020 CRUZEIRO DO SUL";729;729;452843,00;350358,09;-;-;102484,91;-;-;621,18;621,18;2919;4,0;25;3,43
"120030 FEIJO";58;58;25679,08;18575,43;-;-;7103,65;-;-;442,74;442,74;134;2,3;-;-
"120033 MANCIO LIMA";55;55;23280,84;20231,15;-;-;3049,69;-;-;423,29;423,29;212;3,9;-;-
"120034 MANOEL URBANO";18;18;5317,21;3964,08;-;-;1353,13;-;-;295,40;295,40;52;2,9;-;-
"120035 MARECHAL THAUMATURGO";19;19;2979,49;2064,91;-;-;914,58;-;-;156,82;156,82;39;2,1;-;-
"120038 PLACIDO DE CASTRO";74;74;22721,11;19051,30;-;-;3669,81;-;-;307,04;307,04;183;2,5;2;2,70
"120039 PORTO WALTER";5;5;2533,00;1378,00;-;-;1155,00;-;-;506,60;506,60;6;1,2;-;-
"120040 RIO BRANCO";2109;2109;2628190,47;2040321,36;-;-;587869,11;-;-;1246,18;1246,18;13069;6,2;159;7,54
"120042 RODRIGUES ALVES";9;9;2769,63;2299,51;-;-;470,12;-;-;307,74;307,74;13;1,4;-;-
"120043 SANTA ROSA DO PURUS";12;12;4782,02;3583,27;-;-;1198,75;-;-;398,50;398,50;24;2,0;-;-
"120045 SENADOR GUIOMARD";31;31;11513,08;9825,11;-;-;1687,97;-;-;371,39;371,39;133;4,3;1;3,23
"120050 SENA MADUREIRA";183;183;78630,63;61999,94;-;-;16630,69;-;-;429,68;429,68;629;3,4;-;-
"120060 TARAUACA";122;122;51949,00;38259,95;-;-;13689,05;-;-;425,81;425,81;275;2,3;2;1,64
"120070 XAPURI";73;73;26156,26;22034,08;-;-;4122,18;-;-;358,30;358,30;313;4,3;-;-
"130006 AMATURA";25;25;10702,89;8345,69;-;-;2357,20;-;-;428,12;428,12;72;2,9;-;-
"130010 ANORI";46;46;20819,10;15635,57;-;-;5183,53;-;-;452,59;452,59;129;2,8;-;-
"130014 APUI";84;84;39517,19;29863,56;-;-;9653,63;-;-;470,44;470,44;294;3,5;2;2,38
"130020 ATALAIA DO NORTE";26;26;8643,27;6445,82;-;-;2197,45;-;-;332,43;332,43;52;2,0;1;3,85
"130030 AUTAZES";80;80;39325,76;25196,21;-;-;14129,55;-;-;491,57;491,57;150;1,9;1;1,25
"130040 BARCELOS";91;91;35912,71;27590,95;-;-;8321,76;-;-;394,65;394,65;303;3,3;1;1,10
