Per�odo:Jun/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211400 ZE DOCA";305;305;134166,24;102015,33;-;-;32150,91;-;-;439,89;439,89;1071;3,5;4;1,31
"220010 AGRICOLANDIA";9;9;1341,84;1136,60;-;-;205,24;-;-;149,09;149,09;13;1,4;-;-
"220020 AGUA BRANCA";69;69;32263,37;26724,76;-;-;5538,61;-;-;467,59;467,59;245;3,6;3;4,35
"220040 ALTOS";115;115;56742,55;48308,70;-;-;8433,85;-;-;493,41;493,41;441;3,8;4;3,48
"220050 AMARANTE";136;136;43878,93;36404,42;-;-;7474,51;-;-;322,64;322,64;329;2,4;3;2,21
"220100 ARRAIAL";9;9;2522,22;2112,73;-;-;409,49;-;-;280,25;280,25;22;2,4;-;-
"220120 BARRAS";159;159;81856,46;62481,83;-;-;19374,63;-;-;514,82;514,82;571;3,6;6;3,77
"220150 BATALHA";88;88;36154,92;31213,81;-;-;4941,11;-;-;410,85;410,85;226;2,6;1;1,14
"220160 BENEDITINOS";10;10;5022,01;4062,09;-;-;959,92;-;-;502,20;502,20;40;4,0;-;-
"220190 BOM JESUS";391;391;228654,04;175095,61;-;-;53558,43;-;-;584,79;584,79;1188;3,0;9;2,30
"220220 CAMPO MAIOR";307;307;139568,11;98410,35;-;-;41157,76;-;-;454,62;454,62;1174;3,8;8;2,61
"220230 CANTO DO BURITI";150;150;63582,27;52295,60;-;-;11286,67;-;-;423,88;423,88;409;2,7;-;-
"220260 CASTELO DO PIAUI";37;37;18008,81;15467,19;-;-;2541,62;-;-;486,72;486,72;163;4,4;-;-
"220270 COCAL";48;48;17988,38;15379,55;-;-;2608,83;-;-;374,76;374,76;97;2,0;1;2,08
"220290 CORRENTE";102;102;48403,17;33716,99;-;-;14686,18;-;-;474,54;474,54;374;3,7;7;6,86
"220310 CRISTINO CASTRO";56;56;40024,03;36314,88;-;-;3709,15;-;-;714,71;714,71;168;3,0;-;-
"220320 CURIMATA";93;93;45885,98;38119,86;-;-;7766,12;-;-;493,40;493,40;360;3,9;1;1,08
"220330 DEMERVAL LOBAO";99;99;59808,36;46952,82;-;-;12855,54;-;-;604,12;604,12;303;3,1;-;-
"220350 ELESBAO VELOSO";70;70;26519,53;22690,50;-;-;3829,03;-;-;378,85;378,85;220;3,1;-;-
"220370 ESPERANTINA";350;350;179839,43;129634,06;-;-;50205,37;-;-;513,83;513,83;816;2,3;-;-
"220390 FLORIANO";996;996;936066,70;738274,79;-;-;197791,91;-;-;939,83;939,83;4773;4,8;35;3,51
"220430 FRONTEIRAS";187;187;124402,26;111198,66;-;-;13203,60;-;-;665,25;665,25;642;3,4;-;-
"220450 GUADALUPE";63;63;24943,58;20367,06;-;-;4576,52;-;-;395,93;395,93;219;3,5;2;3,17
"220470 INHUMA";23;23;8718,68;7559,62;-;-;1159,06;-;-;379,07;379,07;101;4,4;2;8,70
"220480 IPIRANGA DO PIAUI";8;8;2540,86;2033,56;-;-;507,30;-;-;317,61;317,61;16;2,0;-;-
"220510 ITAUEIRA";51;51;22026,52;17023,45;-;-;5003,07;-;-;431,89;431,89;146;2,9;-;-
"220520 JAICOS";131;131;48255,60;39114,00;-;-;9141,60;-;-;368,36;368,36;273;2,1;-;-
