Período:Ago/2011,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
150304 FLORESTA DO ARAGUAIA,108,108,"51335,58","43155,92",-,-,"8179,66",-,-,"475,33","475,33",296,"2,7",-,-
150309 GOIANESIA DO PARA,249,249,"107007,07","80989,46",-,-,"26017,61",-,-,"429,75","429,75",595,"2,4",-,-
150310 GURUPA,127,127,"44506,25","34008,61",-,-,"10497,64",-,-,"350,44","350,44",240,"1,9",-,-
150320 IGARAPE-ACU,120,120,"42492,83",33269,-,-,"9223,83",-,-,"354,11","354,11",403,"3,4",1,"0,83"
150330 IGARAPE-MIRI,268,268,"104133,52","76714,9",-,-,"27418,62",-,-,"388,56","388,56",640,"2,4",-,-
150340 INHANGAPI,49,49,"14579,11",12802,-,-,"1777,11",-,-,"297,53","297,53",160,"3,3",-,-
150345 IPIXUNA DO PARA,187,187,"73060,59","58160,96",-,-,"14899,63",-,-,"390,7","390,7",469,"2,5",-,-
150350 IRITUIA,114,114,"39909,48","35077,25",-,-,"4832,23",-,-,"350,08","350,08",299,"2,6",-,-
150360 ITAITUBA,623,623,"271257,71","197601,99",-,-,"73655,72",-,-,"435,41","435,41",1617,"2,6",7,"1,12"
150370 ITUPIRANGA,118,118,"44537,71","32280,54",-,-,"12257,17",-,-,"377,44","377,44",218,"1,8",-,-
150380 JACUNDA,408,408,"151899,9","123880,9",-,-,28019,-,-,"372,3","372,3",883,"2,2",-,-
150390 JURUTI,98,98,"47323,06","31490,51",-,-,"15832,55",-,-,"482,89","482,89",190,"1,9",-,-
150400 LIMOEIRO DO AJURU,153,153,"46645,38","37690,64",-,-,"8954,74",-,-,"304,87","304,87",342,"2,2",-,-
150405 MAE DO RIO,273,273,"116963,88","90437,83",-,-,"26526,05",-,-,"428,44","428,44",679,"2,5",-,-
150420 MARABA,1168,1168,"1016276,29","795773,07",-,-,"220503,22",-,-,"870,1","870,1",4222,"3,6",28,"2,4"
150430 MARACANA,68,68,"24724,7","18394,69",-,-,"6330,01",-,-,"363,6","363,6",192,"2,8",-,-
150440 MARAPANIM,71,71,"21223,29","18371,66",-,-,"2851,63",-,-,"298,92","298,92",144,2,-,-
150442 MARITUBA,495,495,"395284,05","286661,32",-,-,"108622,73",-,-,"798,55","798,55",1823,"3,7",9,"1,82"
150445 MEDICILANDIA,134,134,"53142,79","41709,69",-,-,"11433,1",-,-,"396,59","396,59",258,"1,9",-,-
150450 MELGACO,111,111,"37187,85","30006,57",-,-,"7181,28",-,-,"335,03","335,03",279,"2,5",-,-
150460 MOCAJUBA,151,151,"71932,12","54152,98",-,-,"17779,14",-,-,"476,37","476,37",508,"3,4",-,-
150470 MOJU,267,267,"111285,81","82689,23",-,-,"28596,58",-,-,"416,8","416,8",746,"2,8",1,"0,37"
150480 MONTE ALEGRE,352,352,"135912,77","105031,94",-,-,"30880,83",-,-,"386,12","386,12",1191,"3,4",5,"1,42"
150490 MUANA,92,92,"37552,74","28648,88",-,-,"8903,86",-,-,"408,18","408,18",270,"2,9",-,-
150495 NOVA ESPERANCA DO PIRIA,8,8,"3460,7","2190,6",-,-,"1270,1",-,-,"432,59","432,59",11,"1,4",-,-
150503 NOVO PROGRESSO,221,221,"70922,52","55395,88",-,-,"15526,64",-,-,"320,92","320,92",411,"1,9",3,"1,36"
150506 NOVO REPARTIMENTO,172,172,"72849,3","56179,83",-,-,"16669,47",-,-,"423,54","423,54",470,"2,7",-,-
150510 OBIDOS,315,315,"125315,47","95567,31",-,-,"29748,16",-,-,"397,83","397,83",904,"2,9",1,"0,32"
150520 OEIRAS DO PARA,141,141,"56911,96","43981,49",-,-,"12930,47",-,-,"403,63","403,63",261,"1,9",1,"0,71"
150530 ORIXIMINA,130,130,"60396,68","46032,28",-,-,"14364,4",-,-,"464,59","464,59",404,"3,1",3,"2,31"
150540 OUREM,109,109,"38590,41","29959,31",-,-,"8631,1",-,-,"354,04","354,04",300,"2,8",-,-
150543 OURILANDIA DO NORTE,197,197,"92108,94","75548,46",-,-,"16560,48",-,-,"467,56","467,56",525,"2,7",-,-
150548 PACAJA,203,203,"82264,59","58158,64",-,-,"24105,95",-,-,"405,24","405,24",416,2,-,-
150549 PALESTINA DO PARA,29,29,"9419,09","6742,36",-,-,"2676,73",-,-,"324,8","324,8",76,"2,6",-,-
150550 PARAGOMINAS,465,465,"221645,92","146283,62",-,-,"75362,3",-,-,"476,66","476,66",1092,"2,3",1,"0,22"
150553 PARAUAPEBAS,542,542,"282387,86","183652,29",-,-,"98735,57",-,-,"521,01","521,01",1662,"3,1",15,"2,77"
150555 PAU D'ARCO,83,83,"30633,9","23938,98",-,-,"6694,92",-,-,"369,08","369,08",248,3,-,-
150563 PICARRA,60,60,16590,"13902,11",-,-,"2687,89",-,-,"276,5","276,5",128,"2,1",-,-
150565 PLACAS,112,112,"41364,32","32944,02",-,-,"8420,3",-,-,"369,32","369,32",358,"3,2",1,"0,89"
150580 PORTEL,167,167,"72726,65","50763,33",-,-,"21963,32",-,-,"435,49","435,49",336,2,-,-
150590 PORTO DE MOZ,219,219,"76580,17","60319,38",-,-,"16260,79",-,-,"349,68","349,68",624,"2,8",-,-
150600 PRAINHA,98,98,"32452,99","25003,9",-,-,"7449,09",-,-,"331,15","331,15",220,"2,2",-,-
150613 REDENCAO,766,766,"727143,17","580255,92",-,-,"146887,25",-,-,"949,27","949,27",3649,"4,8",27,"3,52"
150616 RIO MARIA,170,170,"66298,7","52617,22",-,-,"13681,48",-,-,"389,99","389,99",368,"2,2",-,-
150618 RONDON DO PARA,231,231,"75473,16","66221,2",-,-,"9251,96",-,-,"326,72","326,72",577,"2,5",-,-
150619 RUROPOLIS,119,119,"43453,11","34104,87",-,-,"9348,24",-,-,"365,15","365,15",378,"3,2",-,-
150620 SALINOPOLIS,363,363,"152770,39","109971,81",-,-,"42798,58",-,-,"420,86","420,86",888,"2,4",-,-
150630 SALVATERRA,103,103,"45281,67","37816,96",-,-,"7464,71",-,-,"439,63","439,63",240,"2,3",-,-
150640 SANTA CRUZ DO ARARI,25,25,"7259,22","5775,92",-,-,"1483,3",-,-,"290,37","290,37",67,"2,7",-,-
150650 SANTA IZABEL DO PARA,472,472,"165957,45","134263,27",-,-,"31694,18",-,-,"351,6","351,6",1362,"2,9",-,-
150658 SANTA MARIA DAS BARREIRAS,62,62,"16697,44","14428,66",-,-,"2268,78",-,-,"269,31","269,31",175,"2,8",-,-
150660 SANTA MARIA DO PARA,209,209,"77495,37","61297,49",-,-,"16197,88",-,-,"370,79","370,79",609,"2,9",1,"0,48"
150670 SANTANA DO ARAGUAIA,127,127,"48044,71","40972,49",-,-,"7072,22",-,-,"378,3","378,3",423,"3,3",-,-
150680 SANTAREM,1617,1617,"1280766,2","1005980,51",-,-,"274785,69",-,-,"792,06","792,06",7789,"4,8",50,"3,09"
150700 SANTO ANTONIO DO TAUA,184,184,"76975,68","64712,64",-,-,"12263,04",-,-,"418,35","418,35",587,"3,2",-,-
150715 SAO DOMINGOS DO ARAGUAIA,145,145,"55257,53","46695,28",-,-,"8562,25",-,-,"381,09","381,09",371,"2,6",-,-
150720 SAO DOMINGOS DO CAPIM,52,52,"17637,99","14754,54",-,-,"2883,45",-,-,"339,19","339,19",292,"5,6",-,-
150730 SAO FELIX DO XINGU,297,297,"115167,54","89910,47",-,-,"25257,07",-,-,"387,77","387,77",1098,"3,7",2,"0,67"
150745 SAO GERALDO DO ARAGUAIA,287,287,"107857,37","81184,16",-,-,"26673,21",-,-,"375,81","375,81",737,"2,6",3,"1,05"
150747 SAO JOAO DE PIRABAS,100,100,"31487,27","26109,48",-,-,"5377,79",-,-,"314,87","314,87",245,"2,5",-,-
150750 SAO JOAO DO ARAGUAIA,30,30,"10830,2","9203,38",-,-,"1626,82",-,-,"361,01","361,01",69,"2,3",-,-
150760 SAO MIGUEL DO GUAMA,186,186,"66883,05","52026,52",-,-,"14856,53",-,-,"359,59","359,59",526,"2,8",2,"1,08"
150770 SAO SEBASTIAO DA BOA VISTA,60,60,"20184,78","15169,6",-,-,"5015,18",-,-,"336,41","336,41",159,"2,6",-,-
150775 SAPUCAIA,31,31,"10959,31","9782,85",-,-,"1176,46",-,-,"353,53","353,53",103,"3,3",-,-
150780 SENADOR JOSE PORFIRIO,70,70,"24624,47","20881,49",-,-,"3742,98",-,-,"351,78","351,78",239,"3,4",-,-
150790 SOURE,164,164,"57503,49","45725,37",-,-,"11778,12",-,-,"350,63","350,63",375,"2,3",2,"1,22"
150795 TAILANDIA,227,227,"102048,94","68797,93",-,-,"33251,01",-,-,"449,55","449,55",501,"2,2",-,-
150800 TOME-ACU,220,220,"107172,98","68845,54",-,-,"38327,44",-,-,"487,15","487,15",579,"2,6",-,-
150803 TRACUATEUA,28,28,"10671,86","9195,97",-,-,"1475,89",-,-,"381,14","381,14",70,"2,5",-,-
150805 TRAIRAO,90,90,"28358,75","22208,32",-,-,"6150,43",-,-,"315,1","315,1",283,"3,1",-,-
150808 TUCUMA,196,196,"82908,53","65685,63",-,-,"17222,9",-,-,423,423,568,"2,9",-,-
150810 TUCURUI,641,641,"460800,04","323030,58",-,-,"137769,46",-,-,"718,88","718,88",3597,"5,6",20,"3,12"
150812 ULIANOPOLIS,313,313,"125735,08","104956,13",-,-,"20778,95",-,-,"401,71","401,71",742,"2,4",-,-
150815 URUARA,247,247,"85941,75","64220,01",-,-,"21721,74",-,-,"347,94","347,94",612,"2,5",1,"0,4"
150820 VIGIA,211,211,"86044,19","64119,14",-,-,"21925,05",-,-,"407,79","407,79",450,"2,1",-,-
150830 VISEU,250,250,"98326,62","80084,41",-,-,"18242,21",-,-,"393,31","393,31",587,"2,3",2,"0,8"
150835 VITORIA DO XINGU,44,44,"13043,39","11257,03",-,-,"1786,36",-,-,"296,44","296,44",92,"2,1",-,-
150840 XINGUARA,181,181,"68959,49","55413,57",-,-,"13545,92",-,-,"380,99","380,99",586,"3,2",-,-
160020 CALCOENE,46,46,"11407,37","9479,72",-,-,"1927,65",-,-,"247,99","247,99",103,"2,2",1,"2,17"
160027 LARANJAL DO JARI,337,337,"122179,88","89995,71",-,-,"32184,17",-,-,"362,55","362,55",1165,"3,5",2,"0,59"
160030 MACAPA,2151,2151,"1273898,41","918641,5",-,-,"355256,91",-,-,"592,24","592,24",11507,"5,3",47,"2,19"
160050 OIAPOQUE,56,56,"16944,77","10677,19",-,-,"6267,58",-,-,"302,59","302,59",88,"1,6",-,-
160053 PORTO GRANDE,36,36,"13199,1","9165,25",-,-,"4033,85",-,-,"366,64","366,64",77,"2,1",-,-
160060 SANTANA,456,456,"211190,67","148952,9",-,-,"62237,77",-,-,"463,14","463,14",1620,"3,6",3,"0,66"
170070 ALVORADA,1,1,"205,67","163,8",-,-,"41,87",-,-,"205,67","205,67",2,2,-,-
170100 ANANAS,46,46,"15416,12","12955,31",-,-,"2460,81",-,-,"335,13","335,13",104,"2,3",-,-
170200 ARAGUACU,89,89,"29150,83","24165,45",-,-,"4985,38",-,-,"327,54","327,54",246,"2,8",-,-
170210 ARAGUAINA,1844,1962,"2026995,71","1580849,67",-,-,"446146,04",-,-,"1033,13","1099,24",14121,"7,7",75,"4,07"
170220 ARAGUATINS,40,40,"15378,83","12590,94",-,-,"2787,89",-,-,"384,47","384,47",111,"2,8",-,-
170230 ARAPOEMA,53,53,"16669,52","13727,99",-,-,"2941,53",-,-,"314,52","314,52",87,"1,6",-,-
170240 ARRAIAS,110,110,"30645,64","23188,7",-,-,"7456,94",-,-,"278,6","278,6",283,"2,6",-,-
170255 AUGUSTINOPOLIS,801,801,"405704,81","294977,51",-,-,"110727,3",-,-,"506,5","506,5",2283,"2,9",15,"1,87"
170550 COLINAS DO TOCANTINS,231,231,"100957,04","76847,09",-,-,"24109,95",-,-,"437,04","437,04",611,"2,6",7,"3,03"
170610 CRISTALANDIA,15,15,"5297,97","4658,72",-,-,"639,25",-,-,"353,2","353,2",33,"2,2",-,-
170700 DIANOPOLIS,197,197,"107429,57","77802,39",-,-,"29627,18",-,-,"545,33","545,33",564,"2,9",1,"0,51"
170710 DIVINOPOLIS DO TOCANTINS,9,9,"2984,03","2578,84",-,-,"405,19",-,-,"331,56","331,56",22,"2,4",-,-
170730 DUERE,15,15,"4663,94","4052,09",-,-,"611,85",-,-,"310,93","310,93",37,"2,5",-,-
170765 FIGUEIROPOLIS,6,6,"2225,5","1848,39",-,-,"377,11",-,-,"370,92","370,92",14,"2,3",-,-
170820 FORMOSO DO ARAGUAIA,12,12,"4853,13","3818,53",-,-,"1034,6",-,-,"404,43","404,43",64,"5,3",-,-
170900 GOIATINS,83,83,"28104,46","22720,68",-,-,"5383,78",-,-,"338,61","338,61",154,"1,9",-,-
170930 GUARAI,205,205,"99340,01","74642,59",-,-,"24697,42",-,-,"484,59","484,59",659,"3,2",1,"0,49"
170950 GURUPI,687,687,"465913,83","355247,28",-,-,"110666,55",-,-,"678,19","678,19",2450,"3,6",27,"3,93"
171050 ITACAJA,31,31,"10313,04","7879,15",-,-,"2433,89",-,-,"332,68","332,68",73,"2,4",-,-
171320 MIRACEMA DO TOCANTINS,280,280,"128141,66","96207,56",-,-,"31934,1",-,-,"457,65","457,65",926,"3,3",3,"1,07"
171330 MIRANORTE,72,72,"30643,14","26985,83",-,-,"3657,31",-,-,"425,6","425,6",218,3,-,-
171360 MONTE DO CARMO,12,12,"3987,07","3483,69",-,-,"503,38",-,-,"332,26","332,26",109,"9,1",-,-
171420 NATIVIDADE,3,3,"1350,72","1057,07",-,-,"293,65",-,-,"450,24","450,24",8,"2,7",-,-
171430 NAZARE,31,31,"8065,59",6992,-,-,"1073,59",-,-,"260,18","260,18",82,"2,6",-,-
171575 PALMEIROPOLIS,19,19,"5256,57","4558,15",-,-,"698,42",-,-,"276,66","276,66",42,"2,2",-,-
171610 PARAISO DO TOCANTINS,374,374,"218761,28","146604,68",-,-,"72156,6",-,-,"584,92","584,92",1341,"3,6",3,"0,8"
171620 PARANA,11,11,"3937,33","3047,24",-,-,"890,09",-,-,"357,94","357,94",33,3,-,-
171650 PEDRO AFONSO,177,177,"67339,71","50698,31",-,-,"16641,4",-,-,"380,45","380,45",484,"2,7",1,"0,56"
171660 PEIXE,9,9,"3016,56","2506,19",-,-,"510,37",-,-,"335,17","335,17",28,"3,1",-,-
171670 COLMEIA,14,14,"4280,53","3766,23",-,-,"514,3",-,-,"305,75","305,75",22,"1,6",-,-
171750 PIUM,22,22,"6741,17","5961,53",-,-,"779,64",-,-,"306,42","306,42",32,"1,5",-,-
171790 PONTE ALTA DO TOCANTINS,40,40,"1820,65","1372,87",-,-,"447,78",-,-,"45,52","45,52",122,3,-,-
171820 PORTO NACIONAL,716,716,"385074,92",281265,-,-,"103809,92",-,-,"537,81","537,81",2711,"3,8",10,"1,4"
171840 PRESIDENTE KENNEDY,6,6,"1962,14","1690,54",-,-,"271,6",-,-,"327,02","327,02",19,"3,2",-,-
172065 SILVANOPOLIS,7,7,"2664,66","2191,62",-,-,"473,04",-,-,"380,67","380,67",24,"3,4",-,-
172090 TAGUATINGA,193,193,"81342,82","64753,77",-,-,"16589,05",-,-,"421,47","421,47",447,"2,3",3,"1,55"
172100 PALMAS,1557,1557,"1922419,13","1447796,94",-,-,"474622,19",-,-,"1234,69","1234,69",7432,"4,8",72,"4,62"
172120 TOCANTINOPOLIS,191,191,"90908,04","72555,73",-,-,"18352,31",-,-,"475,96","475,96",442,"2,3",2,"1,05"
172210 XAMBIOA,125,125,"58883,35","44346,99",-,-,"14536,36",-,-,"471,07","471,07",368,"2,9",1,"0,8"
210005 ACAILANDIA,457,457,"185932,42","138687,9",-,-,"47244,52",-,-,"406,85","406,85",1290,"2,8",4,"0,88"
210020 ALCANTARA,51,51,"14101,2","11689,77",-,-,"2411,43",-,-,"276,49","276,49",117,"2,3",-,-
210030 ALDEIAS ALTAS,111,111,"46722,61","42389,96",-,-,"4332,65",-,-,"420,92","420,92",365,"3,3",-,-
210047 ALTO ALEGRE DO PINDARE,76,76,"28518,03","24655,23",-,-,"3862,8",-,-,"375,24","375,24",165,"2,2",-,-
210050 ALTO PARNAIBA,77,77,"26777,52","23310,22",-,-,"3467,3",-,-,"347,76","347,76",234,3,-,-
210060 AMARANTE DO MARANHAO,179,179,"82082,83","62442,39",-,-,"19640,44",-,-,"458,56","458,56",421,"2,4",2,"1,12"
210070 ANAJATUBA,125,125,"43005,65","36698,06",-,-,"6307,59",-,-,"344,05","344,05",437,"3,5",-,-
