Período:Out/2011,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"64896,59","53336,24",-,-,"11560,35",-,-,"341,56","341,56",438,"2,3",1,"0,53"
110002 ARIQUEMES,453,453,"281533,37","217602,34",-,-,"63931,03",-,-,"621,49","621,49",1555,"3,4",10,"2,21"
110003 CABIXI,22,22,"5924,46","4999,97",-,-,"924,49",-,-,"269,29","269,29",55,"2,5",-,-
110004 CACOAL,569,569,"204789,75","157778,75",-,-,47011,-,-,"359,91","359,91",2122,"3,7",8,"1,41"
110005 CEREJEIRAS,159,159,"51885,59","41793,06",-,-,"10092,53",-,-,"326,32","326,32",394,"2,5",-,-
110006 COLORADO DO OESTE,162,162,"50949,33","41788,11",-,-,"9161,22",-,-,"314,5","314,5",520,"3,2",1,"0,62"
110008 COSTA MARQUES,64,64,"23623,4","18346,81",-,-,"5276,59",-,-,"369,12","369,12",163,"2,5",-,-
110009 ESPIGAO D'OESTE,151,151,"42915,64","33057,72",-,-,"9857,92",-,-,"284,21","284,21",435,"2,9",-,-
110010 GUAJARA-MIRIM,227,227,"85369,47","63497,38",-,-,"21872,09",-,-,"376,08","376,08",654,"2,9",2,"0,88"
110011 JARU,254,254,"89080,13","63511,99",-,-,"25568,14",-,-,"350,71","350,71",505,2,4,"1,57"
110012 JI-PARANA,797,797,"421014,66","328534,83",-,-,"92479,83",-,-,"528,25","528,25",2935,"3,7",30,"3,76"
110013 MACHADINHO D'OESTE,133,133,"43071,21","34539,14",-,-,"8532,07",-,-,"323,84","323,84",319,"2,4",2,"1,5"
110014 NOVA BRASILANDIA D'OESTE,129,129,"37690,05","30654,3",-,-,"7035,75",-,-,"292,17","292,17",277,"2,1",-,-
110015 OURO PRETO DO OESTE,188,188,"62564,44","47038,03",-,-,"15526,41",-,-,"332,79","332,79",315,"1,7",4,"2,13"
110018 PIMENTA BUENO,235,235,"82990,33","68419,85",-,-,"14570,48",-,-,"353,15","353,15",649,"2,8",2,"0,85"
110020 PORTO VELHO,2179,2179,"1749328,03","1371485,35",-,-,"377842,68",-,-,"802,81","802,81",15802,"7,3",64,"2,94"
110025 PRESIDENTE MEDICI,87,87,"23113,58","19990,04",-,-,"3123,54",-,-,"265,67","265,67",258,3,2,"2,3"
110028 ROLIM DE MOURA,308,308,"115996,79","92928,15",-,-,"23068,64",-,-,"376,61","376,61",1074,"3,5",2,"0,65"
110029 SANTA LUZIA D'OESTE,62,62,"20823,79","18447,77",-,-,"2376,02",-,-,"335,87","335,87",275,"4,4",-,-
110030 VILHENA,521,521,"299179,28","240457,67",-,-,"58721,61",-,-,"574,24","574,24",2092,4,23,"4,41"
110032 SAO MIGUEL DO GUAPORE,88,88,"28337,14","23234,19",-,-,"5102,95",-,-,"322,01","322,01",205,"2,3",-,-
110033 NOVA MAMORE,77,77,"27246,89","20105,84",-,-,"7141,05",-,-,"353,86","353,86",210,"2,7",-,-
110034 ALVORADA D'OESTE,118,118,"34323,08","27193,62",-,-,"7129,46",-,-,"290,87","290,87",357,3,-,-
110037 ALTO ALEGRE DOS PARECIS,74,74,"21116,17","18314,47",-,-,"2801,7",-,-,"285,35","285,35",184,"2,5",-,-
110040 ALTO PARAISO,33,33,"7073,97","5854,08",-,-,"1219,89",-,-,"214,36","214,36",55,"1,7",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"13251,54","11587,14",-,-,"1664,4",-,-,"294,48","294,48",119,"2,6",-,-
110060 CACAULANDIA,20,20,"4706,47","3935,84",-,-,"770,63",-,-,"235,32","235,32",57,"2,9",-,-
110070 CAMPO NOVO DE RONDONIA,75,75,"24035,1","20775,13",-,-,"3259,97",-,-,"320,47","320,47",177,"2,4",-,-
110094 CUJUBIM,44,44,"13469,18","11578,28",-,-,"1890,9",-,-,"306,12","306,12",152,"3,5",-,-
110100 GOVERNADOR JORGE TEIXEIRA,25,25,"6972,8","6025,53",-,-,"947,27",-,-,"278,91","278,91",58,"2,3",-,-
110110 ITAPUA DO OESTE,3,3,"794,2","646,88",-,-,"147,32",-,-,"264,73","264,73",8,"2,7",-,-
110120 MINISTRO ANDREAZZA,41,41,"15680,46","13708,52",-,-,"1971,94",-,-,"382,45","382,45",128,"3,1",-,-
110130 MIRANTE DA SERRA,78,78,"25309,68","21556,95",-,-,"3752,73",-,-,"324,48","324,48",164,"2,1",-,-
110140 MONTE NEGRO,146,146,"52319,07","41723,21",-,-,"10595,86",-,-,"358,35","358,35",307,"2,1",-,-
110143 NOVA UNIAO,20,20,"7057,55","6079,77",-,-,"977,78",-,-,"352,88","352,88",47,"2,4",-,-
110145 PARECIS,16,16,"728,87","549,61",-,-,"179,26",-,-,"45,55","45,55",18,"1,1",-,-
110146 PIMENTEIRAS DO OESTE,3,3,"1285,82","1154,44",-,-,"131,38",-,-,"428,61","428,61",8,"2,7",-,-
110149 SAO FRANCISCO DO GUAPORE,83,83,"23380,46","19773,54",-,-,"3606,92",-,-,"281,69","281,69",156,"1,9",-,-
110150 SERINGUEIRAS,82,82,"26361,99","20259,97",-,-,"6102,02",-,-,"321,49","321,49",179,"2,2",-,-
110155 TEIXEIROPOLIS,2,2,"1190,81","1079,09",-,-,"111,72",-,-,"595,4","595,4",5,"2,5",-,-
110160 THEOBROMA,6,6,"2010,92","1780,26",-,-,"230,66",-,-,"335,15","335,15",20,"3,3",-,-
110170 URUPA,32,32,"9629,04","8348,9",-,-,"1280,14",-,-,"300,91","300,91",77,"2,4",-,-
110175 VALE DO ANARI,17,17,"4161,27","3546,1",-,-,"615,17",-,-,"244,78","244,78",36,"2,1",-,-
110180 VALE DO PARAISO,13,13,"2995,5","2552,54",-,-,"442,96",-,-,"230,42","230,42",13,1,-,-
