Período:Fev/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"66660,44","54656,09",-,-,"12004,35",-,-,"350,84","350,84",461,"2,4",-,-
110002 ARIQUEMES,481,481,"253382,56","199914,56",-,-,53468,-,-,"526,78","526,78",1326,"2,8",8,"1,66"
110003 CABIXI,26,26,"7125,83","6046,56",-,-,"1079,27",-,-,"274,07","274,07",54,"2,1",-,-
110004 CACOAL,547,547,"188318,34","151395,88",-,-,"36922,46",-,-,"344,27","344,27",1668,3,11,"2,01"
110005 CEREJEIRAS,150,150,"46983,98","38441,66",-,-,"8542,32",-,-,"313,23","313,23",361,"2,4",-,-
110006 COLORADO DO OESTE,120,120,"39544,6","32565,92",-,-,"6978,68",-,-,"329,54","329,54",382,"3,2",1,"0,83"
110007 CORUMBIARA,35,35,"10397,22","8967,96",-,-,"1429,26",-,-,"297,06","297,06",92,"2,6",-,-
110008 COSTA MARQUES,55,55,"22936,29","18258,1",-,-,"4678,19",-,-,"417,02","417,02",161,"2,9",-,-
110009 ESPIGAO D'OESTE,155,155,"28810,58","22646,05",-,-,"6164,53",-,-,"185,87","185,87",291,"1,9",1,"0,65"
110010 GUAJARA-MIRIM,278,278,"106669,7","81182,91",-,-,"25486,79",-,-,"383,7","383,7",700,"2,5",-,-
110011 JARU,215,215,"91389,36","65158,99",-,-,"26230,37",-,-,"425,07","425,07",476,"2,2",1,"0,47"
110012 JI-PARANA,893,893,"362826,64","288757,81",-,-,"74068,83",-,-,"406,3","406,3",3407,"3,8",7,"0,78"
110013 MACHADINHO D'OESTE,137,137,"44172,99","34837,6",-,-,"9335,39",-,-,"322,43","322,43",309,"2,3",-,-
110014 NOVA BRASILANDIA D'OESTE,137,137,"51898,95","42986,64",-,-,"8912,31",-,-,"378,82","378,82",376,"2,7",-,-
110015 OURO PRETO DO OESTE,428,428,"137389,51","110717,3",-,-,"26672,21",-,-,321,321,765,"1,8",2,"0,47"
110018 PIMENTA BUENO,233,233,"77985,11","64095,03",-,-,"13890,08",-,-,"334,7","334,7",720,"3,1",5,"2,15"
110020 PORTO VELHO,1666,1666,"1143844,97","874215,31",-,-,"269629,66",-,-,"686,58","686,58",9800,"5,9",40,"2,4"
110025 PRESIDENTE MEDICI,134,134,"43573,74","34863,15",-,-,"8710,59",-,-,"325,18","325,18",408,3,1,"0,75"
110028 ROLIM DE MOURA,485,485,"172996,42","140825,82",-,-,"32170,6",-,-,"356,69","356,69",1173,"2,4",3,"0,62"
110029 SANTA LUZIA D'OESTE,50,50,"16689,46","14228,4",-,-,"2461,06",-,-,"333,79","333,79",177,"3,5",-,-
110030 VILHENA,521,521,"290824,71","233956,58",-,-,"56868,13",-,-,"558,2","558,2",2082,4,18,"3,45"
110032 SAO MIGUEL DO GUAPORE,152,152,"50852,39","42028,16",-,-,"8824,23",-,-,"334,56","334,56",361,"2,4",3,"1,97"
110033 NOVA MAMORE,73,73,"24929,98","18590,53",-,-,"6339,45",-,-,"341,51","341,51",224,"3,1",-,-
110034 ALVORADA D'OESTE,117,117,"40484,77","32211,1",-,-,"8273,67",-,-,"346,02","346,02",296,"2,5",-,-
110037 ALTO ALEGRE DOS PARECIS,147,147,"6652,84","5016,48",-,-,"1636,36",-,-,"45,26","45,26",56,"0,4",-,-
110040 ALTO PARAISO,33,33,"8515,87","7320,67",-,-,"1195,2",-,-,"258,06","258,06",74,"2,2",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"15923,93","13839,89",-,-,"2084,04",-,-,"353,87","353,87",102,"2,3",-,-
110060 CACAULANDIA,27,27,"9254,1","8131,14",-,-,"1122,96",-,-,"342,74","342,74",62,"2,3",-,-
110120 MINISTRO ANDREAZZA,41,41,"12289,71","10343,98",-,-,"1945,73",-,-,"299,75","299,75",94,"2,3",-,-
110130 MIRANTE DA SERRA,104,104,"34588,12","28706,68",-,-,"5881,44",-,-,"332,58","332,58",215,"2,1",-,-
110140 MONTE NEGRO,259,259,"82562,59","68343,5",-,-,"14219,09",-,-,"318,77","318,77",552,"2,1",1,"0,39"
110143 NOVA UNIAO,25,25,"7469,55","6272,22",-,-,"1197,33",-,-,"298,78","298,78",55,"2,2",-,-
110146 PIMENTEIRAS DO OESTE,6,6,"1668,19","1435,56",-,-,"232,63",-,-,"278,03","278,03",12,2,-,-
110149 SAO FRANCISCO DO GUAPORE,99,99,"31658,19","26414,41",-,-,"5243,78",-,-,"319,78","319,78",370,"3,7",-,-
110150 SERINGUEIRAS,94,94,"29469,54","23304,42",-,-,"6165,12",-,-,"313,51","313,51",233,"2,5",-,-
110155 TEIXEIROPOLIS,33,33,"9241,15","7937,51",-,-,"1303,64",-,-,"280,03","280,03",73,"2,2",-,-
110160 THEOBROMA,60,60,"17731,76","14775,31",-,-,"2956,45",-,-,"295,53","295,53",95,"1,6",-,-
110170 URUPA,65,65,"20573,41","18050,38",-,-,"2523,03",-,-,"316,51","316,51",129,2,-,-
110175 VALE DO ANARI,17,17,"4013,12","3410,69",-,-,"602,43",-,-,"236,07","236,07",39,"2,3",-,-
110180 VALE DO PARAISO,42,42,"10714,97","8870,08",-,-,"1844,89",-,-,"255,12","255,12",47,"1,1",-,-
120001 ACRELANDIA,36,36,"8522,4","6866,07",-,-,"1656,33",-,-,"236,73","236,73",46,"1,3",-,-
120005 ASSIS BRASIL,14,14,"6163,46","4517,14",-,-,"1646,32",-,-,"440,25","440,25",54,"3,9",-,-
120010 BRASILEIA,173,173,"56676,17","41043,01",-,-,"15633,16",-,-,"327,61","327,61",444,"2,6",-,-
120020 CRUZEIRO DO SUL,817,817,"349345,56","271111,15",-,-,"78234,41",-,-,"427,6","427,6",2853,"3,5",12,"1,47"
120030 FEIJO,63,63,"25638,57","17939,98",-,-,"7698,59",-,-,"406,96","406,96",131,"2,1",1,"1,59"
120032 JORDAO,5,5,"963,96","808,28",-,-,"155,68",-,-,"192,79","192,79",9,"1,8",-,-
120033 MANCIO LIMA,29,29,"11093,05","7563,52",-,-,"3529,53",-,-,"382,52","382,52",57,2,-,-
120034 MANOEL URBANO,41,41,"11118,34","9120,26",-,-,"1998,08",-,-,"271,18","271,18",77,"1,9",1,"2,44"
120038 PLACIDO DE CASTRO,61,61,"17911,02","15171,27",-,-,"2739,75",-,-,"293,62","293,62",179,"2,9",1,"1,64"
120040 RIO BRANCO,1862,1862,"1268046,51","942339,79",-,-,"325706,72",-,-,"681,01","681,01",10061,"5,4",51,"2,74"
120042 RODRIGUES ALVES,16,16,"994,32","784,07",-,-,"210,25",-,-,"62,15","62,15",16,1,-,-
120043 SANTA ROSA DO PURUS,12,12,"4527,24","3971,35",-,-,"555,89",-,-,"377,27","377,27",31,"2,6",-,-
120045 SENADOR GUIOMARD,70,70,"21451,35","17594,8",-,-,"3856,55",-,-,"306,45","306,45",171,"2,4",-,-
120050 SENA MADUREIRA,256,256,"95596,6","74765,83",-,-,"20830,77",-,-,"373,42","373,42",712,"2,8",-,-
120060 TARAUACA,136,136,"56530,33","40534,52",-,-,"15995,81",-,-,"415,66","415,66",288,"2,1",4,"2,94"
120070 XAPURI,74,74,"19895,02","16253,81",-,-,"3641,21",-,-,"268,85","268,85",282,"3,8",-,-
130006 AMATURA,32,32,"16345,36","14554,07",-,-,"1791,29",-,-,"510,79","510,79",140,"4,4",-,-
130008 ANAMA,32,32,"12995,48","9514,73",-,-,"3480,75",-,-,"406,11","406,11",74,"2,3",-,-
130010 ANORI,18,18,"6702,44","5203,99",-,-,"1498,45",-,-,"372,36","372,36",55,"3,1",-,-
