Período:Mar/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
211090 SAO FRANCISCO DO MARANHAO,40,40,"14256,44","11881,15",-,-,"2375,29",-,-,"356,41","356,41",129,"3,2",-,-
211102 SAO JOAO DO CARU,80,80,"31989,83","25480,7",-,-,"6509,13",-,-,"399,87","399,87",250,"3,1",-,-
211110 SAO JOAO DOS PATOS,229,229,"82084,37","67060,07",-,-,"15024,3",-,-,"358,45","358,45",471,"2,1",5,"2,18"
211120 SAO JOSE DE RIBAMAR,208,208,"89713,74","59949,48",-,-,"29764,26",-,-,"431,32","431,32",624,3,-,-
211125 SAO JOSE DOS BASILIOS,59,59,"17940,6","15163,43",-,-,"2777,17",-,-,"304,08","304,08",103,"1,7",-,-
211130 SAO LUIS,7345,7824,"7676158,57","6078051,11",-,-,"1598107,46",-,-,"981,1","1045,09",63810,"8,7",281,"3,83"
211140 SAO LUIS GONZAGA DO MARANHAO,86,86,"41816,37","33958,97",-,-,"7857,4",-,-,"486,24","486,24",284,"3,3",-,-
211150 SAO MATEUS DO MARANHAO,176,176,"72874,37","53851,82",-,-,"19022,55",-,-,"414,06","414,06",472,"2,7",-,-
211153 SAO PEDRO DA AGUA BRANCA,37,37,"10535,02","9107,64",-,-,"1427,38",-,-,"284,73","284,73",106,"2,9",1,"2,7"
211160 SAO RAIMUNDO DAS MANGABEIRAS,89,89,"39097,83","31271,67",-,-,"7826,16",-,-,"439,3","439,3",281,"3,2",-,-
211170 SAO VICENTE FERRER,241,241,"85488,86","66181,21",-,-,"19307,65",-,-,"354,73","354,73",613,"2,5",-,-
211172 SATUBINHA,64,64,"27469,3","23518,61",-,-,"3950,69",-,-,"429,21","429,21",212,"3,3",-,-
211174 SENADOR ALEXANDRE COSTA,56,56,"18356,51","14294,04",-,-,"4062,47",-,-,"327,79","327,79",109,"1,9",-,-
211180 SITIO NOVO,120,120,"51661,16","42623,34",-,-,"9037,82",-,-,"430,51","430,51",253,"2,1",-,-
211190 SUCUPIRA DO NORTE,68,68,"23350,23","19005,51",-,-,"4344,72",-,-,"343,39","343,39",185,"2,7",-,-
211200 TASSO FRAGOSO,30,30,"9585,38","7290,68",-,-,"2294,7",-,-,"319,51","319,51",84,"2,8",-,-
211210 TIMBIRAS,82,82,"33171,56","29159,97",-,-,"4011,59",-,-,"404,53","404,53",393,"4,8",-,-
211220 TIMON,591,591,"298356,68","214775,31",-,-,"83581,37",-,-,"504,83","504,83",1786,3,-,-
211223 TRIZIDELA DO VALE,115,115,"47344,87","36093,86",-,-,"11251,01",-,-,"411,69","411,69",351,"3,1",-,-
211230 TUNTUM,317,317,"122585,18","88512,74",-,-,"34072,44",-,-,"386,7","386,7",565,"1,8",1,"0,32"
211240 TURIACU,172,172,"63078,39","49024,39",-,-,14054,-,-,"366,73","366,73",432,"2,5",-,-
211250 TUTOIA,203,203,"71134,64","54016,74",-,-,"17117,9",-,-,"350,42","350,42",441,"2,2",-,-
211260 URBANO SANTOS,140,140,"52419,71","37820,94",-,-,"14598,77",-,-,"374,43","374,43",407,"2,9",-,-
211270 VARGEM GRANDE,198,198,"76480,48","56302,25",-,-,"20178,23",-,-,"386,27","386,27",527,"2,7",-,-
211280 VIANA,195,195,"89414,28","65851,63",-,-,"23562,65",-,-,"458,53","458,53",452,"2,3",-,-
211285 VILA NOVA DOS MARTIRIOS,37,37,"12429,7","10358,67",-,-,"2071,03",-,-,"335,94","335,94",96,"2,6",-,-
211290 VITORIA DO MEARIM,102,102,"46050,56","32129,91",-,-,"13920,65",-,-,"451,48","451,48",221,"2,2",-,-
211300 VITORINO FREIRE,198,198,"84014,08","61160,2",-,-,"22853,88",-,-,"424,31","424,31",497,"2,5",-,-
211400 ZE DOCA,316,316,"145414,18","112396,69",-,-,"33017,49",-,-,"460,17","460,17",917,"2,9",-,-
220010 AGRICOLANDIA,20,20,"6668,5","5896,11",-,-,"772,39",-,-,"333,42","333,42",61,3,-,-
220020 AGUA BRANCA,77,77,"23092,02","18863,07",-,-,"4228,95",-,-,"299,9","299,9",223,"2,9",-,-
220030 ALTO LONGA,73,73,"26038,75","21482,21",-,-,"4556,54",-,-,"356,7","356,7",227,"3,1",-,-
220040 ALTOS,110,110,"38712,77","33588,86",-,-,"5123,91",-,-,"351,93","351,93",380,"3,5",-,-
220050 AMARANTE,106,106,"31418,45","25785,61",-,-,"5632,84",-,-,"296,4","296,4",275,"2,6",-,-
220090 AROAZES,45,45,"14889,4","12894,66",-,-,"1994,74",-,-,"330,88","330,88",101,"2,2",-,-
220100 ARRAIAL,6,6,"1665,61","1350,96",-,-,"314,65",-,-,"277,6","277,6",7,"1,2",-,-
220120 BARRAS,307,307,"131289,74","102220,68",-,-,"29069,06",-,-,"427,65","427,65",941,"3,1",-,-
220140 BARRO DURO,26,26,"8372,23","7343,15",-,-,"1029,08",-,-,"322,01","322,01",126,"4,8",-,-
220150 BATALHA,89,89,"36569,81","31122,16",-,-,"5447,65",-,-,"410,9","410,9",386,"4,3",1,"1,12"
220160 BENEDITINOS,17,17,"5019,62","4372,24",-,-,"647,38",-,-,"295,27","295,27",62,"3,6",-,-
220190 BOM JESUS,444,444,"178404,95","134748,27",-,-,"43656,68",-,-,"401,81","401,81",1446,"3,3",-,-
220200 BURITI DOS LOPES,139,139,"64641,04","57096,9",-,-,"7544,14",-,-,"465,04","465,04",524,"3,8",-,-
220220 CAMPO MAIOR,522,522,"234718,78","181232,37",-,-,"53486,41",-,-,"449,65","449,65",1262,"2,4",1,"0,19"
220230 CANTO DO BURITI,149,149,"61819,06","50680,07",-,-,"11138,99",-,-,"414,89","414,89",325,"2,2",-,-
220240 CAPITAO DE CAMPOS,11,11,"3389,62","2881,86",-,-,"507,76",-,-,"308,15","308,15",53,"4,8",-,-
220250 CARACOL,33,33,"7929,16","6812,61",-,-,"1116,55",-,-,"240,28","240,28",82,"2,5",-,-
220260 CASTELO DO PIAUI,160,160,"74970,87","58547,29",-,-,"16423,58",-,-,"468,57","468,57",458,"2,9",-,-
