Período:Set/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
210530 IMPERATRIZ,1438,1438,"918798,82","659748,82",-,-,259050,-,-,"638,94","638,94",5415,"3,8",30,"2,09"
210540 ITAPECURU MIRIM,281,281,"131288,6","97653,2",-,-,"33635,4",-,-,"467,22","467,22",591,"2,1",1,"0,36"
210542 ITINGA DO MARANHAO,154,154,"57649,6","44943,59",-,-,"12706,01",-,-,"374,35","374,35",399,"2,6",-,-
210550 JOAO LISBOA,140,140,"64067,77","51435,29",-,-,"12632,48",-,-,"457,63","457,63",232,"1,7",1,"0,71"
210560 JOSELANDIA,88,88,"31817,97","26024,73",-,-,"5793,24",-,-,"361,57","361,57",418,"4,8",-,-
210570 LAGO DA PEDRA,403,403,"190437,28","144868,08",-,-,"45569,2",-,-,"472,55","472,55",1245,"3,1",1,"0,25"
210580 LAGO DO JUNCO,66,66,"23543,93","19856,11",-,-,"3687,82",-,-,"356,73","356,73",205,"3,1",-,-
210600 LIMA CAMPOS,73,73,"26994,54","21800,21",-,-,"5194,33",-,-,"369,79","369,79",204,"2,8",-,-
210610 LORETO,76,76,"28724,67","23109,26",-,-,"5615,41",-,-,"377,96","377,96",181,"2,4",-,-
210630 MAGALHAES DE ALMEIDA,71,71,"23476,71","18800,19",-,-,"4676,52",-,-,"330,66","330,66",200,"2,8",-,-
210640 MATA ROMA,91,91,"36209,94","28592,99",-,-,"7616,95",-,-,"397,91","397,91",166,"1,8",-,-
210650 MATINHA,61,61,"23655,32","17803,06",-,-,"5852,26",-,-,"387,79","387,79",139,"2,3",-,-
210660 MATOES,182,182,"59739,99","44948,85",-,-,"14791,14",-,-,"328,24","328,24",393,"2,2",-,-
210667 MILAGRES DO MARANHAO,25,25,"9683,94","7020,79",-,-,"2663,15",-,-,"387,36","387,36",160,"6,4",-,-
210670 MIRADOR,112,112,"38808,92","32452,86",-,-,"6356,06",-,-,"346,51","346,51",255,"2,3",-,-
210675 MIRANDA DO NORTE,135,135,"49148,84","38028,12",-,-,"11120,72",-,-,"364,07","364,07",466,"3,5",-,-
210680 MIRINZAL,56,56,"21915,47","17121,4",-,-,"4794,07",-,-,"391,35","391,35",159,"2,8",-,-
210710 MORROS,64,64,"25458,32","20254,49",-,-,"5203,83",-,-,"397,79","397,79",141,"2,2",-,-
210720 NINA RODRIGUES,65,65,"24583,63","20054,88",-,-,"4528,75",-,-,"378,21","378,21",153,"2,4",-,-
210725 NOVA COLINAS,28,28,"12046,51","10097,72",-,-,"1948,79",-,-,"430,23","430,23",64,"2,3",-,-
210735 NOVA OLINDA DO MARANHAO,40,40,"12988,79","11495,46",-,-,"1493,33",-,-,"324,72","324,72",140,"3,5",-,-
210740 OLHO D'AGUA DAS CUNHAS,91,91,"29474,11","25663,81",-,-,"3810,3",-,-,"323,89","323,89",296,"3,3",-,-
210745 OLINDA NOVA DO MARANHAO,65,65,"25005,52","19972,18",-,-,"5033,34",-,-,"384,7","384,7",124,"1,9",-,-
210750 PACO DO LUMIAR,184,184,"78301,08","61432,31",-,-,"16868,77",-,-,"425,55","425,55",622,"3,4",1,"0,54"
210760 PALMEIRANDIA,72,72,"26770,1","21119,15",-,-,"5650,95",-,-,"371,81","371,81",165,"2,3",-,-
210770 PARAIBANO,105,105,"38503,26","32293,28",-,-,"6209,98",-,-,"366,7","366,7",335,"3,2",-,-
210780 PARNARAMA,84,84,"33266,83","23811,84",-,-,"9454,99",-,-,"396,03","396,03",208,"2,5",-,-
210790 PASSAGEM FRANCA,297,297,"120842,29","100369,27",-,-,"20473,02",-,-,"406,88","406,88",838,"2,8",-,-
210800 PASTOS BONS,123,123,"47499,54","35868,31",-,-,"11631,23",-,-,"386,18","386,18",312,"2,5",-,-
210810 PAULO RAMOS,157,157,"58998,15",44338,-,-,"14660,15",-,-,"375,78","375,78",408,"2,6",-,-
210820 PEDREIRAS,389,389,"140376,32","107675,48",-,-,"32700,84",-,-,"360,86","360,86",933,"2,4",2,"0,51"
210825 PEDRO DO ROSARIO,126,126,"45189,48","35018,36",-,-,"10171,12",-,-,"358,65","358,65",515,"4,1",-,-
210830 PENALVA,195,195,"82898,62","64206,64",-,-,"18691,98",-,-,"425,12","425,12",540,"2,8",-,-
210840 PERI MIRIM,55,55,"16174,9","14282,27",-,-,"1892,63",-,-,"294,09","294,09",132,"2,4",-,-
210850 PINDARE-MIRIM,137,137,"57394,23","43541,42",-,-,"13852,81",-,-,"418,94","418,94",374,"2,7",-,-
210860 PINHEIRO,594,594,"236944,55","168729,03",-,-,"68215,52",-,-,"398,9","398,9",1766,3,8,"1,35"
210870 PIO XII,130,130,"51157,19","37015,02",-,-,"14142,17",-,-,"393,52","393,52",394,3,-,-
210880 PIRAPEMAS,88,88,"33062,59","26936,45",-,-,"6126,14",-,-,"375,71","375,71",295,"3,4",-,-
210890 POCAO DE PEDRAS,140,140,"50464,16","38970,35",-,-,"11493,81",-,-,"360,46","360,46",352,"2,5",-,-
210900 PORTO FRANCO,344,344,"131724,85","99985,43",-,-,"31739,42",-,-,"382,92","382,92",810,"2,4",2,"0,58"
210910 PRESIDENTE DUTRA,255,255,"94638,07","70487,12",-,-,"24150,95",-,-,"371,13","371,13",873,"3,4",-,-
210920 PRESIDENTE JUSCELINO,64,64,"20983,2","17174,72",-,-,"3808,48",-,-,"327,86","327,86",121,"1,9",-,-
210930 PRESIDENTE VARGAS,63,63,"20461,4","17406,54",-,-,"3054,86",-,-,"324,78","324,78",162,"2,6",-,-
210940 PRIMEIRA CRUZ,91,91,"27543,36","24354,63",-,-,"3188,73",-,-,"302,67","302,67",191,"2,1",-,-
210945 RAPOSA,90,90,"69539,96","61771,93",-,-,"7768,03",-,-,"772,67","772,67",2192,"24,4",-,-
210950 RIACHAO,150,150,"59472,25","46474,79",-,-,"12997,46",-,-,"396,48","396,48",339,"2,3",-,-
210960 ROSARIO,210,210,"83854,95","74089,74",-,-,"9765,21",-,-,"399,31","399,31",634,3,-,-
210975 SANTA FILOMENA DO MARANHAO,36,36,"11873,23","10324,67",-,-,"1548,56",-,-,"329,81","329,81",127,"3,5",-,-
210980 SANTA HELENA,152,152,"59469,24","45639,13",-,-,"13830,11",-,-,"391,24","391,24",346,"2,3",-,-
210990 SANTA INES,608,608,"289149,34","217759,56",-,-,"71389,78",-,-,"475,57","475,57",1947,"3,2",8,"1,32"
211000 SANTA LUZIA,283,283,"116534,1","81662,15",-,-,"34871,95",-,-,"411,78","411,78",873,"3,1",-,-
211003 SANTA LUZIA DO PARUA,335,335,"108011,67","88133,12",-,-,"19878,55",-,-,"322,42","322,42",909,"2,7",-,-
211010 SANTA QUITERIA DO MARANHAO,123,123,"44689,7","35093,06",-,-,"9596,64",-,-,"363,33","363,33",232,"1,9",-,-
211020 SANTA RITA,242,242,"98493,8",76183,-,-,"22310,8",-,-,407,407,456,"1,9",-,-
211027 SANTO AMARO DO MARANHAO,69,69,"29539,46","25983,11",-,-,"3556,35",-,-,"428,11","428,11",181,"2,6",1,"1,45"
211030 SANTO ANTONIO DOS LOPES,92,92,"38133,81","30553,26",-,-,"7580,55",-,-,"414,5","414,5",259,"2,8",-,-
211040 SAO BENEDITO DO RIO PRETO,75,75,"27183,95","19654,67",-,-,"7529,28",-,-,"362,45","362,45",168,"2,2",-,-
211050 SAO BENTO,215,215,"81168,99","63476,01",-,-,"17692,98",-,-,"377,53","377,53",493,"2,3",-,-
211060 SAO BERNARDO,151,151,"57870,94","43228,36",-,-,"14642,58",-,-,"383,25","383,25",402,"2,7",-,-
211070 SAO DOMINGOS DO MARANHAO,130,130,"55497,36","41683,65",-,-,"13813,71",-,-,"426,9","426,9",409,"3,1",-,-
211085 SAO FRANCISCO DO BREJAO,26,26,"8416,49","7447,56",-,-,"968,93",-,-,"323,71","323,71",79,3,-,-
211090 SAO FRANCISCO DO MARANHAO,18,18,"6674,9","5179,24",-,-,"1495,66",-,-,"370,83","370,83",44,"2,4",-,-
211100 SAO JOAO BATISTA,11,11,"3808,43","3494,28",-,-,"314,15",-,-,"346,22","346,22",22,2,-,-
211102 SAO JOAO DO CARU,81,81,"30547,46","24780,41",-,-,"5767,05",-,-,"377,13","377,13",231,"2,9",-,-
211110 SAO JOAO DOS PATOS,82,82,"31148,54","23595,24",-,-,"7553,3",-,-,"379,86","379,86",158,"1,9",1,"1,22"
211120 SAO JOSE DE RIBAMAR,194,194,"81228,28","53930,95",-,-,"27297,33",-,-,"418,7","418,7",624,"3,2",1,"0,52"
211125 SAO JOSE DOS BASILIOS,59,59,"18169,98","14517,38",-,-,"3652,6",-,-,"307,97","307,97",116,2,-,-
211130 SAO LUIS,7133,7620,"7744836,15","6127818,77",-,-,"1617017,38",-,-,"1016,38","1085,78",65822,"9,2",237,"3,32"
211140 SAO LUIS GONZAGA DO MARANHAO,179,179,"63266,88","48901,33",-,-,"14365,55",-,-,"353,45","353,45",559,"3,1",-,-
211150 SAO MATEUS DO MARANHAO,206,206,"89631,29","66888,22",-,-,"22743,07",-,-,"435,1","435,1",532,"2,6",-,-
211153 SAO PEDRO DA AGUA BRANCA,56,56,"19376,23","16918,62",-,-,"2457,61",-,-,346,346,182,"3,3",-,-
211170 SAO VICENTE FERRER,199,199,"68569,65","51954,19",-,-,"16615,46",-,-,"344,57","344,57",700,"3,5",-,-
211172 SATUBINHA,60,60,"22108,86",18096,-,-,"4012,86",-,-,"368,48","368,48",180,3,-,-
211174 SENADOR ALEXANDRE COSTA,56,56,"18855,53","15558,06",-,-,"3297,47",-,-,"336,71","336,71",116,"2,1",-,-
211180 SITIO NOVO,90,90,"34827,23","28642,06",-,-,"6185,17",-,-,"386,97","386,97",191,"2,1",-,-
211190 SUCUPIRA DO NORTE,54,54,"16669,8","14607,7",-,-,"2062,1",-,-,"308,7","308,7",152,"2,8",-,-
211200 TASSO FRAGOSO,24,24,"7700,33","5509,25",-,-,"2191,08",-,-,"320,85","320,85",158,"6,6",-,-
211210 TIMBIRAS,122,122,"51163,95","39483,09",-,-,"11680,86",-,-,"419,38","419,38",556,"4,6",-,-
211220 TIMON,578,578,"267443,82","192951,19",-,-,"74492,63",-,-,"462,71","462,71",1576,"2,7",1,"0,17"
211223 TRIZIDELA DO VALE,115,115,"45129,83","33572,66",-,-,"11557,17",-,-,"392,43","392,43",256,"2,2",-,-
211230 TUNTUM,221,221,"88347,71","60128,57",-,-,"28219,14",-,-,"399,76","399,76",347,"1,6",-,-
211250 TUTOIA,235,235,"96984,64","71906,57",-,-,"25078,07",-,-,"412,7","412,7",469,2,-,-
211260 URBANO SANTOS,123,123,"45774,96","32229,91",-,-,"13545,05",-,-,"372,15","372,15",374,3,-,-
211270 VARGEM GRANDE,196,196,"76519,76","54822,37",-,-,"21697,39",-,-,"390,41","390,41",683,"3,5",3,"1,53"
211280 VIANA,170,170,"76431,78","53226,39",-,-,"23205,39",-,-,"449,6","449,6",388,"2,3",-,-
211290 VITORIA DO MEARIM,75,75,"35559,24","24667,34",-,-,"10891,9",-,-,"474,12","474,12",171,"2,3",-,-
211300 VITORINO FREIRE,198,198,80744,"61345,53",-,-,"19398,47",-,-,"407,8","407,8",462,"2,3",-,-
211400 ZE DOCA,231,231,"125797,6","92005,31",-,-,"33792,29",-,-,"544,58","544,58",476,"2,1",-,-
220020 AGUA BRANCA,9,9,"3688,83","2531,82",-,-,"1157,01",-,-,"409,87","409,87",19,"2,1",-,-
220030 ALTO LONGA,29,29,"11812,72","9092,85",-,-,"2719,87",-,-,"407,34","407,34",84,"2,9",-,-
220040 ALTOS,136,136,"45488,64","38471,77",-,-,"7016,87",-,-,"334,48","334,48",403,3,-,-
220050 AMARANTE,93,93,"30355,51","24137,9",-,-,"6217,61",-,-,"326,4","326,4",210,"2,3",-,-
220100 ARRAIAL,12,12,"786,38","605,42",-,-,"180,96",-,-,"65,53","65,53",12,1,-,-
220110 AVELINO LOPES,13,13,"5955,73","5067,31",-,-,"888,42",-,-,"458,13","458,13",25,"1,9",-,-
220120 BARRAS,340,340,"145636,43","111474,48",-,-,"34161,95",-,-,"428,34","428,34",1099,"3,2",3,"0,88"
220150 BATALHA,94,94,"38665,85","30895,13",-,-,"7770,72",-,-,"411,34","411,34",370,"3,9",-,-
220160 BENEDITINOS,31,31,"10752,93","9098,34",-,-,"1654,59",-,-,"346,87","346,87",77,"2,5",-,-
220180 BOCAINA,9,9,"2550,45","2113,73",-,-,"436,72",-,-,"283,38","283,38",23,"2,6",-,-
220190 BOM JESUS,445,445,"179187,86","136595,52",-,-,"42592,34",-,-,"402,67","402,67",1429,"3,2",-,-
220200 BURITI DOS LOPES,139,139,"60630,45","53256,57",-,-,"7373,88",-,-,"436,19","436,19",481,"3,5",-,-
220220 CAMPO MAIOR,286,286,"134763,02","108841,51",-,-,"25921,51",-,-,"471,2","471,2",666,"2,3",-,-
220230 CANTO DO BURITI,144,144,"58716,63","48951,67",-,-,"9764,96",-,-,"407,75","407,75",610,"4,2",-,-
220240 CAPITAO DE CAMPOS,9,9,"3876,68","3319,27",-,-,"557,41",-,-,"430,74","430,74",50,"5,6",-,-
220250 CARACOL,36,36,"8601,6","7447,18",-,-,"1154,42",-,-,"238,93","238,93",90,"2,5",-,-
220260 CASTELO DO PIAUI,156,156,"70554,21","54842,88",-,-,"15711,33",-,-,"452,27","452,27",535,"3,4",1,"0,64"
220270 COCAL,137,137,"56808,38","49367,2",-,-,"7441,18",-,-,"414,66","414,66",620,"4,5",-,-
220290 CORRENTE,161,161,"68165,41","52985,71",-,-,"15179,7",-,-,"423,39","423,39",329,2,1,"0,62"
220300 CRISTALANDIA DO PIAUI,3,3,"413,34","352,08",-,-,"61,26",-,-,"137,78","137,78",4,"1,3",-,-
220320 CURIMATA,87,87,"34622,28","25222,47",-,-,"9399,81",-,-,"397,96","397,96",303,"3,5",-,-
220330 DEMERVAL LOBAO,52,52,"16513,12","14280,37",-,-,"2232,75",-,-,"317,56","317,56",149,"2,9",-,-
220350 ELESBAO VELOSO,96,96,"34403,64","27416,61",-,-,"6987,03",-,-,"358,37","358,37",299,"3,1",-,-
220370 ESPERANTINA,316,316,"133373,32","103814,33",-,-,"29558,99",-,-,"422,07","422,07",641,2,-,-
220375 FARTURA DO PIAUI,17,17,"7919,66","7146,58",-,-,"773,08",-,-,"465,86","465,86",38,"2,2",-,-
