Período:Out/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"70466,67","57954,78",-,-,"12511,89",-,-,"370,88","370,88",482,"2,5",-,-
110002 ARIQUEMES,508,508,"291087,83","228470,85",-,-,"62616,98",-,-,"573,01","573,01",1769,"3,5",14,"2,76"
110003 CABIXI,22,22,"7094,41","5584,38",-,-,"1510,03",-,-,"322,47","322,47",45,2,-,-
110004 CACOAL,540,540,"210670,04","165600,71",-,-,"45069,33",-,-,"390,13","390,13",2028,"3,8",9,"1,67"
110005 CEREJEIRAS,131,131,"40588,96","33682,48",-,-,"6906,48",-,-,"309,84","309,84",308,"2,4",1,"0,76"
110006 COLORADO DO OESTE,155,155,"53959,29","44811,41",-,-,"9147,88",-,-,"348,12","348,12",376,"2,4",1,"0,65"
110007 CORUMBIARA,39,39,"12193,91","10690,71",-,-,"1503,2",-,-,"312,66","312,66",100,"2,6",-,-
110009 ESPIGAO D'OESTE,126,126,"28615,08","24332,9",-,-,"4282,18",-,-,"227,1","227,1",297,"2,4",4,"3,17"
110010 GUAJARA-MIRIM,248,248,"87999,22","66336,03",-,-,"21663,19",-,-,"354,84","354,84",679,"2,7",2,"0,81"
110011 JARU,179,179,"71003,03","50366,32",-,-,"20636,71",-,-,"396,66","396,66",390,"2,2",-,-
110012 JI-PARANA,777,777,"431165,25","341036,3",-,-,"90128,95",-,-,"554,91","554,91",2873,"3,7",27,"3,47"
110013 MACHADINHO D'OESTE,143,143,"51706,15","39067,52",-,-,"12638,63",-,-,"361,58","361,58",314,"2,2",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"46218,17","39780,74",-,-,"6437,43",-,-,"358,28","358,28",325,"2,5",-,-
110015 OURO PRETO DO OESTE,376,376,"130637,07","99038,62",-,-,"31598,45",-,-,"347,44","347,44",721,"1,9",2,"0,53"
110018 PIMENTA BUENO,235,235,"79664,78","64569,66",-,-,"15095,12",-,-,339,339,637,"2,7",5,"2,13"
110020 PORTO VELHO,2319,2319,"1981532,23","1558967,53",-,-,"422564,7",-,-,"854,48","854,48",14244,"6,1",77,"3,32"
110025 PRESIDENTE MEDICI,70,70,"26328,52","22086,17",-,-,"4242,35",-,-,"376,12","376,12",234,"3,3",3,"4,29"
110028 ROLIM DE MOURA,421,421,"156608,08","128409,57",-,-,"28198,51",-,-,"371,99","371,99",1207,"2,9",6,"1,43"
110030 VILHENA,521,521,"300361,94","242948,83",-,-,"57413,11",-,-,"576,51","576,51",2107,4,20,"3,84"
110032 SAO MIGUEL DO GUAPORE,130,130,"49445,83","40203,54",-,-,"9242,29",-,-,"380,35","380,35",326,"2,5",2,"1,54"
110033 NOVA MAMORE,71,71,"28364,88","20933,31",-,-,"7431,57",-,-,"399,51","399,51",189,"2,7",-,-
110034 ALVORADA D'OESTE,81,81,"25844,94","20602,97",-,-,"5241,97",-,-,"319,07","319,07",212,"2,6",-,-
110037 ALTO ALEGRE DOS PARECIS,70,70,"20056,11","17579,57",-,-,"2476,54",-,-,"286,52","286,52",107,"1,5",-,-
110040 ALTO PARAISO,30,30,"7774,74","6692,26",-,-,"1082,48",-,-,"259,16","259,16",60,2,-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"14185,07","12406,22",-,-,"1778,85",-,-,"315,22","315,22",94,"2,1",-,-
110060 CACAULANDIA,27,27,"8795,78","7693,92",-,-,"1101,86",-,-,"325,77","325,77",75,"2,8",-,-
110070 CAMPO NOVO DE RONDONIA,87,87,"30470,1","26595,73",-,-,"3874,37",-,-,"350,23","350,23",207,"2,4",-,-
110094 CUJUBIM,44,44,"10268,16","8687,75",-,-,"1580,41",-,-,"233,37","233,37",156,"3,5",-,-
110110 ITAPUA DO OESTE,8,8,"1849,24","1558,23",-,-,"291,01",-,-,"231,16","231,16",15,"1,9",-,-
110120 MINISTRO ANDREAZZA,41,41,"13881,33","12056,68",-,-,"1824,65",-,-,"338,57","338,57",94,"2,3",-,-
110130 MIRANTE DA SERRA,104,104,"37768,6","31793,97",-,-,"5974,63",-,-,"363,16","363,16",219,"2,1",-,-
110140 MONTE NEGRO,259,259,"80324,4","67514,41",-,-,"12809,99",-,-,"310,13","310,13",524,2,-,-
110143 NOVA UNIAO,25,25,"7703,85","6621,72",-,-,"1082,13",-,-,"308,15","308,15",55,"2,2",-,-
110145 PARECIS,16,16,"725,82","547,3",-,-,"178,52",-,-,"45,36","45,36",23,"1,4",-,-
110146 PIMENTEIRAS DO OESTE,4,4,"1038,8","888,72",-,-,"150,08",-,-,"259,7","259,7",8,2,-,-
110149 SAO FRANCISCO DO GUAPORE,99,99,"34786,08","29323,03",-,-,"5463,05",-,-,"351,37","351,37",353,"3,6",-,-
110150 SERINGUEIRAS,91,91,"27388,9","20633,35",-,-,"6755,55",-,-,"300,98","300,98",204,"2,2",-,-
110155 TEIXEIROPOLIS,20,20,"5093,33","4412,3",-,-,"681,03",-,-,"254,67","254,67",33,"1,6",-,-
110160 THEOBROMA,7,7,"2711,14","2371,89",-,-,"339,25",-,-,"387,31","387,31",14,2,-,-
110170 URUPA,50,50,"18966,84","16803,9",-,-,"2162,94",-,-,"379,34","379,34",113,"2,3",-,-
110175 VALE DO ANARI,13,13,"3049,13","2650,28",-,-,"398,85",-,-,"234,55","234,55",28,"2,2",-,-
110180 VALE DO PARAISO,10,10,"2699,15","2329,75",-,-,"369,4",-,-,"269,91","269,91",11,"1,1",-,-
120001 ACRELANDIA,71,71,"22763,93","19461,84",-,-,"3302,09",-,-,"320,62","320,62",172,"2,4",-,-
120005 ASSIS BRASIL,39,39,"12362,65","9280,73",-,-,"3081,92",-,-,"316,99","316,99",74,"1,9",-,-
120010 BRASILEIA,162,162,"57401,51","41553,68",-,-,"15847,83",-,-,"354,33","354,33",415,"2,6",1,"0,62"
120020 CRUZEIRO DO SUL,659,659,"291015,1","219383,16",-,-,"71631,94",-,-,"441,6","441,6",2254,"3,4",13,"1,97"
120030 FEIJO,85,85,"31868,6","23295,16",-,-,"8573,44",-,-,"374,92","374,92",247,"2,9",-,-
120034 MANOEL URBANO,68,68,15651,"12040,73",-,-,"3610,27",-,-,"230,16","230,16",106,"1,6",-,-
120038 PLACIDO DE CASTRO,68,68,"18995,56","16372,82",-,-,"2622,74",-,-,"279,35","279,35",217,"3,2",-,-
120040 RIO BRANCO,1990,1990,"1508933,72","1130577,3",-,-,"378356,42",-,-,"758,26","758,26",10740,"5,4",117,"5,88"
120042 RODRIGUES ALVES,24,24,"2051,49","1703,09",-,-,"348,4",-,-,"85,48","85,48",24,1,-,-
120043 SANTA ROSA DO PURUS,60,60,"19110,31","16746,7",-,-,"2363,61",-,-,"318,51","318,51",162,"2,7",-,-
120045 SENADOR GUIOMARD,62,62,"21501,14","17886,51",-,-,"3614,63",-,-,"346,79","346,79",146,"2,4",-,-
120050 SENA MADUREIRA,274,274,"100826,22","78707,77",-,-,"22118,45",-,-,"367,98","367,98",682,"2,5",3,"1,09"
120060 TARAUACA,145,145,"60895,35","43583,8",-,-,"17311,55",-,-,"419,97","419,97",315,"2,2",1,"0,69"
120070 XAPURI,71,71,"21370,26","16942,58",-,-,"4427,68",-,-,"300,99","300,99",206,"2,9",2,"2,82"
130006 AMATURA,2,2,"625,13","407,76",-,-,"217,37",-,-,"312,56","312,56",8,4,-,-
130008 ANAMA,33,33,"12209,43","9015,33",-,-,"3194,1",-,-,"369,98","369,98",88,"2,7",-,-
130010 ANORI,49,49,"17051,63",12476,-,-,"4575,63",-,-,"347,99","347,99",139,"2,8",-,-
130014 APUI,84,84,"28759,54","21817,11",-,-,"6942,43",-,-,"342,38","342,38",254,3,-,-
130030 AUTAZES,105,105,"45793,66","31214,92",-,-,"14578,74",-,-,"436,13","436,13",225,"2,1",-,-
130040 BARCELOS,189,189,"60928,35","47300,15",-,-,"13628,2",-,-,"322,37","322,37",785,"4,2",4,"2,12"
130050 BARREIRINHA,87,87,"35926,6","25183,44",-,-,"10743,16",-,-,"412,95","412,95",262,3,-,-
130060 BENJAMIN CONSTANT,76,76,"27130,29","18633,67",-,-,"8496,62",-,-,"356,98","356,98",168,"2,2",-,-
130063 BERURI,21,21,"9311,4","5619,6",-,-,"3691,8",-,-,"443,4","443,4",53,"2,5",-,-
130068 BOA VISTA DO RAMOS,39,39,16707,"12374,25",-,-,"4332,75",-,-,"428,38","428,38",106,"2,7",-,-
130080 BORBA,267,267,"120634,25","90132,35",-,-,"30501,9",-,-,"451,81","451,81",903,"3,4",-,-
130090 CANUTAMA,80,80,"36663,05","26522,43",-,-,"10140,62",-,-,"458,29","458,29",221,"2,8",-,-
130100 CARAUARI,108,108,"39153,11","28346,54",-,-,"10806,57",-,-,"362,53","362,53",496,"4,6",-,-
130120 COARI,319,319,"131089,36","96539,88",-,-,"34549,48",-,-,"410,94","410,94",1287,4,-,-
130130 CODAJAS,91,91,"46691,91","37453,2",-,-,"9238,71",-,-,"513,1","513,1",342,"3,8",-,-
130140 EIRUNEPE,84,84,"31640,89","23035,76",-,-,"8605,13",-,-,"376,68","376,68",257,"3,1",2,"2,38"
130150 ENVIRA,38,38,"16862,75","10986,76",-,-,"5875,99",-,-,"443,76","443,76",129,"3,4",-,-
130160 FONTE BOA,162,162,"52907,09","40064,92",-,-,"12842,17",-,-,"326,59","326,59",831,"5,1",-,-
130165 GUAJARA,27,27,"8113,24","6283,8",-,-,"1829,44",-,-,"300,49","300,49",56,"2,1",-,-
130170 HUMAITA,140,140,"64737,26","45704,35",-,-,"19032,91",-,-,"462,41","462,41",338,"2,4",-,-
130180 IPIXUNA,51,51,"18358,58","13515,06",-,-,"4843,52",-,-,"359,97","359,97",154,3,-,-
130185 IRANDUBA,144,144,"65958,88","47560,31",-,-,"18398,57",-,-,"458,05","458,05",300,"2,1",-,-
130190 ITACOATIARA,352,352,"161187,31","109774,07",-,-,"51413,24",-,-,"457,92","457,92",880,"2,5",2,"0,57"
130195 ITAMARATI,40,40,"12227,48","10564,01",-,-,"1663,47",-,-,"305,69","305,69",290,"7,3",-,-
130200 ITAPIRANGA,35,35,"11458,19",8465,-,-,"2993,19",-,-,"327,38","327,38",97,"2,8",-,-
130210 JAPURA,13,13,"4802,92","3608,22",-,-,"1194,7",-,-,"369,46","369,46",40,"3,1",-,-
130220 JURUA,33,33,"11682,53","8947,34",-,-,"2735,19",-,-,"354,02","354,02",90,"2,7",-,-
130230 JUTAI,63,63,"29658,3","21865,63",-,-,"7792,67",-,-,"470,77","470,77",204,"3,2",-,-
130240 LABREA,126,126,"50136,1","35016,62",-,-,"15119,48",-,-,"397,91","397,91",615,"4,9",-,-
130250 MANACAPURU,260,260,"112967,18","76681,88",-,-,"36285,3",-,-,"434,49","434,49",706,"2,7",-,-
130255 MANAQUIRI,35,35,"10583,57","9224,21",-,-,"1359,36",-,-,"302,39","302,39",122,"3,5",-,-
130260 MANAUS,8695,8725,"7384740,46","5685438,76",-,-,"1699301,7",-,-,"846,39","849,31",47644,"5,5",240,"2,76"
