Per�odo:Fev/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211290 VITORIA DO MEARIM";52;52;22613,24;16354,67;-;-;6258,57;-;-;434,87;434,87;114;2,2;1;1,92
"211300 VITORINO FREIRE";198;198;74360,04;62041,82;-;-;12318,22;-;-;375,56;375,56;307;1,6;4;2,02
"211400 ZE DOCA";263;263;120342,41;90986,05;-;-;29356,36;-;-;457,58;457,58;948;3,6;5;1,90
"220010 AGRICOLANDIA";12;12;2409,28;2000,94;-;-;408,34;-;-;200,77;200,77;12;1,0;-;-
"220020 AGUA BRANCA";74;74;31529,79;27409,54;-;-;4120,25;-;-;426,08;426,08;293;4,0;4;5,41
"220030 ALTO LONGA";21;21;6733,56;5817,93;-;-;915,63;-;-;320,65;320,65;72;3,4;-;-
"220040 ALTOS";78;78;38191,32;31942,08;-;-;6249,24;-;-;489,63;489,63;280;3,6;7;8,97
"220050 AMARANTE";96;96;32114,75;27507,33;-;-;4607,42;-;-;334,53;334,53;243;2,5;4;4,17
"220100 ARRAIAL";9;9;3651,37;3235,94;-;-;415,43;-;-;405,71;405,71;37;4,1;-;-
"220120 BARRAS";177;177;99028,05;76913,02;-;-;22115,03;-;-;559,48;559,48;655;3,7;5;2,82
"220150 BATALHA";79;79;31712,10;27962,05;-;-;3750,05;-;-;401,42;401,42;248;3,1;-;-
"220160 BENEDITINOS";12;12;4642,09;4099,04;-;-;543,05;-;-;386,84;386,84;54;4,5;2;16,67
"220190 BOM JESUS";410;410;224647,67;172218,79;-;-;52428,88;-;-;547,92;547,92;1390;3,4;10;2,44
"220220 CAMPO MAIOR";348;348;169036,21;128748,46;-;-;40287,75;-;-;485,74;485,74;1604;4,6;23;6,61
"220230 CANTO DO BURITI";142;142;65881,54;56290,64;-;-;9590,90;-;-;463,95;463,95;397;2,8;-;-
"220260 CASTELO DO PIAUI";26;26;13044,03;11512,88;-;-;1531,15;-;-;501,69;501,69;120;4,6;-;-
"220270 COCAL";50;50;12338,75;10166,93;-;-;2171,82;-;-;246,78;246,78;95;1,9;-;-
"220290 CORRENTE";99;99;49515,02;32942,79;-;-;16572,23;-;-;500,15;500,15;220;2,2;2;2,02
"220310 CRISTINO CASTRO";57;57;33451,64;29429,28;-;-;4022,36;-;-;586,87;586,87;168;2,9;-;-
