Per�odo:Jun/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";271;271;68685,82;59415,68;-;-;9270,14;-;-;253,45;253,45;623;2,3;6;2,21
"110002 ARIQUEMES";547;547;635150,78;474680,44;31724,52;-;111094,93;17650,89;-;1161,15;1161,15;1749;3,2;20;3,66
"110003 CABIXI";18;18;6876,99;6039,80;-;-;837,19;-;-;382,06;382,06;50;2,8;-;-
"110004 CACOAL";900;900;693341,76;543548,17;-;-;149793,59;-;-;770,38;770,38;4038;4,5;31;3,44
"110005 CEREJEIRAS";114;114;50034,43;40180,61;-;-;9853,82;-;-;438,90;438,90;354;3,1;-;-
"110006 COLORADO DO OESTE";40;40;27769,86;25380,01;-;-;2389,85;-;-;694,25;694,25;120;3,0;1;2,50
"110008 COSTA MARQUES";8;8;2671,93;2438,72;-;-;233,21;-;-;333,99;333,99;49;6,1;-;-
"110009 ESPIGAO D'OESTE";92;92;36320,88;32119,14;-;-;4201,74;-;-;394,79;394,79;261;2,8;1;1,09
"110010 GUAJARA-MIRIM";342;342;158754,79;126730,66;-;-;32024,13;-;-;464,20;464,20;1246;3,6;1;0,29
"110011 JARU";232;232;106777,78;78184,80;-;-;28592,98;-;-;460,25;460,25;656;2,8;4;1,72
"110012 JI-PARANA";444;444;319652,44;258384,86;-;-;61267,58;-;-;719,94;719,94;1202;2,7;16;3,60
"110013 MACHADINHO D'OESTE";184;184;78541,47;59715,60;-;-;18825,87;-;-;426,86;426,86;509;2,8;2;1,09
"110014 NOVA BRASILANDIA D'OESTE";109;109;48557,52;38840,46;-;-;9717,06;-;-;445,48;445,48;329;3,0;1;0,92
"110015 OURO PRETO DO OESTE";222;222;127188,47;95561,75;-;-;31626,72;-;-;572,92;572,92;519;2,3;5;2,25
"110018 PIMENTA BUENO";263;263;108362,22;89017,87;-;-;19344,35;-;-;412,02;412,02;664;2,5;11;4,18
"110020 PORTO VELHO";4611;4611;7367256,64;6055533,30;-;-;1311723,34;-;-;1597,76;1597,76;32147;7,0;179;3,88
"110025 PRESIDENTE MEDICI";88;88;44759,19;34399,46;-;-;10359,73;-;-;508,63;508,63;319;3,6;1;1,14
"110026 RIO CRESPO";5;5;3035,08;2757,07;-;-;278,01;-;-;607,02;607,02;14;2,8;-;-
"110028 ROLIM DE MOURA";312;312;136515,19;94524,17;-;-;41991,02;-;-;437,55;437,55;906;2,9;4;1,28
"110029 SANTA LUZIA D'OESTE";47;47;16950,74;14725,29;-;-;2225,45;-;-;360,65;360,65;172;3,7;-;-
"110030 VILHENA";879;879;772925,77;600320,50;-;-;172605,27;-;-;879,32;879,32;3723;4,2;34;3,87
"110032 SAO MIGUEL DO GUAPORE";128;128;49926,74;40514,28;-;-;9412,46;-;-;390,05;390,05;310;2,4;2;1,56
"110033 NOVA MAMORE";89;89;44263,43;35174,33;-;-;9089,10;-;-;497,34;497,34;309;3,5;-;-
"110034 ALVORADA D'OESTE";74;74;32161,39;24148,40;-;-;8012,99;-;-;434,61;434,61;250;3,4;-;-
"110037 ALTO ALEGRE DOS PARECIS";32;32;11019,20;9341,50;-;-;1677,70;-;-;344,35;344,35;92;2,9;-;-
"110040 ALTO PARAISO";30;30;11162,67;9602,84;-;-;1559,83;-;-;372,09;372,09;87;2,9;-;-
"110045 BURITIS";152;152;68746,97;53719,82;-;-;15027,15;-;-;452,28;452,28;361;2,4;3;1,97
"110060 CACAULANDIA";9;9;4479,71;4030,12;-;-;449,59;-;-;497,75;497,75;20;2,2;-;-
"110070 CAMPO NOVO DE RONDONIA";13;13;5412,05;4682,35;-;-;729,70;-;-;416,31;416,31;29;2,2;-;-
"110080 CANDEIAS DO JAMARI";11;11;3833,10;3341,57;-;-;491,53;-;-;348,46;348,46;29;2,6;-;-
"110094 CUJUBIM";93;93;18967,34;15777,86;-;-;3189,48;-;-;203,95;203,95;3;0,0;1;1,08
"110100 GOVERNADOR JORGE TEIXEIRA";8;8;2792,38;2449,23;-;-;343,15;-;-;349,05;349,05;29;3,6;-;-
"110120 MINISTRO ANDREAZZA";21;21;9750,02;8683,66;-;-;1066,36;-;-;464,29;464,29;79;3,8;-;-
"110130 MIRANTE DA SERRA";30;30;18898,29;16712,95;-;-;2185,34;-;-;629,94;629,94;89;3,0;-;-
"110140 MONTE NEGRO";61;61;37124,08;31761,27;-;-;5362,81;-;-;608,59;608,59;248;4,1;-;-
"110143 NOVA UNIAO";9;9;3053,94;2612,18;-;-;441,76;-;-;339,33;339,33;40;4,4;-;-
"110145 PARECIS";26;26;7306,77;6244,81;-;-;1061,96;-;-;281,03;281,03;26;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";2;2;876,80;756,50;-;-;120,30;-;-;438,40;438,40;3;1,5;-;-
