Per�odo:Set/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211178 SERRANO DO MARANHAO";61;61;22849,17;19972,77;-;-;2876,40;-;-;374,58;374,58;181;3,0;-;-
"211180 SITIO NOVO";90;90;37182,00;29267,10;-;-;7914,90;-;-;413,13;413,13;419;4,7;-;-
"211190 SUCUPIRA DO NORTE";68;68;19823,06;16957,92;-;-;2865,14;-;-;291,52;291,52;139;2,0;1;1,47
"211195 SUCUPIRA DO RIACHAO";14;14;4390,37;3788,06;-;-;602,31;-;-;313,60;313,60;46;3,3;-;-
"211200 TASSO FRAGOSO";14;14;5118,21;4288,52;-;-;829,69;-;-;365,59;365,59;48;3,4;-;-
"211210 TIMBIRAS";195;195;103907,99;71237,81;-;-;32670,18;-;-;532,86;532,86;448;2,3;1;0,51
"211220 TIMON";636;636;520216,12;382265,44;-;-;137950,68;-;-;817,95;817,95;2805;4,4;38;5,97
"211223 TRIZIDELA DO VALE";98;98;40383,90;31931,44;-;-;8452,46;-;-;412,08;412,08;251;2,6;3;3,06
"211227 TUFILANDIA";4;4;926,20;812,19;-;-;114,01;-;-;231,55;231,55;8;2,0;-;-
"211230 TUNTUM";105;105;36474,91;29947,44;-;-;6527,47;-;-;347,38;347,38;479;4,6;-;-
"211240 TURIACU";124;124;59913,23;47367,18;-;-;12546,05;-;-;483,17;483,17;393;3,2;2;1,61
"211250 TUTOIA";140;140;63097,96;42163,89;-;-;20934,07;-;-;450,70;450,70;467;3,3;-;-
"211260 URBANO SANTOS";143;143;60309,21;43618,31;-;-;16690,90;-;-;421,74;421,74;370;2,6;-;-
"211270 VARGEM GRANDE";125;125;49917,93;37450,63;-;-;12467,30;-;-;399,34;399,34;225;1,8;3;2,40
"211280 VIANA";281;281;142943,22;107361,82;-;-;35581,40;-;-;508,69;508,69;1042;3,7;3;1,07
"211285 VILA NOVA DOS MARTIRIOS";56;56;20175,69;17253,11;-;-;2922,58;-;-;360,28;360,28;157;2,8;1;1,79
"211290 VITORIA DO MEARIM";72;72;31200,76;23304,61;-;-;7896,15;-;-;433,34;433,34;198;2,8;1;1,39
"211300 VITORINO FREIRE";198;198;74611,34;60810,73;-;-;13800,61;-;-;376,82;376,82;362;1,8;-;-
"211400 ZE DOCA";333;333;143569,93;106941,48;-;-;36628,45;-;-;431,14;431,14;1178;3,5;2;0,60
"220010 AGRICOLANDIA";2;2;1164,84;1008,14;-;-;156,70;-;-;582,42;582,42;14;7,0;-;-
"220020 AGUA BRANCA";58;58;24579,68;20861,62;-;-;3718,06;-;-;423,79;423,79;389;6,7;1;1,72
"220030 ALTO LONGA";19;19;6523,05;5463,36;-;-;1059,69;-;-;343,32;343,32;46;2,4;-;-
"220040 ALTOS";102;102;53182,54;43596,18;-;-;9586,36;-;-;521,40;521,40;314;3,1;3;2,94
"220050 AMARANTE";85;85;27231,23;22342,64;-;-;4888,59;-;-;320,37;320,37;157;1,8;3;3,53
"220100 ARRAIAL";7;7;2647,59;2300,68;-;-;346,91;-;-;378,23;378,23;13;1,9;-;-
"220120 BARRAS";233;233;132850,39;97495,70;-;-;35354,69;-;-;570,17;570,17;1255;5,4;5;2,15
"220150 BATALHA";36;36;17660,10;15282,41;-;-;2377,69;-;-;490,56;490,56;130;3,6;-;-
"220160 BENEDITINOS";11;11;3443,71;3000,01;-;-;443,70;-;-;313,06;313,06;47;4,3;-;-
"220190 BOM JESUS";436;436;292622,13;226576,22;-;-;66045,91;-;-;671,15;671,15;1581;3,6;19;4,36
"220220 CAMPO MAIOR";492;492;277191,60;206804,41;-;-;70387,19;-;-;563,40;563,40;2105;4,3;22;4,47
"220230 CANTO DO BURITI";120;120;49938,05;42940,43;-;-;6997,62;-;-;416,15;416,15;332;2,8;-;-
"220260 CASTELO DO PIAUI";41;41;19549,33;16906,81;-;-;2642,52;-;-;476,81;476,81;167;4,1;1;2,44
"220270 COCAL";99;99;27232,49;23345,83;-;-;3886,66;-;-;275,08;275,08;375;3,8;2;2,02
"220290 CORRENTE";141;141;77296,19;46776,91;3238,67;-;25494,15;1786,46;-;548,20;548,20;284;2,0;-;-
"220310 CRISTINO CASTRO";55;55;36940,13;33006,17;-;-;3933,96;-;-;671,64;671,64;167;3,0;-;-
"220320 CURIMATA";75;75;31168,37;25147,11;-;-;6021,26;-;-;415,58;415,58;414;5,5;2;2,67
"220330 DEMERVAL LOBAO";98;98;62764,10;45347,65;-;-;17416,45;-;-;640,45;640,45;274;2,8;-;-
"220350 ELESBAO VELOSO";60;60;21625,85;18880,66;-;-;2745,19;-;-;360,43;360,43;241;4,0;1;1,67
"220370 ESPERANTINA";326;326;180131,32;131971,17;-;-;48160,15;-;-;552,55;552,55;749;2,3;5;1,53
"220390 FLORIANO";995;995;1058578,03;810118,25;14434,37;-;225733,77;8291,64;-;1063,90;1063,90;4892;4,9;53;5,33
"220400 FRANCINOPOLIS";9;9;3745,21;3330,37;-;-;414,84;-;-;416,13;416,13;19;2,1;-;-
"220430 FRONTEIRAS";185;185;127816,50;114019,35;-;-;13797,15;-;-;690,90;690,90;625;3,4;-;-
"220450 GUADALUPE";72;72;21287,38;18281,77;-;-;3005,61;-;-;295,66;295,66;164;2,3;-;-
