Per�odo:Jan/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";277;277;66159,48;55315,08;-;-;10844,40;-;-;238,84;238,84;635;2,3;1;0,36
"110002 ARIQUEMES";586;586;487869,98;391464,43;-;-;96405,55;-;-;832,54;832,54;1550;2,6;20;3,41
"110003 CABIXI";21;21;5702,13;4884,92;-;-;817,21;-;-;271,53;271,53;67;3,2;-;-
"110004 CACOAL";831;831;673641,70;534514,73;-;-;139126,97;-;-;810,64;810,64;4461;5,4;27;3,25
"110005 CEREJEIRAS";88;88;34169,11;27949,79;-;-;6219,32;-;-;388,29;388,29;281;3,2;1;1,14
"110006 COLORADO DO OESTE";41;41;22085,75;19516,90;-;-;2568,85;-;-;538,68;538,68;138;3,4;1;2,44
"110008 COSTA MARQUES";17;17;4248,10;3693,06;-;-;555,04;-;-;249,89;249,89;45;2,6;-;-
"110009 ESPIGAO D'OESTE";79;79;25465,91;21825,45;-;-;3640,46;-;-;322,35;322,35;191;2,4;1;1,27
"110010 GUAJARA-MIRIM";296;296;120162,28;88768,49;-;-;31393,79;-;-;405,95;405,95;775;2,6;1;0,34
"110011 JARU";235;235;93002,17;66588,40;-;-;26413,77;-;-;395,75;395,75;600;2,6;4;1,70
"110012 JI-PARANA";866;866;523444,24;436410,90;-;-;87033,34;-;-;604,44;604,44;2685;3,1;84;9,70
"110013 MACHADINHO D'OESTE";105;105;43430,50;32447,10;-;-;10983,40;-;-;413,62;413,62;243;2,3;2;1,90
"110014 NOVA BRASILANDIA D'OESTE";88;88;39026,76;30724,63;-;-;8302,13;-;-;443,49;443,49;255;2,9;2;2,27
"110015 OURO PRETO DO OESTE";225;225;136291,08;100491,73;-;-;35799,35;-;-;605,74;605,74;482;2,1;-;-
"110018 PIMENTA BUENO";359;359;128917,83;98747,87;-;-;30169,96;-;-;359,10;359,10;662;1,8;4;1,11
"110020 PORTO VELHO";3363;3363;6740778,69;5577480,77;-;-;1163297,92;-;-;2004,39;2004,39;26701;7,9;157;4,67
"110025 PRESIDENTE MEDICI";49;49;21531,05;16952,65;-;-;4578,40;-;-;439,41;439,41;223;4,6;1;2,04
"110026 RIO CRESPO";1;1;186,06;159,84;-;-;26,22;-;-;186,06;186,06;1;1,0;-;-
"110028 ROLIM DE MOURA";272;272;114325,09;82009,31;-;-;32315,78;-;-;420,31;420,31;701;2,6;2;0,74
"110029 SANTA LUZIA D'OESTE";74;74;22316,44;18757,05;-;-;3559,39;-;-;301,57;301,57;241;3,3;6;8,11
"110030 VILHENA";739;739;563611,57;432670,97;-;-;130940,60;-;-;762,67;762,67;2851;3,9;25;3,38
"110032 SAO MIGUEL DO GUAPORE";118;118;52497,81;40061,67;-;-;12436,14;-;-;444,90;444,90;223;1,9;-;-
"110033 NOVA MAMORE";75;75;28930,01;21938,28;-;-;6991,73;-;-;385,73;385,73;240;3,2;2;2,67
"110034 ALVORADA D'OESTE";113;113;33162,17;25953,88;-;-;7208,29;-;-;293,47;293,47;305;2,7;-;-
"110037 ALTO ALEGRE DOS PARECIS";66;66;20083,03;17479,37;-;-;2603,66;-;-;304,29;304,29;199;3,0;-;-
"110040 ALTO PARAISO";28;28;7620,64;6455,07;-;-;1165,57;-;-;272,17;272,17;64;2,3;1;3,57
"110045 BURITIS";106;106;41923,11;32363,94;-;-;9559,17;-;-;395,50;395,50;298;2,8;4;3,77
"110050 NOVO HORIZONTE DO OESTE";26;26;15593,80;13978,70;-;-;1615,10;-;-;599,76;599,76;132;5,1;1;3,85
"110060 CACAULANDIA";3;3;1732,03;1549,62;-;-;182,41;-;-;577,34;577,34;12;4,0;-;-
"110070 CAMPO NOVO DE RONDONIA";7;7;2480,06;2139,12;-;-;340,94;-;-;354,29;354,29;16;2,3;-;-
"110080 CANDEIAS DO JAMARI";12;12;3806,27;3288,49;-;-;517,78;-;-;317,19;317,19;29;2,4;-;-
"110094 CUJUBIM";19;19;4494,31;3626,96;-;-;867,35;-;-;236,54;236,54;-;-;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";11;11;3889,48;3349,07;-;-;540,41;-;-;353,59;353,59;30;2,7;-;-
"110120 MINISTRO ANDREAZZA";20;20;7055,71;6182,94;-;-;872,77;-;-;352,79;352,79;88;4,4;-;-
"110130 MIRANTE DA SERRA";66;66;35518,23;31430,67;-;-;4087,56;-;-;538,16;538,16;226;3,4;-;-
"110140 MONTE NEGRO";41;41;17587,22;13896,24;-;-;3690,98;-;-;428,96;428,96;149;3,6;-;-
"110143 NOVA UNIAO";8;8;2877,94;2456,32;-;-;421,62;-;-;359,74;359,74;22;2,8;-;-
"110145 PARECIS";63;63;12568,54;10553,15;-;-;2015,39;-;-;199,50;199,50;63;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";3;3;1001,65;848,27;-;-;153,38;-;-;333,88;333,88;9;3,0;1;33,33
"110149 SAO FRANCISCO DO GUAPORE";61;61;20027,81;15225,50;-;-;4802,31;-;-;328,32;328,32;136;2,2;-;-
"110150 SERINGUEIRAS";96;96;44581,59;33609,57;-;-;10972,02;-;-;464,39;464,39;239;2,5;1;1,04
"110155 TEIXEIROPOLIS";1;1;614,42;536,07;-;-;78,35;-;-;614,42;614,42;5;5,0;-;-
"110160 THEOBROMA";11;11;3586,04;3083,43;-;-;502,61;-;-;326,00;326,00;43;3,9;2;18,18
"110170 URUPA";38;38;20761,52;15168,99;-;-;5592,53;-;-;546,36;546,36;79;2,1;-;-
"110175 VALE DO ANARI";30;30;10359,98;8844,76;-;-;1515,22;-;-;345,33;345,33;122;4,1;-;-
"110180 VALE DO PARAISO";11;11;4717,51;4166,38;-;-;551,13;-;-;428,86;428,86;52;4,7;-;-
"120001 ACRELANDIA";5;5;1773,52;1415,14;-;-;358,38;-;-;354,70;354,70;13;2,6;-;-
"120010 BRASILEIA";216;216;78516,81;58641,67;-;-;19875,14;-;-;363,50;363,50;749;3,5;5;2,31
"120020 CRUZEIRO DO SUL";818;818;427701,90;312967,78;-;-;114734,12;-;-;522,86;522,86;3129;3,8;10;1,22
"120030 FEIJO";99;99;33477,88;23899,45;-;-;9578,43;-;-;338,16;338,16;266;2,7;-;-
"120033 MANCIO LIMA";48;48;16556,90;13683,79;-;-;2873,11;-;-;344,94;344,94;113;2,4;-;-
"120035 MARECHAL THAUMATURGO";48;48;6881,61;4847,59;-;-;2034,02;-;-;143,37;143,37;95;2,0;1;2,08
"120038 PLACIDO DE CASTRO";18;18;4064,18;3603,07;-;-;461,11;-;-;225,79;225,79;44;2,4;-;-
"120039 PORTO WALTER";26;26;7380,75;4864,85;-;-;2515,90;-;-;283,88;283,88;37;1,4;1;3,85
"120040 RIO BRANCO";2503;2502;2775367,59;2019172,35;-;-;756195,24;-;-;1108,82;1109,26;12172;4,9;86;3,44
