Per�odo:Mai/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";239;239;64160,55;55676,50;-;-;8484,05;-;-;268,45;268,45;566;2,4;2;0,84
"110002 ARIQUEMES";607;607;610500,93;452312,65;27145,38;-;115145,71;15897,19;-;1005,77;1005,77;1704;2,8;20;3,29
"110003 CABIXI";26;26;9066,56;7840,17;-;-;1226,39;-;-;348,71;348,71;58;2,2;1;3,85
"110004 CACOAL";1415;1415;1595312,15;1286777,21;-;-;308534,94;-;-;1127,43;1127,43;7868;5,6;80;5,65
"110005 CEREJEIRAS";157;157;65321,58;52910,29;-;-;12411,29;-;-;416,06;416,06;546;3,5;1;0,64
"110006 COLORADO DO OESTE";43;43;33810,48;30903,86;-;-;2906,62;-;-;786,29;786,29;157;3,7;1;2,33
"110008 COSTA MARQUES";5;5;1583,36;1405,17;-;-;178,19;-;-;316,67;316,67;23;4,6;-;-
"110009 ESPIGAO D'OESTE";95;95;36860,84;32210,89;-;-;4649,95;-;-;388,01;388,01;169;1,8;1;1,05
"110010 GUAJARA-MIRIM";339;339;148745,10;117737,49;-;-;31007,61;-;-;438,78;438,78;1248;3,7;3;0,88
"110011 JARU";278;278;121378,28;90961,36;-;-;30416,92;-;-;436,61;436,61;773;2,8;4;1,44
"110012 JI-PARANA";524;524;714954,56;590762,77;-;-;124191,79;-;-;1364,42;1364,42;1829;3,5;34;6,49
"110013 MACHADINHO D'OESTE";177;177;81570,97;60727,41;-;-;20843,56;-;-;460,85;460,85;484;2,7;2;1,13
"110014 NOVA BRASILANDIA D'OESTE";127;127;55474,85;44675,81;-;-;10799,04;-;-;436,81;436,81;403;3,2;2;1,57
"110015 OURO PRETO DO OESTE";219;219;123312,55;92712,60;-;-;30599,95;-;-;563,07;563,07;484;2,2;5;2,28
"110018 PIMENTA BUENO";369;369;153915,58;121728,65;-;-;32186,93;-;-;417,12;417,12;738;2,0;5;1,36
"110020 PORTO VELHO";4509;4509;8455814,32;6853185,06;-;-;1602629,26;-;-;1875,32;1875,32;33897;7,5;177;3,93
"110025 PRESIDENTE MEDICI";99;99;48095,39;36630,12;-;-;11465,27;-;-;485,81;485,81;395;4,0;-;-
"110026 RIO CRESPO";2;2;1153,67;1023,13;-;-;130,54;-;-;576,84;576,84;6;3,0;-;-
"110028 ROLIM DE MOURA";346;346;153918,57;113046,46;-;-;40872,11;-;-;444,85;444,85;939;2,7;2;0,58
"110029 SANTA LUZIA D'OESTE";42;42;17585,36;15205,27;-;-;2380,09;-;-;418,70;418,70;151;3,6;3;7,14
"110030 VILHENA";846;846;676143,84;527818,37;-;-;148325,47;-;-;799,22;799,22;3711;4,4;24;2,84
"110032 SAO MIGUEL DO GUAPORE";115;115;58366,03;46620,98;-;-;11745,05;-;-;507,53;507,53;309;2,7;1;0,87
"110033 NOVA MAMORE";141;141;63579,32;51359,30;-;-;12220,02;-;-;450,92;450,92;423;3,0;3;2,13
"110034 ALVORADA D'OESTE";88;88;39679,78;29253,66;-;-;10426,12;-;-;450,91;450,91;220;2,5;-;-
"110037 ALTO ALEGRE DOS PARECIS";74;74;25459,00;21893,64;-;-;3565,36;-;-;344,04;344,04;213;2,9;-;-
"110040 ALTO PARAISO";32;32;12828,38;11255,63;-;-;1572,75;-;-;400,89;400,89;96;3,0;-;-
"110045 BURITIS";173;173;81695,13;65358,54;-;-;16336,59;-;-;472,23;472,23;418;2,4;2;1,16
"110050 NOVO HORIZONTE DO OESTE";45;45;22535,94;20068,32;-;-;2467,62;-;-;500,80;500,80;174;3,9;1;2,22
"110060 CACAULANDIA";6;6;2325,16;2032,81;-;-;292,35;-;-;387,53;387,53;17;2,8;-;-
"110070 CAMPO NOVO DE RONDONIA";36;36;15379,50;13333,77;-;-;2045,73;-;-;427,21;427,21;84;2,3;-;-
