Per�odo:Abr/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"220020 AGUA BRANCA";93;93;41594,19;34683,86;-;-;6910,33;-;-;447,25;447,25;322;3,5;1;1,08
"220030 ALTO LONGA";20;20;8216,68;7205,42;-;-;1011,26;-;-;410,83;410,83;88;4,4;-;-
"220040 ALTOS";123;123;68519,95;53794,92;-;-;14725,03;-;-;557,07;557,07;379;3,1;5;4,07
"220050 AMARANTE";127;127;49687,63;34274,84;4853,37;-;8075,46;2483,96;-;391,24;391,24;233;1,8;3;2,36
"220100 ARRAIAL";6;6;3331,47;3023,47;-;-;308,00;-;-;555,25;555,25;25;4,2;-;-
"220120 BARRAS";243;243;130207,71;100567,31;-;-;29640,40;-;-;535,83;535,83;898;3,7;5;2,06
"220150 BATALHA";98;98;38409,18;33106,57;-;-;5302,61;-;-;391,93;391,93;334;3,4;-;-
"220190 BOM JESUS";428;428;267479,38;194768,13;13047,85;-;53546,89;6116,51;-;624,95;624,95;1612;3,8;11;2,57
"220220 CAMPO MAIOR";350;350;256263,14;145802,97;39357,42;-;53888,29;17214,46;-;732,18;732,18;1266;3,6;14;4,00
"220230 CANTO DO BURITI";129;129;61293,40;51894,52;-;-;9398,88;-;-;475,14;475,14;358;2,8;-;-
"220260 CASTELO DO PIAUI";53;53;23717,75;20494,75;-;-;3223,00;-;-;447,50;447,50;245;4,6;-;-
"220270 COCAL";49;49;10887,61;9306,38;-;-;1581,23;-;-;222,20;222,20;95;1,9;-;-
"220290 CORRENTE";115;115;63714,14;41055,26;2668,72;-;18661,95;1328,21;-;554,04;554,04;392;3,4;-;-
"220310 CRISTINO CASTRO";55;55;34339,03;30332,18;-;-;4006,85;-;-;624,35;624,35;152;2,8;-;-
