Per�odo:Jul/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211102 SAO JOAO DO CARU";30;30;8825,59;7287,01;-;-;1538,58;-;-;294,19;294,19;56;1,9;-;-
"211107 SAO JOAO DO SOTER";97;97;33250,72;28053,89;-;-;5196,83;-;-;342,79;342,79;315;3,2;-;-
"211110 SAO JOAO DOS PATOS";115;115;39567,80;34318,73;-;-;5249,07;-;-;344,07;344,07;293;2,5;-;-
"211120 SAO JOSE DE RIBAMAR";268;268;139850,47;86890,09;-;-;52960,38;-;-;521,83;521,83;589;2,2;-;-
"211125 SAO JOSE DOS BASILIOS";49;49;17012,56;14892,30;-;-;2120,26;-;-;347,20;347,20;143;2,9;-;-
"211130 SAO LUIS";10923;10545;20013336,52;15930727,56;53139,23;-;4029424,65;45,08;-;1832,22;1897,90;94667;9,0;532;5,05
"211140 SAO LUIS GONZAGA DO MARANHAO";174;174;49457,46;42247,23;-;-;7210,23;-;-;284,24;284,24;554;3,2;-;-
"211150 SAO MATEUS DO MARANHAO";173;173;65100,09;48860,14;-;-;16239,95;-;-;376,30;376,30;737;4,3;5;2,89
"211153 SAO PEDRO DA AGUA BRANCA";73;73;28501,84;24528,45;-;-;3973,39;-;-;390,44;390,44;149;2,0;-;-
"211157 SAO PEDRO DOS CRENTES";92;92;35025,34;26738,37;-;-;8286,97;-;-;380,71;380,71;460;5,0;-;-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";108;108;49240,55;43365,87;-;-;5874,68;-;-;455,93;455,93;276;2,6;-;-
"211163 SAO RAIMUNDO DO DOCA BEZERRA";13;13;1126,75;909,87;-;-;216,88;-;-;86,67;86,67;5;0,4;-;-
"211170 SAO VICENTE FERRER";103;103;36375,15;29443,54;-;-;6931,61;-;-;353,16;353,16;263;2,6;-;-
"211172 SATUBINHA";2;2;408,67;345,97;-;-;62,70;-;-;204,34;204,34;4;2,0;-;-
