Per�odo:Mar/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150400 LIMOEIRO DO AJURU";117;117;49827,62;44170,00;-;-;5657,62;-;-;425,88;425,88;408;3,5;-;-
"150405 MAE DO RIO";143;143;57855,19;46520,35;-;-;11334,84;-;-;404,58;404,58;445;3,1;4;2,80
"150420 MARABA";1536;1536;2011631,78;1616085,27;-;-;395546,51;-;-;1309,66;1309,66;8658;5,6;76;4,95
"150430 MARACANA";44;44;15112,14;12759,40;-;-;2352,74;-;-;343,46;343,46;184;4,2;1;2,27
"150440 MARAPANIM";35;35;14117,69;11877,94;-;-;2239,75;-;-;403,36;403,36;133;3,8;1;2,86
"150442 MARITUBA";619;619;486632,56;359240,49;-;-;127392,07;-;-;786,16;786,16;2460;4,0;17;2,75
"150445 MEDICILANDIA";148;148;60601,93;46632,13;-;-;13969,80;-;-;409,47;409,47;401;2,7;2;1,35
"150450 MELGACO";79;79;24370,29;19214,11;-;-;5156,18;-;-;308,48;308,48;217;2,7;-;-
"150460 MOCAJUBA";149;149;80255,01;66526,15;-;-;13728,86;-;-;538,62;538,62;633;4,2;-;-
"150470 MOJU";143;143;48419,60;39014,23;-;-;9405,37;-;-;338,60;338,60;463;3,2;5;3,50
"150480 MONTE ALEGRE";240;240;85787,76;67343,92;-;-;18443,84;-;-;357,45;357,45;715;3,0;11;4,58
"150490 MUANA";181;181;78128,76;59614,42;-;-;18514,34;-;-;431,65;431,65;475;2,6;4;2,21
"150495 NOVA ESPERANCA DO PIRIA";63;63;23307,16;19732,99;-;-;3574,17;-;-;369,95;369,95;145;2,3;-;-
"150497 NOVA IPIXUNA";20;20;6258,69;5147,09;-;-;1111,60;-;-;312,93;312,93;191;9,6;-;-
"150503 NOVO PROGRESSO";166;166;77474,25;57144,03;-;-;20330,22;-;-;466,71;466,71;519;3,1;3;1,81
"150506 NOVO REPARTIMENTO";101;101;51710,28;37697,37;-;-;14012,91;-;-;511,98;511,98;328;3,2;-;-
"150510 OBIDOS";177;177;77440,89;58560,98;-;-;18879,91;-;-;437,52;437,52;753;4,3;6;3,39
"150520 OEIRAS DO PARA";100;100;45457,97;37077,19;-;-;8380,78;-;-;454,58;454,58;343;3,4;1;1,00
"150530 ORIXIMINA";409;409;200298,55;148169,43;-;-;52129,12;-;-;489,73;489,73;1279;3,1;18;4,40
"150540 OUREM";60;60;43853,50;34723,14;-;-;9130,36;-;-;730,89;730,89;191;3,2;2;3,33
"150543 OURILANDIA DO NORTE";364;364;137522,53;116893,48;-;-;20629,05;-;-;377,81;377,81;1082;3,0;4;1,10
"150548 PACAJA";244;244;109825,71;86562,23;-;-;23263,48;-;-;450,11;450,11;521;2,1;1;0,41
"150549 PALESTINA DO PARA";28;28;10987,06;9100,75;-;-;1886,31;-;-;392,40;392,40;81;2,9;-;-
"150550 PARAGOMINAS";478;478;260585,22;179549,69;-;-;81035,53;-;-;545,16;545,16;1395;2,9;6;1,26
"150553 PARAUAPEBAS";764;764;692074,98;516014,13;-;-;176060,85;-;-;905,86;905,86;3775;4,9;33;4,32
"150555 PAU D'ARCO";27;27;12673,67;10128,96;-;-;2544,71;-;-;469,40;469,40;60;2,2;-;-
"150563 PICARRA";51;51;14028,98;11762,12;-;-;2266,86;-;-;275,08;275,08;105;2,1;-;-
"150565 PLACAS";100;100;34384,36;26317,54;-;-;8066,82;-;-;343,84;343,84;210;2,1;1;1,00
"150570 PONTA DE PEDRAS";93;93;32467,23;27329,43;-;-;5137,80;-;-;349,11;349,11;282;3,0;-;-
"150580 PORTEL";231;231;117989,86;87453,30;-;-;30536,56;-;-;510,78;510,78;704;3,0;3;1,30
"150590 PORTO DE MOZ";156;156;48128,82;37877,25;-;-;10251,57;-;-;308,52;308,52;281;1,8;-;-
"150600 PRAINHA";69;69;32618,77;23239,41;-;-;9379,36;-;-;472,74;472,74;196;2,8;-;-
"150613 REDENCAO";806;806;1145995,44;931804,87;-;-;214190,57;-;-;1421,83;1421,83;3879;4,8;32;3,97
"150616 RIO MARIA";87;87;39185,45;28631,63;-;-;10553,82;-;-;450,41;450,41;235;2,7;4;4,60
"150618 RONDON DO PARA";206;206;80285,82;63472,35;-;-;16813,47;-;-;389,74;389,74;671;3,3;1;0,49
"150619 RUROPOLIS";149;149;63409,03;46575,26;-;-;16833,77;-;-;425,56;425,56;361;2,4;3;2,01
"150620 SALINOPOLIS";234;234;113120,68;85334,52;-;-;27786,16;-;-;483,42;483,42;909;3,9;4;1,71
"150630 SALVATERRA";88;88;55059,40;42845,94;-;-;12213,46;-;-;625,67;625,67;359;4,1;-;-
"150640 SANTA CRUZ DO ARARI";40;40;10856,77;9312,45;-;-;1544,32;-;-;271,42;271,42;112;2,8;-;-
"150650 SANTA IZABEL DO PARA";94;94;42927,50;37899,21;-;-;5028,29;-;-;456,68;456,68;347;3,7;6;6,38
"150658 SANTA MARIA DAS BARREIRAS";99;99;35061,10;28088,88;-;-;6972,22;-;-;354,15;354,15;207;2,1;-;-
"150660 SANTA MARIA DO PARA";70;70;22931,39;19735,72;-;-;3195,67;-;-;327,59;327,59;225;3,2;-;-
