Per�odo:Abr/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";287;287;74883,35;61304,22;-;-;13579,13;-;-;260,92;260,92;597;2,1;-;-
"110002 ARIQUEMES";518;518;665053,99;518396,38;17502,09;-;118363,80;10791,72;-;1283,89;1283,89;1848;3,6;21;4,05
"110003 CABIXI";20;20;8924,38;7656,56;-;-;1267,82;-;-;446,22;446,22;90;4,5;2;10,00
"110004 CACOAL";1211;1211;1093972,56;894831,25;-;-;199141,31;-;-;903,36;903,36;6373;5,3;41;3,39
"110005 CEREJEIRAS";111;111;61166,50;50862,03;-;-;10304,47;-;-;551,05;551,05;315;2,8;6;5,41
"110006 COLORADO DO OESTE";73;73;40047,60;32351,40;-;-;7696,20;-;-;548,60;548,60;308;4,2;3;4,11
"110009 ESPIGAO D'OESTE";177;177;57445,51;50495,01;-;-;6950,50;-;-;324,55;324,55;482;2,7;4;2,26
"110010 GUAJARA-MIRIM";267;267;111417,81;87637,89;-;-;23779,92;-;-;417,30;417,30;959;3,6;1;0,37
"110011 JARU";324;324;151956,26;116659,25;-;-;35297,01;-;-;469,00;469,00;926;2,9;5;1,54
"110012 JI-PARANA";590;590;511975,87;424855,86;-;-;87120,01;-;-;867,76;867,76;2006;3,4;12;2,03
"110013 MACHADINHO D'OESTE";278;278;90373,18;71130,07;-;-;19243,11;-;-;325,08;325,08;628;2,3;1;0,36
"110014 NOVA BRASILANDIA D'OESTE";97;97;41998,86;33518,91;-;-;8479,95;-;-;432,98;432,98;260;2,7;-;-
"110015 OURO PRETO DO OESTE";268;268;158250,09;117641,84;-;-;40608,25;-;-;590,49;590,49;628;2,3;5;1,87
