Per�odo:Mar/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";272;272;71342,03;58258,87;-;-;13083,16;-;-;262,29;262,29;569;2,1;-;-
"110002 ARIQUEMES";511;511;648448,61;480452,37;34053,02;-;115734,10;18209,12;-;1268,98;1268,98;1681;3,3;12;2,35
"110003 CABIXI";14;14;4529,73;3896,63;-;-;633,10;-;-;323,55;323,55;53;3,8;-;-
"110004 CACOAL";1634;1634;1636656,87;1332199,96;-;-;304456,91;-;-;1001,63;1001,63;10405;6,4;64;3,92
"110005 CEREJEIRAS";113;113;53619,64;43461,46;-;-;10158,18;-;-;474,51;474,51;325;2,9;-;-
"110006 COLORADO DO OESTE";44;44;16007,96;13979,32;-;-;2028,64;-;-;363,82;363,82;202;4,6;1;2,27
"110009 ESPIGAO D'OESTE";141;141;44383,41;39076,64;-;-;5306,77;-;-;314,78;314,78;380;2,7;6;4,26
"110010 GUAJARA-MIRIM";308;308;128858,68;97299,08;-;-;31559,60;-;-;418,37;418,37;1072;3,5;1;0,32
"110011 JARU";295;295;136097,95;102212,47;-;-;33885,48;-;-;461,35;461,35;750;2,5;2;0,68
"110012 JI-PARANA";920;920;692444,70;575420,65;-;-;117024,05;-;-;752,66;752,66;2902;3,2;29;3,15
"110013 MACHADINHO D'OESTE";316;316;111988,88;83167,67;-;-;28821,21;-;-;354,40;354,40;734;2,3;2;0,63
"110014 NOVA BRASILANDIA D'OESTE";89;89;32469,37;26259,92;-;-;6209,45;-;-;364,82;364,82;263;3,0;-;-
"110015 OURO PRETO DO OESTE";268;268;170029,74;123415,35;-;-;46614,39;-;-;634,44;634,44;599;2,2;3;1,12
"110018 PIMENTA BUENO";308;308;166303,72;121493,12;-;-;44810,60;-;-;539,95;539,95;626;2,0;3;0,97
"110020 PORTO VELHO";3806;3806;7458690,89;6162916,43;-;-;1295774,46;-;-;1959,72;1959,72;29770;7,8;183;4,81
"110025 PRESIDENTE MEDICI";88;88;39929,44;30674,27;-;-;9255,17;-;-;453,74;453,74;281;3,2;-;-
"110026 RIO CRESPO";6;6;2330,32;2003,85;-;-;326,47;-;-;388,39;388,39;-;-;-;-
"110028 ROLIM DE MOURA";351;351;154509,61;113689,93;-;-;40819,68;-;-;440,20;440,20;814;2,3;-;-
"110029 SANTA LUZIA D'OESTE";21;21;8500,26;7407,34;-;-;1092,92;-;-;404,77;404,77;74;3,5;-;-
"110030 VILHENA";685;685;590744,36;464555,78;-;-;126188,58;-;-;862,40;862,40;2973;4,3;14;2,04
"110032 SAO MIGUEL DO GUAPORE";97;97;46252,26;35401,72;-;-;10850,54;-;-;476,83;476,83;192;2,0;1;1,03
"110033 NOVA MAMORE";107;107;43899,67;35125,94;-;-;8773,73;-;-;410,28;410,28;374;3,5;1;0,93
"110034 ALVORADA D'OESTE";43;43;16471,35;13305,59;-;-;3165,76;-;-;383,05;383,05;142;3,3;-;-
"110037 ALTO ALEGRE DOS PARECIS";16;16;5439,20;4644,55;-;-;794,65;-;-;339,95;339,95;49;3,1;-;-
"110040 ALTO PARAISO";21;21;7504,46;6379,73;-;-;1124,73;-;-;357,36;357,36;51;2,4;-;-
"110045 BURITIS";127;127;60173,67;44089,04;-;-;16084,63;-;-;473,81;473,81;297;2,3;1;0,79
"110070 CAMPO NOVO DE RONDONIA";11;11;2785,02;2208,75;-;-;576,27;-;-;253,18;253,18;27;2,5;-;-
"110094 CUJUBIM";105;105;52461,25;43896,12;-;-;8565,13;-;-;499,63;499,63;47;0,4;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";11;11;3451,82;2990,04;-;-;461,78;-;-;313,80;313,80;25;2,3;-;-
"110120 MINISTRO ANDREAZZA";21;21;5838,13;5025,92;-;-;812,21;-;-;278,01;278,01;48;2,3;-;-
"110130 MIRANTE DA SERRA";44;44;22190,08;19563,55;-;-;2626,53;-;-;504,32;504,32;148;3,4;-;-
"110140 MONTE NEGRO";125;125;75408,24;55821,24;-;-;19587,00;-;-;603,27;603,27;278;2,2;-;-
"110143 NOVA UNIAO";8;8;3968,34;3413,70;-;-;554,64;-;-;496,04;496,04;21;2,6;-;-
"110145 PARECIS";22;22;6680,86;5494,47;-;-;1186,39;-;-;303,68;303,68;24;1,1;-;-
"110146 PIMENTEIRAS DO OESTE";4;4;1091,20;804,59;-;-;286,61;-;-;272,80;272,80;24;6,0;-;-
"110149 SAO FRANCISCO DO GUAPORE";78;78;35305,31;26818,83;-;-;8486,48;-;-;452,63;452,63;199;2,6;-;-
"110150 SERINGUEIRAS";109;109;52484,89;38829,29;-;-;13655,60;-;-;481,51;481,51;325;3,0;-;-
"110155 TEIXEIROPOLIS";7;7;2557,64;2285,82;-;-;271,82;-;-;365,38;365,38;15;2,1;-;-
"110160 THEOBROMA";13;13;3588,84;3055,07;-;-;533,77;-;-;276,06;276,06;46;3,5;-;-
"110170 URUPA";44;44;26966,07;19684,09;-;-;7281,98;-;-;612,87;612,87;94;2,1;-;-
"110180 VALE DO PARAISO";18;18;5838,65;5042,03;-;-;796,62;-;-;324,37;324,37;37;2,1;-;-
"120001 ACRELANDIA";11;11;4699,71;4030,78;-;-;668,93;-;-;427,25;427,25;32;2,9;-;-
"120005 ASSIS BRASIL";70;70;24405,52;20599,06;-;-;3806,46;-;-;348,65;348,65;212;3,0;-;-
"120010 BRASILEIA";276;276;151135,66;104049,26;-;-;47086,40;-;-;547,59;547,59;839;3,0;3;1,09
"120020 CRUZEIRO DO SUL";892;892;506494,67;366133,26;-;-;140361,41;-;-;567,82;567,82;3606;4,0;23;2,58
"120030 FEIJO";56;56;20031,72;14251,05;-;-;5780,67;-;-;357,71;357,71;168;3,0;-;-
"120033 MANCIO LIMA";50;50;16636,55;14502,03;-;-;2134,52;-;-;332,73;332,73;180;3,6;-;-
"120034 MANOEL URBANO";50;50;18875,95;14593,34;-;-;4282,61;-;-;377,52;377,52;211;4,2;-;-
"120035 MARECHAL THAUMATURGO";32;32;10060,30;8578,48;-;-;1481,82;-;-;314,38;314,38;82;2,6;1;3,13
"120038 PLACIDO DE CASTRO";43;43;15113,49;13122,29;-;-;1991,20;-;-;351,48;351,48;141;3,3;1;2,33
"120039 PORTO WALTER";33;33;7641,68;6093,87;-;-;1547,81;-;-;231,57;231,57;54;1,6;1;3,03
"120040 RIO BRANCO";2552;2552;3858103,64;2960676,39;-;-;897427,25;-;-;1511,80;1511,80;15159;5,9;145;5,68
"120042 RODRIGUES ALVES";38;38;8497,66;7241,94;-;-;1255,72;-;-;223,62;223,62;80;2,1;-;-
"120043 SANTA ROSA DO PURUS";5;5;1727,53;1536,85;-;-;190,68;-;-;345,51;345,51;7;1,4;1;20,00
"120045 SENADOR GUIOMARD";52;52;20959,66;15941,35;-;-;5018,31;-;-;403,07;403,07;174;3,3;1;1,92
"120050 SENA MADUREIRA";105;105;46440,51;35222,64;-;-;11217,87;-;-;442,29;442,29;281;2,7;2;1,90
"120060 TARAUACA";224;224;97169,79;69034,13;-;-;28135,66;-;-;433,79;433,79;395;1,8;1;0,45
"120070 XAPURI";28;28;11521,80;9802,12;-;-;1719,68;-;-;411,49;411,49;87;3,1;3;10,71
"130002 ALVARAES";45;45;16998,62;12389,89;-;-;4608,73;-;-;377,75;377,75;139;3,1;-;-
"130006 AMATURA";15;15;7952,93;5474,91;-;-;2478,02;-;-;530,20;530,20;49;3,3;-;-
"130008 ANAMA";143;143;45425,73;37692,24;-;-;7733,49;-;-;317,66;317,66;590;4,1;-;-
"130010 ANORI";31;31;11093,90;9199,81;-;-;1894,09;-;-;357,87;357,87;73;2,4;-;-
"130014 APUI";52;52;20389,66;15559,24;-;-;4830,42;-;-;392,11;392,11;200;3,8;1;1,92
"130020 ATALAIA DO NORTE";50;50;18526,20;15556,34;-;-;2969,86;-;-;370,52;370,52;162;3,2;1;2,00
"130030 AUTAZES";113;113;70265,72;48974,60;-;-;21291,12;-;-;621,82;621,82;282;2,5;-;-
"130040 BARCELOS";79;79;33169,78;23010,42;-;-;10159,36;-;-;419,87;419,87;233;2,9;-;-
"130050 BARREIRINHA";151;151;60681,05;45929,64;-;-;14751,41;-;-;401,86;401,86;468;3,1;2;1,32
"130060 BENJAMIN CONSTANT";207;207;133684,62;93713,69;-;-;39970,93;-;-;645,82;645,82;835;4,0;-;-
"130063 BERURI";63;63;22033,19;15936,38;-;-;6096,81;-;-;349,73;349,73;157;2,5;2;3,17
"130068 BOA VISTA DO RAMOS";95;95;36538,69;27553,16;-;-;8985,53;-;-;384,62;384,62;352;3,7;-;-
"130070 BOCA DO ACRE";152;152;97112,00;70930,50;-;-;26181,50;-;-;638,89;638,89;416;2,7;2;1,32
"130080 BORBA";189;189;73933,43;56142,15;-;-;17791,28;-;-;391,18;391,18;456;2,4;3;1,59
"130083 CAAPIRANGA";44;44;17111,32;12434,54;-;-;4676,78;-;-;388,89;388,89;83;1,9;-;-
"130090 CANUTAMA";60;60;21052,68;17020,33;-;-;4032,35;-;-;350,88;350,88;156;2,6;-;-
"130100 CARAUARI";273;273;124298,84;93028,25;-;-;31270,59;-;-;455,31;455,31;838;3,1;6;2,20
"130110 CAREIRO";186;186;272518,15;100001,67;80644,68;-;47821,16;44050,64;-;1465,15;1465,15;418;2,2;-;-
"130120 COARI";343;343;175537,62;125621,41;-;-;49916,21;-;-;511,77;511,77;1064;3,1;6;1,75
"130130 CODAJAS";106;106;38763,74;30829,72;-;-;7934,02;-;-;365,70;365,70;321;3,0;2;1,89
"130140 EIRUNEPE";121;121;56781,66;43756,10;-;-;13025,56;-;-;469,27;469,27;466;3,9;3;2,48
"130150 ENVIRA";53;53;22800,90;15755,20;-;-;7045,70;-;-;430,21;430,21;112;2,1;-;-
"130160 FONTE BOA";163;163;90217,42;65688,28;-;-;24529,14;-;-;553,48;553,48;378;2,3;5;3,07
"130165 GUAJARA";59;59;23692,98;19084,25;-;-;4608,73;-;-;401,58;401,58;208;3,5;-;-
"130180 IPIXUNA";181;181;77009,80;60526,17;-;-;16483,63;-;-;425,47;425,47;470;2,6;2;1,10
"130185 IRANDUBA";56;56;35132,92;26108,76;-;-;9024,16;-;-;627,37;627,37;148;2,6;-;-
"130190 ITACOATIARA";394;394;209826,44;146378,96;-;-;63447,48;-;-;532,55;532,55;1545;3,9;9;2,28
"130195 ITAMARATI";75;75;32299,50;20792,34;-;-;11507,16;-;-;430,66;430,66;164;2,2;-;-
"130200 ITAPIRANGA";62;62;45675,00;31881,76;-;-;13793,24;-;-;736,69;736,69;131;2,1;-;-
"130210 JAPURA";34;34;13149,20;9764,96;-;-;3384,24;-;-;386,74;386,74;61;1,8;-;-
"130240 LABREA";259;259;119976,38;83423,76;-;-;36552,62;-;-;463,23;463,23;888;3,4;3;1,16
"130250 MANACAPURU";529;529;283893,84;208879,05;-;-;75014,79;-;-;536,66;536,66;1343;2,5;8;1,51
"130255 MANAQUIRI";29;29;15221,71;10775,31;-;-;4446,40;-;-;524,89;524,89;90;3,1;-;-
"130260 MANAUS";11523;11523;19745047,61;15607163,57;247102,42;-;3762097,68;128683,94;-;1713,53;1713,53;73577;6,4;522;4,53
