Per�odo:Fev/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";234;234;53531,43;45588,85;-;-;7942,58;-;-;228,77;228,77;583;2,5;3;1,28
"110002 ARIQUEMES";429;429;698785,67;534278,41;28816,11;-;119803,97;15887,18;-;1628,87;1628,87;1717;4,0;19;4,43
"110003 CABIXI";7;7;2507,20;2148,90;-;-;358,30;-;-;358,17;358,17;20;2,9;-;-
"110004 CACOAL";1378;1378;1305920,77;1041312,15;-;-;264608,62;-;-;947,69;947,69;7957;5,8;46;3,34
"110005 CEREJEIRAS";71;71;27950,21;23552,90;-;-;4397,31;-;-;393,66;393,66;223;3,1;-;-
"110006 COLORADO DO OESTE";42;42;16249,53;13771,29;-;-;2478,24;-;-;386,89;386,89;160;3,8;2;4,76
"110009 ESPIGAO D'OESTE";116;116;36668,44;31847,61;-;-;4820,83;-;-;316,11;316,11;241;2,1;-;-
"110010 GUAJARA-MIRIM";296;296;125558,00;97917,44;-;-;27640,56;-;-;424,18;424,18;1086;3,7;3;1,01
"110011 JARU";191;191;93965,68;69438,09;-;-;24527,59;-;-;491,97;491,97;582;3,0;3;1,57
"110012 JI-PARANA";666;666;331413,45;271577,40;-;-;59836,05;-;-;497,62;497,62;1976;3,0;18;2,70
"110013 MACHADINHO D'OESTE";258;258;81093,29;62562,48;-;-;18530,81;-;-;314,32;314,32;706;2,7;2;0,78
"110014 NOVA BRASILANDIA D'OESTE";63;63;19462,77;16835,37;-;-;2627,40;-;-;308,93;308,93;199;3,2;-;-
"110015 OURO PRETO DO OESTE";239;239;145538,42;104934,92;-;-;40603,50;-;-;608,95;608,95;453;1,9;1;0,42
"110018 PIMENTA BUENO";309;309;168146,87;123568,04;-;-;44578,83;-;-;544,16;544,16;604;2,0;4;1,29
"110020 PORTO VELHO";4205;4205;6845863,17;5672686,57;-;-;1173176,60;-;-;1628,03;1628,03;29684;7,1;145;3,45
"110025 PRESIDENTE MEDICI";101;101;38347,67;29562,71;-;-;8784,96;-;-;379,68;379,68;379;3,8;-;-
"110026 RIO CRESPO";2;2;534,65;430,98;-;-;103,67;-;-;267,32;267,32;-;-;-;-
"110028 ROLIM DE MOURA";344;344;155051,44;111814,34;-;-;43237,10;-;-;450,73;450,73;817;2,4;5;1,45
"110029 SANTA LUZIA D'OESTE";31;31;11734,21;10125,91;-;-;1608,30;-;-;378,52;378,52;121;3,9;-;-
"110030 VILHENA";773;773;851500,48;677797,45;-;-;173703,03;-;-;1101,55;1101,55;3315;4,3;26;3,36
"110032 SAO MIGUEL DO GUAPORE";70;70;29959,43;23595,09;-;-;6364,34;-;-;427,99;427,99;161;2,3;1;1,43
"110033 NOVA MAMORE";87;87;32780,64;26125,98;-;-;6654,66;-;-;376,79;376,79;327;3,8;-;-
"110034 ALVORADA D'OESTE";34;34;13603,44;10683,95;-;-;2919,49;-;-;400,10;400,10;99;2,9;-;-
"110037 ALTO ALEGRE DOS PARECIS";21;21;6454,00;5490,36;-;-;963,64;-;-;307,33;307,33;66;3,1;-;-
"110040 ALTO PARAISO";14;14;3829,68;3279,52;-;-;550,16;-;-;273,55;273,55;56;4,0;-;-
"110045 BURITIS";86;86;40722,40;30359,14;-;-;10363,26;-;-;473,52;473,52;206;2,4;1;1,16
"110070 CAMPO NOVO DE RONDONIA";7;7;2964,08;2576,93;-;-;387,15;-;-;423,44;423,44;17;2,4;-;-
"110080 CANDEIAS DO JAMARI";9;9;2341,29;1976,93;-;-;364,36;-;-;260,14;260,14;19;2,1;-;-
"110094 CUJUBIM";75;75;28810,11;23517,49;-;-;5292,62;-;-;384,13;384,13;-;-;1;1,33
"110100 GOVERNADOR JORGE TEIXEIRA";8;8;2599,89;2238,75;-;-;361,14;-;-;324,99;324,99;30;3,8;-;-
"110120 MINISTRO ANDREAZZA";19;19;7495,25;6538,22;-;-;957,03;-;-;394,49;394,49;80;4,2;1;5,26
"110130 MIRANTE DA SERRA";36;36;17401,77;15258,67;-;-;2143,10;-;-;483,38;483,38;124;3,4;1;2,78
"110140 MONTE NEGRO";116;116;68122,59;49147,81;-;-;18974,78;-;-;587,26;587,26;225;1,9;-;-
"110143 NOVA UNIAO";7;7;2335,12;2014,61;-;-;320,51;-;-;333,59;333,59;26;3,7;-;-
"110145 PARECIS";6;6;1596,10;1314,09;-;-;282,01;-;-;266,02;266,02;6;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";7;7;2093,61;1786,00;-;-;307,61;-;-;299,09;299,09;41;5,9;-;-
"110149 SAO FRANCISCO DO GUAPORE";96;96;42055,95;31555,48;-;-;10500,47;-;-;438,08;438,08;212;2,2;2;2,08
"110150 SERINGUEIRAS";98;98;44884,55;32765,71;-;-;12118,84;-;-;458,01;458,01;289;2,9;1;1,02
"110155 TEIXEIROPOLIS";1;1;582,42;504,07;-;-;78,35;-;-;582,42;582,42;5;5,0;-;-
"110160 THEOBROMA";11;11;2902,52;2517,87;-;-;384,65;-;-;263,87;263,87;36;3,3;1;9,09
"110170 URUPA";52;52;32108,08;22760,37;-;-;9347,71;-;-;617,46;617,46;86;1,7;-;-
"110175 VALE DO ANARI";16;16;3796,73;3242,91;-;-;553,82;-;-;237,30;237,30;66;4,1;-;-
"110180 VALE DO PARAISO";11;11;3260,85;2756,61;-;-;504,24;-;-;296,44;296,44;43;3,9;-;-
"120001 ACRELANDIA";13;13;5704,99;5031,65;-;-;673,34;-;-;438,85;438,85;29;2,2;-;-
