Per�odo:Mai/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"221050 SAO PEDRO DO PIAUI";23;23;11054,24;9631,14;-;-;1423,10;-;-;480,62;480,62;94;4,1;4;17,39
"221060 SAO RAIMUNDO NONATO";581;581;493122,36;357460,52;20238,31;-;106021,41;9402,12;-;848,75;848,75;2190;3,8;21;3,61
"221070 SIMOES";135;135;80119,37;71122,67;-;-;8996,70;-;-;593,48;593,48;404;3,0;-;-
"221080 SIMPLICIO MENDES";63;63;28235,71;22242,74;-;-;5992,97;-;-;448,19;448,19;199;3,2;1;1,59
"221100 TERESINA";7953;7825;15293543,69;11884602,14;268207,69;-;2988462,34;152271,52;-;1922,99;1954,45;55411;7,1;352;4,50
"221110 UNIAO";129;129;61805,92;51830,91;-;-;9975,01;-;-;479,12;479,12;560;4,3;4;3,10
"221120 URUCUI";211;211;128791,91;81305,73;14164,62;-;25719,94;7601,62;-;610,39;610,39;790;3,7;4;1,90
"221130 VALENCA DO PIAUI";268;268;193360,71;103891,47;35317,81;-;38306,25;15845,18;-;721,50;721,50;815;3,0;5;1,87
"230020 ACARAU";258;258;115732,98;86718,38;-;-;29014,60;-;-;448,58;448,58;865;3,4;4;1,55
"230030 ACOPIARA";163;163;81602,99;61293,20;-;-;20309,79;-;-;500,63;500,63;457;2,8;8;4,91
"230040 AIUABA";40;40;15438,17;12808,68;-;-;2629,49;-;-;385,95;385,95;136;3,4;3;7,50
"230060 ALTANEIRA";14;14;6208,84;5480,62;-;-;728,22;-;-;443,49;443,49;60;4,3;-;-
"230070 ALTO SANTO";51;51;20449,28;18120,41;-;-;2328,87;-;-;400,97;400,97;300;5,9;1;1,96
"230075 AMONTADA";27;27;13497,83;10960,58;-;-;2537,25;-;-;499,92;499,92;100;3,7;-;-
"230080 ANTONINA DO NORTE";7;7;3151,65;2823,82;-;-;327,83;-;-;450,24;450,24;30;4,3;-;-
"230090 APUIARES";15;15;8571,08;7606,87;-;-;964,21;-;-;571,41;571,41;84;5,6;1;6,67
"230100 AQUIRAZ";186;186;112398,03;76464,81;-;-;35933,22;-;-;604,29;604,29;568;3,1;9;4,84
"230110 ARACATI";479;479;335900,18;218709,32;26076,40;-;79544,86;11569,60;-;701,25;701,25;1556;3,2;14;2,92
"230120 ARACOIABA";156;156;267211,90;208621,73;10557,28;-;42757,78;5275,11;-;1712,90;1712,90;713;4,6;6;3,85
"230125 ARARENDA";15;15;3338,15;2912,01;-;-;426,14;-;-;222,54;222,54;34;2,3;-;-
"230130 ARARIPE";40;40;18209,96;16207,89;-;-;2002,07;-;-;455,25;455,25;224;5,6;-;-
"230140 ARATUBA";26;26;9039,93;7795,84;-;-;1244,09;-;-;347,69;347,69;118;4,5;3;11,54
"230160 ASSARE";44;44;19534,95;15518,61;-;-;4016,34;-;-;443,98;443,98;168;3,8;2;4,55
"230170 AURORA";212;212;106835,73;78279,74;-;-;28555,99;-;-;503,94;503,94;493;2,3;1;0,47
"230185 BANABUIU";30;30;13417,17;11681,75;-;-;1735,42;-;-;447,24;447,24;123;4,1;1;3,33
"230190 BARBALHA";1363;1363;3664137,78;2796245,07;11957,30;-;848166,11;7769,30;-;2688,29;2688,29;7098;5,2;67;4,92
"230195 BARREIRA";10;10;4685,54;4085,50;-;-;600,04;-;-;468,55;468,55;38;3,8;-;-
"230200 BARRO";29;29;11894,99;10452,74;-;-;1442,25;-;-;410,17;410,17;84;2,9;1;3,45
"230210 BATURITE";154;154;81283,34;54881,56;-;-;26401,78;-;-;527,81;527,81;321;2,1;-;-
"230220 BEBERIBE";105;105;48484,00;39091,32;-;-;9392,68;-;-;461,75;461,75;370;3,5;8;7,62
