Per�odo:Jan/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210312 CENTRAL DO MARANHAO";52;52;11289,93;9275,72;-;-;2014,21;-;-;217,11;217,11;118;2,3;-;-
"210320 CHAPADINHA";460;460;309187,06;225610,10;-;-;83576,96;-;-;672,15;672,15;1319;2,9;14;3,04
"210325 CIDELANDIA";79;79;25370,73;22207,35;-;-;3163,38;-;-;321,15;321,15;129;1,6;-;-
"210330 CODO";361;361;263574,03;196666,74;-;-;66907,29;-;-;730,12;730,12;1271;3,5;12;3,32
"210340 COELHO NETO";143;143;68041,69;47386,28;-;-;20655,41;-;-;475,82;475,82;461;3,2;-;-
"210350 COLINAS";623;623;308665,58;209175,46;-;-;99490,12;-;-;495,45;495,45;1698;2,7;14;2,25
"210355 CONCEICAO DO LAGO-ACU";72;72;15042,23;12466,11;-;-;2576,12;-;-;208,92;208,92;360;5,0;-;-
"210360 COROATA";361;361;786569,58;636736,99;-;-;149832,59;-;-;2178,86;2178,86;2658;7,4;37;10,25
"210370 CURURUPU";403;403;181768,54;143457,85;-;-;38310,69;-;-;451,04;451,04;1152;2,9;12;2,98
"210380 DOM PEDRO";123;123;40697,68;35300,82;-;-;5396,86;-;-;330,88;330,88;209;1,7;-;-
"210390 DUQUE BACELAR";78;78;27811,57;23912,29;-;-;3899,28;-;-;356,56;356,56;167;2,1;-;-
"210400 ESPERANTINOPOLIS";108;108;53648,88;46266,25;-;-;7382,63;-;-;496,75;496,75;343;3,2;-;-
"210405 ESTREITO";163;163;71039,82;54878,56;-;-;16161,26;-;-;435,83;435,83;334;2,0;-;-
"210407 FEIRA NOVA DO MARANHAO";56;56;18140,80;15853,48;-;-;2287,32;-;-;323,94;323,94;120;2,1;-;-
"210408 FERNANDO FALCAO";7;7;2474,08;2142,80;-;-;331,28;-;-;353,44;353,44;15;2,1;-;-
