Período:Dez/2008,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"68603,56","56478,99",-,-,"12124,57",-,-,"361,07","361,07",530,"2,8",-,-
110002 ARIQUEMES,674,674,"267507,13","194326,92",-,-,"73180,21",-,-,"396,89","396,89",1977,"2,9",11,"1,63"
110004 CACOAL,418,418,"160137,17","121261,54",-,-,"38875,63",-,-,"383,1","383,1",1436,"3,4",4,"0,96"
110006 COLORADO DO OESTE,82,82,"23885,99","20309,44",-,-,"3576,55",-,-,"291,29","291,29",184,"2,2",-,-
110008 COSTA MARQUES,55,55,"20814,52","15093,18",-,-,"5721,34",-,-,"378,45","378,45",118,"2,1",-,-
110011 JARU,231,231,"97219,4","67268,89",-,-,"29950,51",-,-,"420,86","420,86",498,"2,2",-,-
110012 JI-PARANA,873,873,"366301,62","284887,13",-,-,"81414,49",-,-,"419,59","419,59",2732,"3,1",11,"1,26"
110013 MACHADINHO D'OESTE,220,220,"75452,29","58284,49",-,-,"17167,8",-,-,"342,96","342,96",777,"3,5",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"46520,83","38560,69",-,-,"7960,14",-,-,"360,63","360,63",448,"3,5",-,-
110015 OURO PRETO DO OESTE,54,54,"18792,17","14606,5",-,-,"4185,67",-,-,348,348,111,"2,1",1,"1,85"
110020 PORTO VELHO,1601,1601,"999568,95","728333,74",-,-,"271235,21",-,-,"624,34","624,34",10085,"6,3",22,"1,37"
110025 PRESIDENTE MEDICI,84,84,"25560,27","21234,23",-,-,"4326,04",-,-,"304,29","304,29",239,"2,8",-,-
110028 ROLIM DE MOURA,467,467,"183863,52","153616,38",-,-,"30247,14",-,-,"393,71","393,71",1073,"2,3",8,"1,71"
110029 SANTA LUZIA D'OESTE,64,64,"22273,8","19072,08",-,-,"3201,72",-,-,"348,03","348,03",250,"3,9",-,-
110030 VILHENA,564,564,"237840,3","194849,49",-,-,"42990,81",-,-,"421,7","421,7",2463,"4,4",24,"4,26"
110032 SAO MIGUEL DO GUAPORE,158,158,"52949,57","41992,9",-,-,"10956,67",-,-,"335,12","335,12",320,2,1,"0,63"
110033 NOVA MAMORE,51,51,"17833,03","14289,75",-,-,"3543,28",-,-,"349,67","349,67",202,4,-,-
110034 ALVORADA D'OESTE,117,117,"38436,15","29339,99",-,-,"9096,16",-,-,"328,51","328,51",276,"2,4",-,-
110050 NOVO HORIZONTE DO OESTE,34,34,"10736,78","9262,52",-,-,"1474,26",-,-,"315,79","315,79",67,2,-,-
110120 MINISTRO ANDREAZZA,41,41,"13454,43","11587,87",-,-,"1866,56",-,-,"328,16","328,16",83,2,-,-
110130 MIRANTE DA SERRA,50,50,"18845,57","15747,76",-,-,"3097,81",-,-,"376,91","376,91",120,"2,4",-,-
110140 MONTE NEGRO,259,259,"91029,82","76207,19",-,-,"14822,63",-,-,"351,47","351,47",539,"2,1",-,-
110149 SAO FRANCISCO DO GUAPORE,99,99,"42882,82","35782,3",-,-,"7100,52",-,-,"433,16","433,16",200,2,-,-
110150 SERINGUEIRAS,94,94,"30663,89","24793,3",-,-,"5870,59",-,-,"326,21","326,21",285,3,-,-
120001 ACRELANDIA,41,41,"12689,86","10884,86",-,-,1805,-,-,"309,51","309,51",143,"3,5",-,-
120005 ASSIS BRASIL,49,49,"17743,07","12962,53",-,-,"4780,54",-,-,"362,1","362,1",99,2,1,"2,04"
120010 BRASILEIA,108,108,"28562,21","22036,15",-,-,"6526,06",-,-,"264,46","264,46",311,"2,9",1,"0,93"
120020 CRUZEIRO DO SUL,859,859,"350202,8","262715,82",-,-,"87486,98",-,-,"407,69","407,69",3209,"3,7",7,"0,81"
120030 FEIJO,113,113,"48441,51","32764,63",-,-,"15676,88",-,-,"428,69","428,69",225,2,-,-
120033 MANCIO LIMA,21,21,"9583,4","5891,6",-,-,"3691,8",-,-,"456,35","456,35",34,"1,6",-,-
120034 MANOEL URBANO,27,27,"9025,53","6552,11",-,-,"2473,42",-,-,"334,28","334,28",53,2,-,-
120038 PLACIDO DE CASTRO,71,71,"22360,16","19576,97",-,-,"2783,19",-,-,"314,93","314,93",216,3,-,-
120040 RIO BRANCO,2306,2306,"1534296,6","1129302,32",-,-,"404994,28",-,-,"665,35","665,35",11615,5,54,"2,34"
120042 RODRIGUES ALVES,11,11,"1522,93","1293,69",-,-,"229,24",-,-,"138,45","138,45",7,"0,6",-,-
120045 SENADOR GUIOMARD,40,40,"16033,85","14242,64",-,-,"1791,21",-,-,"400,85","400,85",104,"2,6",-,-
120050 SENA MADUREIRA,201,201,"75370,37","57131,29",-,-,"18239,08",-,-,"374,98","374,98",690,"3,4",2,1
120060 TARAUACA,186,186,"83465,48","61839,9",-,-,"21625,58",-,-,"448,74","448,74",504,"2,7",-,-
120070 XAPURI,95,95,"26342,21","20630,12",-,-,"5712,09",-,-,"277,29","277,29",289,3,1,"1,05"
130006 AMATURA,28,28,"17010,25","15117,44",-,-,"1892,81",-,-,"607,51","607,51",111,4,-,-
130008 ANAMA,18,18,"8667,42","7592,58",-,-,"1074,84",-,-,"481,52","481,52",67,"3,7",-,-
130010 ANORI,60,60,"24178,59","17911,92",-,-,"6266,67",-,-,"402,98","402,98",178,3,-,-
130014 APUI,84,84,"31227,53","23419,36",-,-,"7808,17",-,-,"371,76","371,76",233,"2,8",-,-
130030 AUTAZES,104,104,"45812,52","31869,91",-,-,"13942,61",-,-,"440,51","440,51",239,"2,3",-,-
130040 BARCELOS,54,54,"22044,77","15479,96",-,-,"6564,81",-,-,"408,24","408,24",150,"2,8",1,"1,85"
130050 BARREIRINHA,96,96,"36880,44","26811,43",-,-,"10069,01",-,-,"384,17","384,17",292,3,-,-
130060 BENJAMIN CONSTANT,129,129,"54990,79","37539,19",-,-,"17451,6",-,-,"426,29","426,29",332,"2,6",-,-
130063 BERURI,16,16,"5206,74","4489,61",-,-,"717,13",-,-,"325,42","325,42",66,"4,1",-,-
130068 BOA VISTA DO RAMOS,33,33,"15278,93","11490,01",-,-,"3788,92",-,-,463,463,89,"2,7",-,-
130070 BOCA DO ACRE,50,50,"22245,16","16640,5",-,-,"5604,66",-,-,"444,9","444,9",169,"3,4",-,-
130083 CAAPIRANGA,27,27,"9079,47","6605,85",-,-,"2473,62",-,-,"336,28","336,28",67,"2,5",-,-
130100 CARAUARI,97,97,"36905,35","25428,44",-,-,"11476,91",-,-,"380,47","380,47",237,"2,4",-,-
130120 COARI,400,400,"167441,3","113566,95",-,-,"53874,35",-,-,"418,6","418,6",1267,"3,2",-,-
130130 CODAJAS,91,91,"40770,89","27461,88",-,-,"13309,01",-,-,"448,03","448,03",177,"1,9",-,-
130140 EIRUNEPE,122,122,"56946,36","40206,04",-,-,"16740,32",-,-,"466,77","466,77",349,"2,9",-,-
130160 FONTE BOA,171,171,"61891,3","46582,4",-,-,"15308,9",-,-,"361,94","361,94",862,5,-,-
130170 HUMAITA,138,138,"62127,17","43901,97",-,-,"18225,2",-,-,"450,2","450,2",346,"2,5",-,-
130180 IPIXUNA,66,66,"25205,76","17906,12",-,-,"7299,64",-,-,"381,91","381,91",186,"2,8",-,-
130185 IRANDUBA,127,127,"51385,69","36911,15",-,-,"14474,54",-,-,"404,61","404,61",263,"2,1",-,-
130190 ITACOATIARA,379,379,"169350,07","113941,09",-,-,"55408,98",-,-,"446,83","446,83",1023,"2,7",2,"0,53"
130195 ITAMARATI,32,32,"11960,69","8940,94",-,-,"3019,75",-,-,"373,77","373,77",76,"2,4",-,-
130200 ITAPIRANGA,16,16,"6682,76","4538,4",-,-,"2144,36",-,-,"417,67","417,67",64,4,-,-
130220 JURUA,32,32,"13203,08","9262,93",-,-,"3940,15",-,-,"412,6","412,6",81,"2,5",-,-
130230 JUTAI,65,65,"23409,06","16589,52",-,-,"6819,54",-,-,"360,14","360,14",174,"2,7",-,-
130240 LABREA,128,128,"44948,44","33290,28",-,-,"11658,16",-,-,"351,16","351,16",434,"3,4",-,-
130250 MANACAPURU,350,350,"151211,3","107095,84",-,-,"44115,46",-,-,"432,03","432,03",1190,"3,4",-,-
130260 MANAUS,7088,7136,"5537108,08","4307033,67",-,-,"1230074,41",-,-,"775,94","781,19",40421,"5,7",197,"2,78"
130270 MANICORE,296,296,"165154,09","137036,69",-,-,"28117,4",-,-,"557,95","557,95",1046,"3,5",-,-
130280 MARAA,85,85,"34012,54","25771,41",-,-,"8241,13",-,-,"400,15","400,15",263,"3,1",-,-
130290 MAUES,180,180,"75948,22","53513,02",-,-,"22435,2",-,-,"421,93","421,93",622,"3,5",1,"0,56"
130310 NOVA OLINDA DO NORTE,118,118,"53613,94","39713,38",-,-,"13900,56",-,-,"454,36","454,36",348,"2,9",-,-
130320 NOVO AIRAO,34,34,"13301,37","10168,7",-,-,"3132,67",-,-,"391,22","391,22",141,"4,1",-,-
130330 NOVO ARIPUANA,56,56,"28980,37","25651,54",-,-,"3328,83",-,-,"517,51","517,51",257,"4,6",-,-
130340 PARINTINS,520,520,"232723,13","163567,82",-,-,"69155,31",-,-,"447,54","447,54",1508,"2,9",1,"0,19"
130353 PRESIDENTE FIGUEIREDO,94,94,"39559,25","29374,85",-,-,"10184,4",-,-,"420,84","420,84",652,"6,9",1,"1,06"
130356 RIO PRETO DA EVA,66,66,"25170,14","19728,72",-,-,"5441,42",-,-,"381,37","381,37",271,"4,1",-,-
130370 SANTO ANTONIO DO ICA,68,68,"40505,36","34645,67",-,-,"5859,69",-,-,"595,67","595,67",243,"3,6",-,-
130380 SAO GABRIEL DA CACHOEIRA,53,53,"23436,03","17417,34",-,-,"6018,69",-,-,"442,19","442,19",239,"4,5",-,-
130390 SAO PAULO DE OLIVENCA,98,98,"32731,82","24516,31",-,-,"8215,51",-,-,334,334,291,3,-,-
130395 SAO SEBASTIAO DO UATUMA,34,34,"13068,79","10539,71",-,-,"2529,08",-,-,"384,38","384,38",94,"2,8",-,-
130400 SILVES,23,23,"6815,9","5936,19",-,-,"879,71",-,-,"296,34","296,34",86,"3,7",-,-
130406 TABATINGA,126,126,"55253,48","37343,72",-,-,"17909,76",-,-,"438,52","438,52",580,"4,6",-,-
130410 TAPAUA,42,42,"16947,31","11543,11",-,-,"5404,2",-,-,"403,51","403,51",190,"4,5",-,-
130420 TEFE,304,304,"117505,79","84360,97",-,-,"33144,82",-,-,"386,53","386,53",1154,"3,8",-,-
130423 TONANTINS,52,52,"17644,36","12820,25",-,-,"4824,11",-,-,"339,31","339,31",228,"4,4",-,-
130426 UARINI,28,28,"12397,89","8842,42",-,-,"3555,47",-,-,"442,78","442,78",70,"2,5",-,-
130430 URUCARA,4,4,"1968,12","1710,96",-,-,"257,16",-,-,"492,03","492,03",19,"4,8",-,-
130440 URUCURITUBA,38,38,"17738,07","13147,76",-,-,"4590,31",-,-,"466,79","466,79",92,"2,4",-,-
140005 ALTO ALEGRE,51,51,"17697,22","15447,89",-,-,"2249,33",-,-,347,347,98,"1,9",-,-
140010 BOA VISTA,2012,2012,"1167710,71","847165,06",-,-,"320545,65",-,-,"580,37","580,37",9959,"4,9",36,"1,79"
140015 BONFIM,12,12,"4487,88","3074,48",-,-,"1413,4",-,-,"373,99","373,99",26,"2,2",-,-
140020 CARACARAI,35,35,"10673,99","8367,46",-,-,"2306,53",-,-,"304,97","304,97",136,"3,9",-,-
140030 MUCAJAI,22,22,"5750,51","4752,99",-,-,"997,52",-,-,"261,39","261,39",67,3,-,-
140040 NORMANDIA,20,20,"8113,58","5629,17",-,-,"2484,41",-,-,"405,68","405,68",62,"3,1",-,-
140045 PACARAIMA,36,36,"14961,77","11892,1",-,-,"3069,67",-,-,"415,6","415,6",125,"3,5",-,-
140047 RORAINOPOLIS,37,37,"12290,11","10156,52",-,-,"2133,59",-,-,"332,17","332,17",90,"2,4",-,-
140050 SAO JOAO DA BALIZA,8,8,"2653,48","2234,98",-,-,"418,5",-,-,"331,68","331,68",16,2,-,-
150010 ABAETETUBA,748,748,"338094,63","249884,67",-,-,"88209,96",-,-,452,452,2160,"2,9",7,"0,94"
150013 ABEL FIGUEIREDO,66,66,"20938,7",18181,-,-,"2757,7",-,-,"317,25","317,25",200,3,-,-
150020 ACARA,164,164,"59637,9","44540,9",-,-,15097,-,-,"363,65","363,65",327,2,-,-
150030 AFUA,83,83,"24791,51","19492,15",-,-,"5299,36",-,-,"298,69","298,69",222,"2,7",-,-
150034 AGUA AZUL DO NORTE,159,159,"61337,79","52907,26",-,-,"8430,53",-,-,"385,77","385,77",425,"2,7",-,-
150040 ALENQUER,483,483,"204417,03","157658,91",-,-,"46758,12",-,-,"423,22","423,22",1386,"2,9",4,"0,83"
150050 ALMEIRIM,182,182,"65516,92","45684,71",-,-,"19832,21",-,-,"359,98","359,98",325,"1,8",-,-
150060 ALTAMIRA,1225,1225,"913229,35","741809,3",-,-,"171420,05",-,-,"745,49","745,49",6006,"4,9",25,"2,04"
150070 ANAJAS,98,98,"35857,92","25116,15",-,-,"10741,77",-,-,"365,9","365,9",180,"1,8",-,-
150080 ANANINDEUA,3117,3117,"2168724,58","1712473,53",-,-,"456251,05",-,-,"695,77","695,77",14930,"4,8",48,"1,54"
150085 ANAPU,34,34,"16023,13","9939,64",-,-,"6083,49",-,-,"471,27","471,27",43,"1,3",-,-
